year,month,model,temperature,rcp,site,date
2012,Jan,Model1,0.095737856346695,4.5,CRD,2012-01-01
2012,Oct,Model1,6.28,4.5,CRD,2012-10-01
2012,Apr,Model1,0.981031478118148,4.5,CRD,2012-04-01
2087,Apr,Model1,10.0247091846013,4.5,CRD,2087-04-01
2087,May,Model1,10.9110399699322,4.5,CRD,2087-05-01
2087,Jun,Model1,12.8415618905286,4.5,CRD,2087-06-01
2087,Jul,Model1,13.6879656712098,4.5,CRD,2087-07-01
2087,Aug,Model1,14.0481033692954,4.5,CRD,2087-08-01
2087,Sep,Model1,13.119089276288,4.5,CRD,2087-09-01
2087,Oct,Model1,11.7856275159154,4.5,CRD,2087-10-01
2087,Nov,Model1,8.82038507821234,4.5,CRD,2087-11-01
2087,Dec,Model1,7.48197868473306,4.5,CRD,2087-12-01
2088,Jan,Model1,3.03699740426559,4.5,CRD,2088-01-01
2012,May,Model1,3.40208234752079,4.5,CRD,2012-05-01
2088,Feb,Model1,2.38828682860313,4.5,CRD,2088-02-01
2088,Mar,Model1,0.667937920212401,4.5,CRD,2088-03-01
2088,Apr,Model1,5.16705498599764,4.5,CRD,2088-04-01
2088,May,Model1,7.80591288403564,4.5,CRD,2088-05-01
2088,Jun,Model1,10.5477565538059,4.5,CRD,2088-06-01
2088,Jul,Model1,12.9523058893133,4.5,CRD,2088-07-01
2088,Aug,Model1,13.6441510244596,4.5,CRD,2088-08-01
2088,Sep,Model1,13.4226908019171,4.5,CRD,2088-09-01
2088,Oct,Model1,11.9303503848458,4.5,CRD,2088-10-01
2088,Nov,Model1,9.14073980577653,4.5,CRD,2088-11-01
2012,Jun,Model1,7.35790562023747,4.5,CRD,2012-06-01
2088,Dec,Model1,7.67421097595683,4.5,CRD,2088-12-01
2089,Jan,Model1,6.41406626108603,4.5,CRD,2089-01-01
2089,Feb,Model1,5.46429259969903,4.5,CRD,2089-02-01
2089,Mar,Model1,4.56170124793187,4.5,CRD,2089-03-01
2089,Apr,Model1,8.68741198728764,4.5,CRD,2089-04-01
2089,May,Model1,10.5289371648232,4.5,CRD,2089-05-01
2089,Jun,Model1,12.4654224217806,4.5,CRD,2089-06-01
2089,Jul,Model1,13.6505438112775,4.5,CRD,2089-07-01
2089,Aug,Model1,14.3128557777715,4.5,CRD,2089-08-01
2089,Sep,Model1,14.0959411834651,4.5,CRD,2089-09-01
2012,Jul,Model1,10.9784983944819,4.5,CRD,2012-07-01
2089,Oct,Model1,11.5839782885076,4.5,CRD,2089-10-01
2089,Nov,Model1,9.8188765000408509,4.5,CRD,2089-11-01
2089,Dec,Model1,7.37406242527068,4.5,CRD,2089-12-01
2090,Jan,Model1,4.90758769209903,4.5,CRD,2090-01-01
2090,Feb,Model1,4.73637385079129,4.5,CRD,2090-02-01
2090,Mar,Model1,3.65327662520698,4.5,CRD,2090-03-01
2090,Apr,Model1,6.65408718277021,4.5,CRD,2090-04-01
2090,May,Model1,9.17393227388089,4.5,CRD,2090-05-01
2090,Jun,Model1,11.8161019921481,4.5,CRD,2090-06-01
2090,Jul,Model1,13.932586856413,4.5,CRD,2090-07-01
2012,Aug,Model1,11.8530730663811,4.5,CRD,2012-08-01
2090,Aug,Model1,15.0492391485294,4.5,CRD,2090-08-01
