"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2060s",5.08275706525121,0.88219713770897
"02","2060s",4.56304593063967,1.70813827112389
"03","2060s",4.43350834877704,1.76559280079644
"04","2060s",5.90574075882816,1.83343591799838
"05","2060s",3.97536286032671,1.74384207843204
"06","2060s",1.95138632584042,1.29153665752418
"07","2060s",1.67278950500839,0.907224699735119
"08","2060s",2.10104807366381,0.809649696204553
"09","2060s",3.17431551453406,0.681679817918539
"10","2060s",4.53036225841552,0.784187366349698
"11","2060s",4.98802736161974,1.36780075297766
"12","2060s",4.64770889420433,1.13481974028021
