"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",8.700046717166,0.470457761192364
"02","2090s",7.53202933581102,0.685946541939954
"03","2090s",7.46006466820214,0.568492883918694
"04","2090s",7.33441410221371,0.674709817915196
"05","2090s",5.73618061150503,0.683059452594421
"06","2090s",4.21241997952434,0.557377279084236
"07","2090s",4.73397267869778,0.695215042724337
"08","2090s",4.91851876539855,0.659690583106227
"09","2090s",5.99133067591938,0.51674176572238
"10","2090s",10.7961002623544,1.03067216909693
"11","2090s",9.18305566825383,0.952311538646679
"12","2090s",9.1282381087903,0.913174999436237
