"","pond_name","Decade","Scenario","Model","month","mean_med_temp"
"1","BVS","2030s","4.5","CRD45",1,4.00116799334822
"2","BVS","2030s","4.5","CRD45",2,3.67041255783891
"3","BVS","2030s","4.5","CRD45",3,2.9733747414005
"4","BVS","2030s","4.5","CRD45",4,4.01450688078086
"5","BVS","2030s","4.5","CRD45",5,6.49320112464319
"6","BVS","2030s","4.5","CRD45",6,9.37024477493439
"7","BVS","2030s","4.5","CRD45",7,11.7113133977302
"8","BVS","2030s","4.5","CRD45",8,12.8289199876279
"9","BVS","2030s","4.5","CRD45",9,12.1611415198036
"10","BVS","2030s","4.5","CRD45",10,10.0824029048829
"11","BVS","2030s","4.5","CRD45",11,6.96755956537693
"12","BVS","2030s","4.5","CRD45",12,5.57439258624979
"13","BVS","2030s","8.5","CRD85",1,3.27561845695002
"14","BVS","2030s","8.5","CRD85",2,2.29892850262747
"15","BVS","2030s","8.5","CRD85",3,2.53633585798063
"16","BVS","2030s","8.5","CRD85",4,3.6319422844042
"17","BVS","2030s","8.5","CRD85",5,6.38113071095095
"18","BVS","2030s","8.5","CRD85",6,9.27884391175997
"19","BVS","2030s","8.5","CRD85",7,11.7187664421948
"20","BVS","2030s","8.5","CRD85",8,12.849652845159
"21","BVS","2030s","8.5","CRD85",9,12.4465680017362
"22","BVS","2030s","8.5","CRD85",10,10.7129468917363
"23","BVS","2030s","8.5","CRD85",11,6.86641323873184
"24","BVS","2030s","8.5","CRD85",12,5.09678355505591
"25","BVS","2060s","4.5","CRD45",1,5.93013689844948
"26","BVS","2060s","4.5","CRD45",2,4.98830301779442
"27","BVS","2060s","4.5","CRD45",3,4.42092003972456
"28","BVS","2060s","4.5","CRD45",4,7.7050465511782
"29","BVS","2060s","4.5","CRD45",5,10.0725255301212
"30","BVS","2060s","4.5","CRD45",6,11.8483450498263
"31","BVS","2060s","4.5","CRD45",7,13.6310403958904
"32","BVS","2060s","4.5","CRD45",8,14.3027378146547
"33","BVS","2060s","4.5","CRD45",9,13.5668497437126
"34","BVS","2060s","4.5","CRD45",10,11.6977340104374
"35","BVS","2060s","4.5","CRD45",11,8.86876459291672
"36","BVS","2060s","4.5","CRD45",12,6.65477627892782
"37","BVS","2060s","8.5","CRD85",1,6.67403172342906
"38","BVS","2060s","8.5","CRD85",2,5.44664116859812
"39","BVS","2060s","8.5","CRD85",3,5.82254763698118
"40","BVS","2060s","8.5","CRD85",4,7.27287199260858
"41","BVS","2060s","8.5","CRD85",5,10.0477895662673
"42","BVS","2060s","8.5","CRD85",6,12.2179495173335
"43","BVS","2060s","8.5","CRD85",7,15.1240066281887
"44","BVS","2060s","8.5","CRD85",8,15.5328368630403
"45","BVS","2060s","8.5","CRD85",9,14.6526238699475
"46","BVS","2060s","8.5","CRD85",10,14.9910270908961
"47","BVS","2060s","8.5","CRD85",11,11.9117005308415
"48","BVS","2060s","8.5","CRD85",12,9.11534016433829
"49","BVS","2090s","4.5","CRD45",1,7.70345040381472
"50","BVS","2090s","4.5","CRD45",2,6.0185355428093
"51","BVS","2090s","4.5","CRD45",3,5.97053786525542
"52","BVS","2090s","4.5","CRD45",4,9.16633189708799
"53","BVS","2090s","4.5","CRD45",5,11.2310727824963
"54","BVS","2090s","4.5","CRD45",6,13.0378430656114
"55","BVS","2090s","4.5","CRD45",7,14.6868735954466
"56","BVS","2090s","4.5","CRD45",8,15.5965677851003
"57","BVS","2090s","4.5","CRD45",9,14.6793435989006
"58","BVS","2090s","4.5","CRD45",10,12.86076660552
"59","BVS","2090s","4.5","CRD45",11,10.7420216993474
"60","BVS","2090s","4.5","CRD45",12,9.42960181495135
"61","BVS","2090s","8.5","CRD85",1,10.7249930045051
"62","BVS","2090s","8.5","CRD85",2,8.26118335163603
"63","BVS","2090s","8.5","CRD85",3,9.02377835030287
"64","BVS","2090s","8.5","CRD85",4,10.762637311087
"65","BVS","2090s","8.5","CRD85",5,13.5615627718228
"66","BVS","2090s","8.5","CRD85",6,14.788899938947
"67","BVS","2090s","8.5","CRD85",7,17.9591115416156
"68","BVS","2090s","8.5","CRD85",8,17.7330176142266
"69","BVS","2090s","8.5","CRD85",9,16.7911886395516
"70","BVS","2090s","8.5","CRD85",10,18.6403759716128
"71","BVS","2090s","8.5","CRD85",11,14.778102807197
"72","BVS","2090s","8.5","CRD85",12,12.2279231021078
"73","BVS","Other","4.5","CRD45",1,3.95311209519752
"74","BVS","Other","4.5","CRD45",2,3.48414555678974
