"ï»¿""Plot Title: 10129008""",,
"Date Time, GMT-08:00","Date Time, GMT-08:00","Temp, Â°C (LGR S/N: 10129008, SEN S/N: 10129008)"
7/30/2012,17:00,13.076
7/30/2012,17:30,13.076
7/30/2012,18:00,13.076
7/30/2012,18:30,13.076
7/30/2012,19:00,13.076
7/30/2012,19:30,13.076
7/30/2012,20:00,13.076
7/30/2012,20:30,12.98
7/30/2012,21:00,12.98
7/30/2012,21:30,12.98
7/30/2012,22:00,12.98
7/30/2012,22:30,12.98
7/30/2012,23:00,12.98
7/30/2012,23:30,12.883
7/31/2012,0:00,12.787
7/31/2012,0:30,12.69
7/31/2012,1:00,12.69
7/31/2012,1:30,12.594
7/31/2012,2:00,12.594
7/31/2012,2:30,12.497
7/31/2012,3:00,12.401
7/31/2012,3:30,12.304
7/31/2012,4:00,12.207
7/31/2012,4:30,12.11
7/31/2012,5:00,12.013
7/31/2012,5:30,11.916
7/31/2012,6:00,11.819
7/31/2012,6:30,11.722
7/31/2012,7:00,11.722
7/31/2012,7:30,11.625
7/31/2012,8:00,11.625
7/31/2012,8:30,11.625
7/31/2012,9:00,11.722
7/31/2012,9:30,11.722
7/31/2012,10:00,11.819
7/31/2012,10:30,11.819
7/31/2012,11:00,11.916
7/31/2012,11:30,12.013
7/31/2012,12:00,12.11
7/31/2012,12:30,12.207
7/31/2012,13:00,12.401
7/31/2012,13:30,12.497
7/31/2012,14:00,12.594
7/31/2012,14:30,12.787
7/31/2012,15:00,12.98
7/31/2012,15:30,13.076
7/31/2012,16:00,13.173
7/31/2012,16:30,13.365
7/31/2012,17:00,13.461
7/31/2012,17:30,13.558
7/31/2012,18:00,13.75
7/31/2012,18:30,13.846
7/31/2012,19:00,13.942
7/31/2012,19:30,13.942
7/31/2012,20:00,14.038
7/31/2012,20:30,14.134
7/31/2012,21:00,14.134
7/31/2012,21:30,14.23
7/31/2012,22:00,14.23
7/31/2012,22:30,14.325
7/31/2012,23:00,14.325
7/31/2012,23:30,14.421
8/1/2012,0:00,14.421
8/1/2012,0:30,14.421
8/1/2012,1:00,14.421
8/1/2012,1:30,14.421
8/1/2012,2:00,14.517
8/1/2012,2:30,14.517
8/1/2012,3:00,14.517
8/1/2012,3:30,14.517
8/1/2012,4:00,14.421
8/1/2012,4:30,14.325
8/1/2012,5:00,14.23
8/1/2012,5:30,14.038
8/1/2012,6:00,13.942
8/1/2012,6:30,13.846
8/1/2012,7:00,13.75
8/1/2012,7:30,13.654
8/1/2012,8:00,13.654
8/1/2012,8:30,13.558
8/1/2012,9:00,13.558
8/1/2012,9:30,13.461
8/1/2012,10:00,13.461
8/1/2012,10:30,13.365
8/1/2012,11:00,13.365
8/1/2012,11:30,13.365
8/1/2012,12:00,13.365
8/1/2012,12:30,13.365
8/1/2012,13:00,13.461
8/1/2012,13:30,13.461
8/1/2012,14:00,13.461
8/1/2012,14:30,13.461
8/1/2012,15:00,13.461
8/1/2012,15:30,13.461
8/1/2012,16:00,13.558
8/1/2012,16:30,13.558
8/1/2012,17:00,13.558
8/1/2012,17:30,13.654
8/1/2012,18:00,13.654
8/1/2012,18:30,13.558
8/1/2012,19:00,13.558
8/1/2012,19:30,13.558
8/1/2012,20:00,13.461
8/1/2012,20:30,13.365
8/1/2012,21:00,13.269
8/1/2012,21:30,13.173
8/1/2012,22:00,13.076
8/1/2012,22:30,12.883
8/1/2012,23:00,12.787
8/1/2012,23:30,12.69
8/2/2012,0:00,12.594
8/2/2012,0:30,12.497
8/2/2012,1:00,12.497
8/2/2012,1:30,12.401
8/2/2012,2:00,12.304
8/2/2012,2:30,12.207
8/2/2012,3:00,12.11
8/2/2012,3:30,12.11
8/2/2012,4:00,12.013
8/2/2012,4:30,12.013
8/2/2012,5:00,11.916
8/2/2012,5:30,11.916
8/2/2012,6:00,11.819
8/2/2012,6:30,11.819
8/2/2012,7:00,11.819
8/2/2012,7:30,11.819
8/2/2012,8:00,11.722
8/2/2012,8:30,11.722
8/2/2012,9:00,11.722
8/2/2012,9:30,11.722
8/2/2012,10:00,11.722
8/2/2012,10:30,11.722
8/2/2012,11:00,11.625
8/2/2012,11:30,11.625
8/2/2012,12:00,11.625
8/2/2012,12:30,11.625
8/2/2012,13:00,11.625
8/2/2012,13:30,11.625
8/2/2012,14:00,11.625
8/2/2012,14:30,11.625
8/2/2012,15:00,11.625
8/2/2012,15:30,11.625
8/2/2012,16:00,11.625
8/2/2012,16:30,11.625
8/2/2012,17:00,11.625
8/2/2012,17:30,11.625
8/2/2012,18:00,11.528
8/2/2012,18:30,11.528
8/2/2012,19:00,11.528
8/2/2012,19:30,11.528
8/2/2012,20:00,11.528
8/2/2012,20:30,11.431
8/2/2012,21:00,11.431
8/2/2012,21:30,11.431
8/2/2012,22:00,11.334
8/2/2012,22:30,11.334
8/2/2012,23:00,11.236
8/2/2012,23:30,11.236
8/3/2012,0:00,11.236
8/3/2012,0:30,11.139
8/3/2012,1:00,11.139
8/3/2012,1:30,11.041
8/3/2012,2:00,11.041
8/3/2012,2:30,11.041
8/3/2012,3:00,10.944
8/3/2012,3:30,10.944
8/3/2012,4:00,10.846
8/3/2012,4:30,10.846
8/3/2012,5:00,10.748
8/3/2012,5:30,10.748
8/3/2012,6:00,10.748
8/3/2012,6:30,10.748
8/3/2012,7:00,10.748
8/3/2012,7:30,10.651
8/3/2012,8:00,10.651
8/3/2012,8:30,10.651
8/3/2012,9:00,10.748
8/3/2012,9:30,10.748
8/3/2012,10:00,10.748
8/3/2012,10:30,10.748
8/3/2012,11:00,10.846
8/3/2012,11:30,10.846
8/3/2012,12:00,10.944
8/3/2012,12:30,11.139
8/3/2012,13:00,11.236
8/3/2012,13:30,11.334
8/3/2012,14:00,11.431
8/3/2012,14:30,11.528
8/3/2012,15:00,11.625
8/3/2012,15:30,11.819
8/3/2012,16:00,11.916
8/3/2012,16:30,12.013
8/3/2012,17:00,12.207
8/3/2012,17:30,12.207
8/3/2012,18:00,12.304
8/3/2012,18:30,12.401
8/3/2012,19:00,12.401
8/3/2012,19:30,12.497
8/3/2012,20:00,12.497
8/3/2012,20:30,12.594
8/3/2012,21:00,12.594
8/3/2012,21:30,12.594
8/3/2012,22:00,12.69
8/3/2012,22:30,12.69
8/3/2012,23:00,12.69
8/3/2012,23:30,12.787
8/4/2012,0:00,12.883
8/4/2012,0:30,12.883
8/4/2012,1:00,12.883
8/4/2012,1:30,12.883
8/4/2012,2:00,12.69
8/4/2012,2:30,12.594
8/4/2012,3:00,12.497
8/4/2012,3:30,12.401
8/4/2012,4:00,12.207
8/4/2012,4:30,12.11
8/4/2012,5:00,12.013
8/4/2012,5:30,11.819
8/4/2012,6:00,11.722
8/4/2012,6:30,11.625
8/4/2012,7:00,11.528
8/4/2012,7:30,11.528
8/4/2012,8:00,11.431
8/4/2012,8:30,11.431
8/4/2012,9:00,11.431
8/4/2012,9:30,11.431
8/4/2012,10:00,11.431
8/4/2012,10:30,11.528
8/4/2012,11:00,11.528
8/4/2012,11:30,11.625
8/4/2012,12:00,11.625
8/4/2012,12:30,11.722
8/4/2012,13:00,11.722
8/4/2012,13:30,11.819
8/4/2012,14:00,11.819
8/4/2012,14:30,11.819
8/4/2012,15:00,11.916
8/4/2012,15:30,11.916
8/4/2012,16:00,12.013
8/4/2012,16:30,12.013
8/4/2012,17:00,12.013
8/4/2012,17:30,12.11
8/4/2012,18:00,12.11
8/4/2012,18:30,12.207
8/4/2012,19:00,12.207
8/4/2012,19:30,12.207
8/4/2012,20:00,12.207
8/4/2012,20:30,12.207
8/4/2012,21:00,12.207
8/4/2012,21:30,12.207
8/4/2012,22:00,12.207
8/4/2012,22:30,12.207
8/4/2012,23:00,12.304
8/4/2012,23:30,12.207
8/5/2012,0:00,12.304
8/5/2012,0:30,12.304
8/5/2012,1:00,12.304
8/5/2012,1:30,12.207
8/5/2012,2:00,12.11
8/5/2012,2:30,12.013
8/5/2012,3:00,11.916
8/5/2012,3:30,11.916
8/5/2012,4:00,11.819
8/5/2012,4:30,11.722
8/5/2012,5:00,11.722
8/5/2012,5:30,11.625
8/5/2012,6:00,11.528
8/5/2012,6:30,11.431
8/5/2012,7:00,11.431
8/5/2012,7:30,11.334
8/5/2012,8:00,11.334
8/5/2012,8:30,11.236
8/5/2012,9:00,11.236
8/5/2012,9:30,11.236
8/5/2012,10:00,11.236
8/5/2012,10:30,11.236
8/5/2012,11:00,11.334
8/5/2012,11:30,11.334
8/5/2012,12:00,11.334
8/5/2012,12:30,11.334
8/5/2012,13:00,11.431
8/5/2012,13:30,11.431
8/5/2012,14:00,11.528
8/5/2012,14:30,11.528
8/5/2012,15:00,11.528
8/5/2012,15:30,11.625
8/5/2012,16:00,11.722
8/5/2012,16:30,11.722
8/5/2012,17:00,11.722
8/5/2012,17:30,11.819
8/5/2012,18:00,11.819
8/5/2012,18:30,11.819
8/5/2012,19:00,11.819
8/5/2012,19:30,11.916
8/5/2012,20:00,11.916
8/5/2012,20:30,11.916
8/5/2012,21:00,11.916
8/5/2012,21:30,11.916
8/5/2012,22:00,11.916
8/5/2012,22:30,11.916
8/5/2012,23:00,11.916
8/5/2012,23:30,11.916
8/6/2012,0:00,11.916
8/6/2012,0:30,12.013
8/6/2012,1:00,12.013
8/6/2012,1:30,12.013
8/6/2012,2:00,12.013
8/6/2012,2:30,11.916
8/6/2012,3:00,11.916
8/6/2012,3:30,11.819
8/6/2012,4:00,11.722
8/6/2012,4:30,11.625
8/6/2012,5:00,11.528
8/6/2012,5:30,11.431
8/6/2012,6:00,11.334
8/6/2012,6:30,11.334
8/6/2012,7:00,11.334
8/6/2012,7:30,11.334
8/6/2012,8:00,11.334
8/6/2012,8:30,11.334
8/6/2012,9:00,11.334
8/6/2012,9:30,11.334
8/6/2012,10:00,11.334
8/6/2012,10:30,11.334
8/6/2012,11:00,11.334
8/6/2012,11:30,11.334
8/6/2012,12:00,11.431
8/6/2012,12:30,11.431
8/6/2012,13:00,11.528
8/6/2012,13:30,11.528
8/6/2012,14:00,11.528
8/6/2012,14:30,11.528
8/6/2012,15:00,11.528
8/6/2012,15:30,11.625
8/6/2012,16:00,11.625
8/6/2012,16:30,11.625
8/6/2012,17:00,11.625
8/6/2012,17:30,11.625
8/6/2012,18:00,11.722
8/6/2012,18:30,11.722
8/6/2012,19:00,11.722
8/6/2012,19:30,11.722
8/6/2012,20:00,11.722
8/6/2012,20:30,11.722
8/6/2012,21:00,11.819
8/6/2012,21:30,11.819
8/6/2012,22:00,11.819
8/6/2012,22:30,11.819
8/6/2012,23:00,11.819
8/6/2012,23:30,11.819
8/7/2012,0:00,11.819
8/7/2012,0:30,11.819
8/7/2012,1:00,11.819
8/7/2012,1:30,11.722
8/7/2012,2:00,11.722
8/7/2012,2:30,11.625
8/7/2012,3:00,11.625
8/7/2012,3:30,11.625
8/7/2012,4:00,11.528
8/7/2012,4:30,11.431
8/7/2012,5:00,11.431
8/7/2012,5:30,11.431
8/7/2012,6:00,11.334
8/7/2012,6:30,11.334
8/7/2012,7:00,11.334
8/7/2012,7:30,11.236
8/7/2012,8:00,11.236
8/7/2012,8:30,11.334
8/7/2012,9:00,11.334
8/7/2012,9:30,11.334
8/7/2012,10:00,11.334
8/7/2012,10:30,11.431
8/7/2012,11:00,11.431
8/7/2012,11:30,11.431
8/7/2012,12:00,11.528
8/7/2012,12:30,11.625
8/7/2012,13:00,11.722
8/7/2012,13:30,11.722
8/7/2012,14:00,11.819
8/7/2012,14:30,11.819
8/7/2012,15:00,11.819
8/7/2012,15:30,11.916
8/7/2012,16:00,12.013
8/7/2012,16:30,12.013
8/7/2012,17:00,12.013
