Plot Title: 10201439,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10201439, SEN S/N: 10201439)"
11/08/2012,12:30,-1.228
11/08/2012,13:00,-1.57
11/08/2012,13:30,-1.341
11/08/2012,14:00,-1.001
11/08/2012,14:30,-1.114
11/08/2012,15:00,-1.114
11/08/2012,15:30,-1.456
11/08/2012,16:00,-2.261
11/08/2012,16:30,-3.434
11/08/2012,17:00,-4.152
11/08/2012,17:30,-5.125
11/08/2012,18:00,-5.62
11/08/2012,18:30,-6.246
11/08/2012,19:00,-6.626
11/08/2012,19:30,-7.138
11/08/2012,20:00,-7.397
11/08/2012,20:30,-7.787
11/08/2012,21:00,-7.918
11/08/2012,21:30,-8.314
11/08/2012,22:00,-8.447
11/08/2012,22:30,-8.713
11/08/2012,23:00,-8.982
11/08/2012,23:30,-8.982
11/09/2012,00:00,-8.847
11/09/2012,00:30,-9.117
11/09/2012,01:00,-9.252
11/09/2012,01:30,-9.252
11/09/2012,02:00,-9.388
11/09/2012,02:30,-9.662
11/09/2012,03:00,-9.662
11/09/2012,03:30,-9.799
11/09/2012,04:00,-10.075
11/09/2012,04:30,-9.937
11/09/2012,05:00,-10.075
11/09/2012,05:30,-9.937
11/09/2012,06:00,-9.525
11/09/2012,06:30,-9.525
11/09/2012,07:00,-9.799
11/09/2012,07:30,-9.662
11/09/2012,08:00,-9.937
11/09/2012,08:30,-9.525
11/09/2012,09:00,-9.252
11/09/2012,09:30,-8.58
11/09/2012,10:00,-8.05
11/09/2012,10:30,-6.373
11/09/2012,11:00,-5.372
11/09/2012,11:30,-4.152
11/09/2012,12:00,-3.672
11/09/2012,12:30,-3.079
11/09/2012,13:00,-2.727
11/09/2012,13:30,-2.377
11/09/2012,14:00,-2.145
11/09/2012,14:30,-1.914
11/09/2012,15:00,-1.684
11/09/2012,15:30,-1.57
11/09/2012,16:00,-1.57
11/09/2012,16:30,-1.799
11/09/2012,17:00,-2.03
11/09/2012,17:30,-2.261
11/09/2012,18:00,-2.494
11/09/2012,18:30,-2.494
11/09/2012,19:00,-2.377
11/09/2012,19:30,-2.377
11/09/2012,20:00,-2.377
11/09/2012,20:30,-2.261
11/09/2012,21:00,-2.261
11/09/2012,21:30,-2.145
11/09/2012,22:00,-2.145
11/09/2012,22:30,-2.03
11/09/2012,23:00,-1.914
11/09/2012,23:30,-1.914
11/10/2012,00:00,-1.799
11/10/2012,00:30,-1.799
11/10/2012,01:00,-1.799
11/10/2012,01:30,-1.799
11/10/2012,02:00,-1.684
11/10/2012,02:30,-1.799
11/10/2012,03:00,-1.684
11/10/2012,03:30,-1.341
11/10/2012,04:00,-0.887
11/10/2012,04:30,-0.437
11/10/2012,05:00,-0.213
11/10/2012,05:30,0.01
11/10/2012,06:00,0.121
11/10/2012,06:30,0.01
11/10/2012,07:00,0.01
11/10/2012,07:30,0.01
11/10/2012,08:00,0.121
11/10/2012,08:30,0.232
11/10/2012,09:00,0.121
11/10/2012,09:30,0.232
11/10/2012,10:00,0.232
11/10/2012,10:30,0.232
11/10/2012,11:00,0.343
11/10/2012,11:30,0.343
11/10/2012,12:00,0.343
11/10/2012,12:30,0.453
11/10/2012,13:00,0.453
11/10/2012,13:30,0.453
11/10/2012,14:00,0.453
11/10/2012,14:30,0.453
11/10/2012,15:00,0.343
11/10/2012,15:30,0.453
11/10/2012,16:00,0.343
11/10/2012,16:30,0.232
11/10/2012,17:00,0.232
11/10/2012,17:30,0.232
11/10/2012,18:00,0.232
11/10/2012,18:30,0.232
11/10/2012,19:00,0.232
11/10/2012,19:30,0.232
11/10/2012,20:00,0.232
11/10/2012,20:30,0.232
11/10/2012,21:00,0.232
11/10/2012,21:30,0.232
11/10/2012,22:00,0.232
11/10/2012,22:30,0.232
11/10/2012,23:00,0.232
11/10/2012,23:30,0.232
11/11/2012,00:00,0.232
11/11/2012,00:30,0.232
11/11/2012,01:00,0.343
11/11/2012,01:30,0.232
11/11/2012,02:00,0.232
11/11/2012,02:30,0.232
11/11/2012,03:00,0.232
11/11/2012,03:30,0.232
11/11/2012,04:00,0.343
11/11/2012,04:30,0.232
11/11/2012,05:00,0.232
11/11/2012,05:30,0.232
11/11/2012,06:00,0.232
