Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10201436, SEN S/N: 10201436)"
11/08/2012,13:00,0.121
11/08/2012,13:30,-0.549
11/08/2012,14:00,0.563
11/08/2012,14:30,0.563
11/08/2012,15:00,0.563
11/08/2012,15:30,0.121
11/08/2012,16:00,-1.228
11/08/2012,16:30,-2.377
11/08/2012,17:00,-3.197
11/08/2012,17:30,-3.792
11/08/2012,18:00,-4.758
11/08/2012,18:30,-5.745
11/08/2012,19:00,-5.995
11/08/2012,19:30,-6.499
11/08/2012,20:00,-6.882
11/08/2012,20:30,-7.138
11/08/2012,21:00,-7.527
11/08/2012,21:30,-7.787
11/08/2012,22:00,-8.05
11/08/2012,22:30,-8.182
11/08/2012,23:00,-8.314
11/08/2012,23:30,-8.447
11/09/2012,00:00,-8.58
11/09/2012,00:30,-8.447
11/09/2012,01:00,-8.847
11/09/2012,01:30,-8.58
11/09/2012,02:00,-8.447
11/09/2012,02:30,-8.982
11/09/2012,03:00,-8.982
11/09/2012,03:30,-8.982
11/09/2012,04:00,-9.252
11/09/2012,04:30,-9.117
11/09/2012,05:00,-9.388
11/09/2012,05:30,-9.117
11/09/2012,06:00,-8.982
11/09/2012,06:30,-8.982
11/09/2012,07:00,-9.252
11/09/2012,07:30,-9.252
11/09/2012,08:00,-9.252
11/09/2012,08:30,-9.117
11/09/2012,09:00,-8.713
11/09/2012,09:30,-8.314
11/09/2012,10:00,-7.527
11/09/2012,10:30,-5.745
11/09/2012,11:00,-4.758
11/09/2012,11:30,-3.911
11/09/2012,12:00,-3.553
11/09/2012,12:30,-2.962
11/09/2012,13:00,-2.727
11/09/2012,13:30,-2.377
11/09/2012,14:00,-2.145
11/09/2012,14:30,-1.914
11/09/2012,15:00,-1.57
11/09/2012,15:30,-1.57
11/09/2012,16:00,-1.456
11/09/2012,16:30,-1.799
11/09/2012,17:00,-1.914
11/09/2012,17:30,-2.261
11/09/2012,18:00,-2.377
11/09/2012,18:30,-2.377
11/09/2012,19:00,-2.261
11/09/2012,19:30,-2.145
11/09/2012,20:00,-2.145
11/09/2012,20:30,-2.145
11/09/2012,21:00,-2.145
11/09/2012,21:30,-2.145
11/09/2012,22:00,-2.03
11/09/2012,22:30,-1.684
11/09/2012,23:00,-1.456
11/09/2012,23:30,-1.684
11/10/2012,00:00,-1.799
11/10/2012,00:30,-1.799
11/10/2012,01:00,-1.799
11/10/2012,01:30,-1.799
11/10/2012,02:00,-1.799
11/10/2012,02:30,-1.799
11/10/2012,03:00,-1.684
11/10/2012,03:30,-1.228
11/10/2012,04:00,-0.774
11/10/2012,04:30,-0.437
11/10/2012,05:00,-0.213
11/10/2012,05:30,0.01
11/10/2012,06:00,0.121
11/10/2012,06:30,0.121
11/10/2012,07:00,0.121
11/10/2012,07:30,0.232
11/10/2012,08:00,0.232
11/10/2012,08:30,0.343
11/10/2012,09:00,0.343
11/10/2012,09:30,0.453
11/10/2012,10:00,0.343
11/10/2012,10:30,0.343
11/10/2012,11:00,0.453
11/10/2012,11:30,0.453
11/10/2012,12:00,0.453
11/10/2012,12:30,0.674
11/10/2012,13:00,0.893
11/10/2012,13:30,1.221
11/10/2012,14:00,0.893
11/10/2012,14:30,0.893
11/10/2012,15:00,1.003
11/10/2012,15:30,1.221
11/10/2012,16:00,1.33
11/10/2012,16:30,0.563
11/10/2012,17:00,0.563
11/10/2012,17:30,0.453
11/10/2012,18:00,0.343
11/10/2012,18:30,0.232
