"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",5.35455959773948,1.29852545596718
"02","2090s",4.6651207205754,1.34313574835711
"03","2090s",4.70849734742026,1.30210827150255
"04","2090s",5.15705589638236,1.41322593491389
"05","2090s",3.64322259071608,1.12718062523723
"06","2090s",3.06772328552121,0.989619902985162
"07","2090s",3.17903189678589,0.761104802561534
"08","2090s",3.54745892190614,0.364620808255904
"09","2090s",4.20734133680803,0.235834946264226
"10","2090s",5.1318608665848,0.59933640424034
"11","2090s",5.82338486819404,1.39894375320907
"12","2090s",6.37875007793753,1.94941994445037
