year,month,model,temperature,rcp,site,date
2012,Jan,Model1,-0.331250763906442,4.5,CRD,2012-01-01
2012,Oct,Model1,6.28,4.5,CRD,2012-10-01
2012,Apr,Model1,0.703251255364951,4.5,CRD,2012-04-01
2087,Apr,Model1,10.1942987884926,4.5,CRD,2087-04-01
2087,May,Model1,11.0775205039981,4.5,CRD,2087-05-01
2087,Jun,Model1,12.8734256169934,4.5,CRD,2087-06-01
2087,Jul,Model1,13.6997825286569,4.5,CRD,2087-07-01
2087,Aug,Model1,14.0786721551673,4.5,CRD,2087-08-01
2087,Sep,Model1,13.2749192208829,4.5,CRD,2087-09-01
2087,Oct,Model1,12.0230165582441,4.5,CRD,2087-10-01
2087,Nov,Model1,9.1759823333716,4.5,CRD,2087-11-01
2087,Dec,Model1,7.95855402558248,4.5,CRD,2087-12-01
2088,Jan,Model1,3.79619040728287,4.5,CRD,2088-01-01
2012,May,Model1,3.35062991568332,4.5,CRD,2012-05-01
2088,Feb,Model1,3.04705127328154,4.5,CRD,2088-02-01
2088,Mar,Model1,0.997236412156306,4.5,CRD,2088-03-01
2088,Apr,Model1,5.25982896952605,4.5,CRD,2088-04-01
2088,May,Model1,7.85638662299864,4.5,CRD,2088-05-01
2088,Jun,Model1,10.5759448696609,4.5,CRD,2088-06-01
2088,Jul,Model1,12.8569573886504,4.5,CRD,2088-07-01
2088,Aug,Model1,13.6042308318182,4.5,CRD,2088-08-01
2088,Sep,Model1,13.4423361152698,4.5,CRD,2088-09-01
2088,Oct,Model1,12.0678393215798,4.5,CRD,2088-10-01
2088,Nov,Model1,9.49248671195259,4.5,CRD,2088-11-01
2012,Jun,Model1,7.22121926384653,4.5,CRD,2012-06-01
2088,Dec,Model1,8.08740867678163,4.5,CRD,2088-12-01
2089,Jan,Model1,6.94955384276883,4.5,CRD,2089-01-01
2089,Feb,Model1,6.04652721804614,4.5,CRD,2089-02-01
2089,Mar,Model1,5.18470615177893,4.5,CRD,2089-03-01
2089,Apr,Model1,8.94238045405528,4.5,CRD,2089-04-01
2089,May,Model1,10.6823891288033,4.5,CRD,2089-05-01
2089,Jun,Model1,12.4811911264141,4.5,CRD,2089-06-01
2089,Jul,Model1,13.6818861238886,4.5,CRD,2089-07-01
2089,Aug,Model1,14.2302197402759,4.5,CRD,2089-08-01
2089,Sep,Model1,14.097393410602,4.5,CRD,2089-09-01
2012,Jul,Model1,10.7449378706851,4.5,CRD,2012-07-01
2089,Oct,Model1,11.7840665675591,4.5,CRD,2089-10-01
2089,Nov,Model1,10.1507525959271,4.5,CRD,2089-11-01
2089,Dec,Model1,7.86950686761526,4.5,CRD,2089-12-01
2090,Jan,Model1,5.52276025484307,4.5,CRD,2090-01-01
2090,Feb,Model1,5.29585818030787,4.5,CRD,2090-02-01
2090,Mar,Model1,4.31680491092236,4.5,CRD,2090-03-01
2090,Apr,Model1,7.04050953806856,4.5,CRD,2090-04-01
2090,May,Model1,9.34923864703322,4.5,CRD,2090-05-01
2090,Jun,Model1,11.8473058124186,4.5,CRD,2090-06-01
2090,Jul,Model1,13.883770481926,4.5,CRD,2090-07-01
2012,Aug,Model1,11.7528970396499,4.5,CRD,2012-08-01
2090,Aug,Model1,14.9427913259242,4.5,CRD,2090-08-01
2090,Sep,Model1,14.1149725169738,4.5,CRD,2090-09-01
2090,Oct,Model1,12.2449861364125,4.5,CRD,2090-10-01
2090,Nov,Model1,10.5619514465535,4.5,CRD,2090-11-01
2090,Dec,Model1,6.57748309430585,4.5,CRD,2090-12-01
2091,Jan,Model1,5.28727431991561,4.5,CRD,2091-01-01
2091,Feb,Model1,5.46902557000894,4.5,CRD,2091-02-01
2091,Mar,Model1,5.87672439552589,4.5,CRD,2091-03-01
2091,Apr,Model1,11.0278091366006,4.5,CRD,2091-04-01
2091,May,Model1,12.6727989595289,4.5,CRD,2091-05-01
2012,Sep,Model1,10.800149136423,4.5,CRD,2012-09-01
2091,Jun,Model1,14.3493200079854,4.5,CRD,2091-06-01
2091,Jul,Model1,15.247943881917,4.5,CRD,2091-07-01
2091,Aug,Model1,15.6967274883157,4.5,CRD,2091-08-01
2091,Sep,Model1,14.3388088209767,4.5,CRD,2091-09-01
2091,Oct,Model1,12.3002432979933,4.5,CRD,2091-10-01
2091,Nov,Model1,10.2488218984441,4.5,CRD,2091-11-01
2091,Dec,Model1,11.9251979023009,4.5,CRD,2091-12-01
2092,Jan,Model1,8.9720736591823,4.5,CRD,2092-01-01
2092,Feb,Model1,7.32583573761426,4.5,CRD,2092-02-01
2092,Mar,Model1,6.93336088608769,4.5,CRD,2092-03-01
2012,Oct,Model1,8.60678459747483,4.5,CRD,2012-10-01
2092,Apr,Model1,9.64943006861696,4.5,CRD,2092-04-01
2092,May,Model1,11.9497664260909,4.5,CRD,2092-05-01
2092,Jun,Model1,13.4880795845154,4.5,CRD,2092-06-01
2092,Jul,Model1,15.0917891693667,4.5,CRD,2092-07-01
2092,Aug,Model1,15.6363432683734,4.5,CRD,2092-08-01
2092,Sep,Model1,14.7879878266934,4.5,CRD,2092-09-01
2092,Oct,Model1,13.9007722230947,4.5,CRD,2092-10-01
2092,Nov,Model1,13.8148604717435,4.5,CRD,2092-11-01
2092,Dec,Model1,10.4242822441632,4.5,CRD,2092-12-01
2093,Jan,Model1,8.82550377909403,4.5,CRD,2093-01-01
2012,Nov,Model1,6.21127951152786,4.5,CRD,2012-11-01
2093,Feb,Model1,3.79235257305858,4.5,CRD,2093-02-01
2093,Mar,Model1,5.4076379385615,4.5,CRD,2093-03-01
2093,Apr,Model1,8.02757425999001,4.5,CRD,2093-04-01
2093,May,Model1,10.6316908420664,4.5,CRD,2093-05-01
2093,Jun,Model1,12.3713296705101,4.5,CRD,2093-06-01
2093,Jul,Model1,14.2379747241449,4.5,CRD,2093-07-01
2093,Aug,Model1,15.7344696495399,4.5,CRD,2093-08-01
2093,Sep,Model1,15.0350578027794,4.5,CRD,2093-09-01
2093,Oct,Model1,12.8425871259875,4.5,CRD,2093-10-01
2093,Nov,Model1,10.9703645238531,4.5,CRD,2093-11-01
2012,Dec,Model1,5.56188924848628,4.5,CRD,2012-12-01
2093,Dec,Model1,9.15331148900825,4.5,CRD,2093-12-01
