"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-2.61436939828543,-0.293901663804826,2.03262990660338,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-1.11378452289502,0.657745326350957,2.50447009347993,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-2.61864521050447,-0.812591513386773,0.951516638261109,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-0.212748123724304,2.06582541215881,4.45471997778636,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,1.57154514942904,4.36338920299875,7.27636014927268,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,8.35545992947601,10.1121942637772,11.9344958795788,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,10.3918282932408,12.1786509673244,13.8966935365129,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,10.9318123043638,12.7262288923917,14.4666521356606,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,7.67710605002509,9.40657413747931,11.2220975987882,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,1.84349524253406,3.70010364543009,5.48016347339817,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-3.14407570812133,-0.834346996287064,1.29915976983123,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-3.7369298759391,-1.42360181985653,0.686748112188213,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-1.21012058307201,0.516904299894422,2.31729886854539,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.547566219988629,1.44604154332418,3.52645535525762,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-1.58795847419139,0.133784161026811,1.85739293272669,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-1.02845356334212,0.694050210906453,2.4974720561314,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,2.55122671664653,5.05602721111578,7.64179298610776,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,12.2166554957637,14.223566206089,16.1010226044473,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,12.7974425627999,14.8048543577318,16.6551845125108,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,12.0987907737524,13.9537785383236,15.7041163376421,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,8.89885539313645,10.6073054779431,12.3818948564958,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.43166396497622,7.18400981764461,9.0172863294779,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-0.838647772340375,1.15217701254196,3.0191951208039,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-3.13783508375537,-1.0299732097184,0.917474881186403,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-0.0823693567346201,2.08216032222088,4.32881505858472,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-3.95046054016709,-1.54146297812193,0.621212173942342,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-1.40147681463064,0.290744671948627,2.03625738877695,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,0.593266550921612,2.67483224848348,4.88156738041913,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,8.75104764694979,10.4517996209866,12.1872978145203,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,9.93217040791063,11.9573661391493,13.8363957923748,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
