"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TDN","Cabin","TDS","Square","EyakS","RHM","BeaverS","CanneryControl","Wooded"
"1","01-2012","CORDOVA AIRPORT",-8.22,4.4,-23.9,"CR",0.07,-0.38,0.32,0.53,NA,NA,NA,NA,NA
"2","01-2013","CORDOVA AIRPORT",-0.43,8.3,-22.2,"CR",1.1,0.04,1.39,1.86,0.48,0.37,2.12,NA,NA
"3","01-2014","CORDOVA AIRPORT",2.34,13.9,-9.3,"CR",1,0.51,0.62,2.29,1.82,0.67,2.56,NA,NA
"4","01-2015","CORDOVA AIRPORT",-0.91,9.4,-14.3,"CR",NA,0.67,NA,NA,NA,1.57,NA,NA,NA
"5","01-2016","CORDOVA AIRPORT",2.16,8.3,-7.7,"CR",NA,1.23,2.02,NA,NA,1.44,NA,NA,NA
"6","01-2017","CORDOVA AIRPORT",-4.73,5,-19.3,"CR",NA,0.07,-1.12,NA,NA,1.07,NA,-0.56,0.81
"7","01-2018","CORDOVA AIRPORT",-1.48,10.6,-14.9,"CR",NA,0.38,0.89,NA,NA,0.37,NA,NA,NA
"8","01-2019","CORDOVA AIRPORT",-2.62,8.3,-18.8,"CR",NA,0.43,NA,NA,2.63,0.33,NA,1.58,1.06
"9","02-2012","CORDOVA AIRPORT",-0.17,8.9,-13.9,"CR",-0.06,0.05,0.3,0.18,NA,NA,NA,NA,NA
"10","02-2013","CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",1.01,0.16,1.37,2.35,0.44,0.23,2.06,NA,NA
"11","02-2014","CORDOVA AIRPORT",-4.91,11.7,-19.3,"CR",0.03,0.05,-0.23,3.26,1.81,0.48,2.02,NA,NA
"12","02-2015","CORDOVA AIRPORT",0.21,8.9,-13.8,"CR",NA,0.57,NA,NA,NA,2.07,NA,NA,NA
"13","02-2016","CORDOVA AIRPORT",2.56,9.4,-7.7,"CR",NA,1.64,2.81,NA,NA,2.48,NA,NA,NA
"14","02-2017","CORDOVA AIRPORT",-2.32,7.2,-13.2,"CR",NA,0.09,-1.04,NA,NA,0.37,NA,-0.27,0.5
"15","02-2018","CORDOVA AIRPORT",-3.75,8.3,-19.3,"CR",NA,0.08,0.3,NA,NA,0.33,NA,NA,NA
"16","02-2019","CORDOVA AIRPORT",-2.65,6.7,-15.5,"CR",NA,0.19,NA,NA,2.46,0.17,NA,1.2,0.84
"17","03-2012","CORDOVA AIRPORT",-2.9,10,-16.1,"CR",0,-0.33,0.33,0.04,NA,NA,NA,NA,NA
"18","03-2013","CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.26,0.11,1.15,3.66,0.14,0.17,1.55,NA,NA
"19","03-2014","CORDOVA AIRPORT",-0.92,11.7,-11.6,"CR",0.36,0.02,-0.74,2.39,0.33,0.21,1.63,NA,NA
"20","03-2015","CORDOVA AIRPORT",0.64,12.2,-16.6,"CR",NA,1.32,NA,NA,NA,3.96,NA,NA,NA
"21","03-2016","CORDOVA AIRPORT",3.56,20,-7.1,"CR",NA,3.5,4.92,NA,NA,4.7,NA,NA,NA
"22","03-2017","CORDOVA AIRPORT",-4.02,5,-19.3,"CR",NA,0.07,-1.46,NA,NA,0.12,NA,-1.14,0.34
"23","03-2018","CORDOVA AIRPORT",-0.1,8.9,-13.8,"CR",NA,0.26,0.29,NA,NA,0.96,NA,NA,NA
"24","03-2019","CORDOVA AIRPORT",3.62,16.1,-10.5,"CR",NA,0.68,NA,NA,2.36,1.15,NA,0.61,1.39
"25","04-2012","CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",-0.02,0.26,0.32,1.19,NA,NA,NA,NA,NA
"26","04-2013","CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",0.2,0.22,0.94,4.37,0.13,0.35,1.02,NA,NA
"27","04-2014","CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",5.55,1.21,5.06,5.62,3.55,4.47,1.5,NA,NA
"28","04-2015","CORDOVA AIRPORT",3.68,13.3,-5.5,"CR",NA,4.4,NA,NA,NA,6.04,NA,NA,NA
"29","04-2016","CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,7.29,8.54,NA,NA,8.12,NA,NA,NA
"30","04-2017","CORDOVA AIRPORT",4.27,16.1,-5.5,"CR",NA,0.91,5.31,NA,NA,3.13,NA,2.54,3.6
"31","04-2018","CORDOVA AIRPORT",3.23,13.9,-7.7,"CR",NA,1.7,4.22,NA,NA,3.71,NA,NA,NA
"32","04-2019","CORDOVA AIRPORT",4.34,15,-3.8,"CR",NA,3.88,NA,NA,7.41,4.48,NA,8.64,5.72
"33","05-2012","CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",5.96,1.76,6.21,8.08,NA,NA,NA,NA,NA
"34","05-2013","CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",8.27,2.89,9.32,9.47,6.87,7.12,1.01,NA,NA
"35","05-2014","CORDOVA AIRPORT",9.15,23.3,-1,"CR",15.64,10.57,14.26,14.38,15.39,13.52,8.46,NA,NA
"36","05-2015","CORDOVA AIRPORT",8.71,21.1,-2.7,"CR",NA,12.48,14.42,NA,NA,13.52,NA,NA,NA
"37","05-2016","CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,12.47,14.21,NA,NA,12.87,NA,NA,NA
"38","05-2017","CORDOVA AIRPORT",6.4,21.7,-3.8,"CR",NA,7.24,11.67,NA,NA,7.01,NA,12.15,10.81
"39","05-2018","CORDOVA AIRPORT",6.37,18.3,-2.7,"CR",NA,6.52,10.43,NA,NA,5.28,NA,NA,NA
"40","05-2019","CORDOVA AIRPORT",8.41,18.9,-1,"CR",NA,9.74,NA,NA,12.75,7.99,NA,12.79,11.54
"41","06-2011",NA,NA,NA,NA,"CR",17.53,NA,NA,NA,NA,NA,NA,NA,NA
"42","06-2012","CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",14.89,9.59,14.45,14.48,NA,NA,NA,NA,NA
"43","06-2013","CORDOVA AIRPORT",12.19,32.2,2.2,"CR",17.91,15.09,18.29,17.95,17.93,15.5,6.52,NA,NA
"44","06-2014","CORDOVA AIRPORT",9.68,21.7,0.6,"CR",15.6,12.95,16.42,15.17,15.86,13.41,10.87,NA,NA
"45","06-2015","CORDOVA AIRPORT",11.28,27.8,2.8,"CR",NA,14.45,15.77,NA,NA,13.28,NA,17.05,16.21
"46","06-2016","CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,15.73,17.45,NA,NA,14.51,NA,19.04,18.58
"47","06-2017","CORDOVA AIRPORT",10.48,21.7,1.1,"CR",NA,13.18,15.89,NA,15.93,9.08,NA,16.48,15.05
"48","06-2018","CORDOVA AIRPORT",10.43,20,0,"CR",NA,12.69,15.82,NA,15.78,9.56,NA,16.12,15.68
"49","06-2019","CORDOVA AIRPORT",12.63,26.1,2.8,"CR",NA,NA,NA,NA,17.55,11.47,NA,17.77,16.11
"50","07-2011",NA,NA,NA,NA,"CR",17.42,NA,NA,NA,NA,NA,NA,NA,NA
"51","07-2012","CORDOVA AIRPORT",10.67,20,5,"CR",14.08,12.51,14.13,13.93,NA,10.04,9.47,NA,NA
"52","07-2013","CORDOVA AIRPORT",12.81,21.7,3.9,"CR",16.33,15.65,18.13,16.37,NA,13.64,11,NA,NA
"53","07-2014","CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,15.04,18.04,16.8,NA,15.45,12.87,NA,NA
"54","07-2015","CORDOVA AIRPORT",12.82,25.6,5,"CR",NA,16,17.31,NA,NA,13.99,NA,19.05,17.48
"55","07-2016","CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,17.38,NA,NA,15.31,NA,19.64,19.55
"56","07-2017","CORDOVA AIRPORT",12.55,22.8,3.3,"CR",NA,15.57,17.88,NA,17.94,10.8,NA,18.39,17.08
"57","07-2018","CORDOVA AIRPORT",12.96,26.7,3.3,"CR",NA,14.72,NA,NA,17.46,11.41,NA,18.03,17.11
"58","07-2019","CORDOVA AIRPORT",14.82,24.4,7.2,"CR",NA,NA,NA,NA,19.78,13.59,NA,20.38,19.29
"59","08-2011",NA,NA,NA,NA,"CR",13.89,NA,NA,NA,NA,NA,NA,NA,NA
"60","08-2012","CORDOVA AIRPORT",11.15,18.9,0.6,"CR",14.67,13.15,14.51,14.36,15.43,9.75,10.1,NA,NA
"61","08-2013","CORDOVA AIRPORT",12.35,20,2.2,"CR",15.21,14.4,15.72,15.42,15.04,12.35,12.11,NA,NA
"62","08-2014","CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,13.22,17.16,16.93,NA,12.91,NA,NA,NA
"63","08-2015","CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,15.77,16.29,NA,NA,13.4,NA,18.08,17.38
"64","08-2016","CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,15.3,NA,NA,12.78,NA,16.44,15.27
"65","08-2017","CORDOVA AIRPORT",12.03,25,2.2,"CR",NA,13.82,15.39,NA,16.06,10.73,NA,16.58,16.1
"66","08-2018","CORDOVA AIRPORT",12,22.2,2.2,"CR",NA,13.11,NA,NA,15.58,11.03,NA,15.96,15.46
"67","08-2019","CORDOVA AIRPORT",13.73,28.9,0.6,"CR",NA,NA,NA,NA,18.56,12.79,NA,19.2,17.39
"68","09-2011",NA,NA,NA,NA,"CR",10,7.97,9,8.69,NA,NA,NA,NA,NA
"69","09-2012","CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",10.08,8.89,9.78,10.03,9.97,8.72,8.78,NA,NA
"70","09-2013","CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",11.54,10.21,11.58,11.68,12.01,10.21,9.03,NA,NA
"71","09-2014","CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,10.68,NA,NA,NA,10.26,NA,NA,NA
"72","09-2015","CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,10,10.47,NA,NA,8.78,NA,12.83,12.82
"73","09-2016","CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,12.37,NA,NA,10.17,NA,12.93,12.84
"74","09-2017","CORDOVA AIRPORT",9.49,17.8,0,"CR",NA,10.04,11.31,NA,11.69,9.08,NA,11.92,11.32
