"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","CAB","TIS","SQR","EYS","RHM","BVS","CAN","WDD"
"1",2011-06-01,NA,NA,NA,NA,"CR",14.86,NA,NA,NA,NA,NA,NA,NA,NA
"2",2011-07-01,NA,NA,NA,NA,"CR",13.86,NA,NA,NA,NA,NA,NA,NA,NA
"3",2011-08-01,NA,NA,NA,NA,"CR",10.98,NA,NA,NA,NA,NA,NA,NA,NA
"4",2011-09-01,NA,NA,NA,NA,"CR",6.69,6.48,6.69,6.99,NA,NA,NA,NA,NA
"5",2011-10-01,NA,NA,NA,NA,"CR",2.58,3.12,1.94,3.17,NA,NA,NA,NA,NA
"6",2011-11-01,NA,NA,NA,NA,"CR",1.24,0.11,0.6,2.15,NA,NA,NA,NA,NA
"7",2011-12-01,NA,NA,NA,NA,"CR",-0.03,0.05,0.72,1.04,NA,NA,NA,NA,NA
"8",2012-01-01,"CORDOVA AIRPORT",-8.22,4.4,-23.9,"CR",-0.09,-2.31,0.14,0.27,NA,NA,NA,NA,NA
"9",2012-02-01,"CORDOVA AIRPORT",-0.17,8.9,-13.9,"CR",-0.09,-2.31,0.14,0.08,NA,NA,NA,NA,NA
"10",2012-03-01,"CORDOVA AIRPORT",-2.9,10,-16.1,"CR",-0.06,-2.98,0.27,0.02,NA,NA,NA,NA,NA
"11",2012-04-01,"CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",-0.09,-1.27,0.19,0.02,NA,NA,NA,NA,NA
"12",2012-05-01,"CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",-0.03,0.41,0.14,1.91,NA,NA,NA,NA,NA
"13",2012-06-01,"CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",9.61,2.82,8.34,9.66,NA,NA,NA,NA,NA
"14",2012-07-01,"CORDOVA AIRPORT",10.67,20,5,"CR",10.79,9.04,10,10.47,NA,9.87,9.18,NA,NA
"15",2012-08-01,"CORDOVA AIRPORT",11.15,18.9,0.6,"CR",12.2,10.56,11.82,11.62,11.62,9.28,9.77,NA,NA
"16",2012-09-01,"CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",6.17,6.15,5.45,6.17,5.45,8.08,6.98,NA,NA
"17",2012-10-01,"CORDOVA AIRPORT",1.5,12.8,-12.2,"CR",3.37,1.4,1.66,2.19,1.44,4.31,5.45,NA,NA
"18",2012-11-01,"CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",1.78,0.02,2.3,2.09,0.67,1.98,3.47,NA,NA
"19",2012-12-01,"CORDOVA AIRPORT",-4.62,7.2,-20,"CR",0.72,-0.03,0.89,1.44,-0.44,0.45,2.41,NA,NA
"20",2013-01-01,"CORDOVA AIRPORT",-0.43,8.3,-22.2,"CR",0.72,-0.03,0.89,1.55,0.23,0.23,1.98,NA,NA
"21",2013-02-01,"CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",0.25,-0.03,0.23,1.76,0.12,0.12,1.98,NA,NA
"22",2013-03-01,"CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.01,-0.03,0.12,2.41,-0.32,0.12,1.22,NA,NA
"23",2013-04-01,"CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",-0.03,-0.03,0.12,3.15,0.12,0.12,0.89,NA,NA
"24",2013-05-01,"CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",0.12,0.08,1.44,4,0.12,0.01,0.56,NA,NA
"25",2013-06-01,"CORDOVA AIRPORT",12.19,32.2,2.2,"CR",11.04,7.54,10.06,11.43,10.16,7.58,1.76,NA,NA
"26",2013-07-01,"CORDOVA AIRPORT",12.81,21.7,3.9,"CR",12.63,10.12,12.01,12.5,NA,8.98,9.96,NA,NA
"27",2013-08-01,"CORDOVA AIRPORT",12.35,20,2.2,"CR",12.68,11.01,12.5,12.88,12.98,10.85,11.53,NA,NA
"28",2013-09-01,"CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",7.97,7.37,7.78,8.98,9.28,7.58,7.18,NA,NA
"29",2013-10-01,"CORDOVA AIRPORT",6.62,14.4,-2.7,"CR",4,4.66,2.73,5.35,5.86,5.35,6.78,NA,NA
"30",2013-11-01,"CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",1.87,0.19,-11.49,3.58,3.89,0.56,4.52,NA,NA
"31",2013-12-01,"CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",0.56,0,-7.92,2.19,1.98,0.45,3.37,NA,NA
"32",2014-01-01,"CORDOVA AIRPORT",2.34,13.9,-9.3,"CR",-3.79,0,-3.32,1.87,0.56,0.12,0.56,NA,NA
"33",2014-02-01,"CORDOVA AIRPORT",-4.91,11.7,-19.3,"CR",-11.34,-0.03,-3.67,2.19,0.67,0.23,1.87,NA,NA
"34",2014-03-01,"CORDOVA AIRPORT",-0.92,11.7,-11.6,"CR",-6.63,-0.06,-5.74,1.87,-0.21,-0.21,1.33,NA,NA
"35",2014-04-01,"CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",-2.14,0,-3.91,3.26,-0.21,-0.21,1.11,NA,NA
"36",2014-05-01,"CORDOVA AIRPORT",9.15,23.3,-1,"CR",9.18,3.14,9.08,10.75,9.37,5.66,2.41,NA,NA
"37",2014-06-01,"CORDOVA AIRPORT",9.68,21.7,0.6,"CR",11.43,8.74,10.94,11.92,10.65,7.08,9.37,NA,NA
"38",2014-07-01,"CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,11.81,12.69,14.52,NA,8.78,12.11,NA,NA
"39",2014-08-01,"CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,10.81,14.04,15.76,NA,10.75,NA,NA,NA
"40",2014-09-01,"CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,7.47,NA,NA,NA,6.78,NA,NA,NA
"41",2014-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,2.53,NA,NA,NA,4.73,NA,NA,NA
"42",2014-11-01,"CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,0.5,NA,NA,NA,2.84,NA,NA,NA
"43",2014-12-01,"CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,0.44,NA,NA,NA,1.66,NA,NA,NA
"44",2015-01-01,"CORDOVA AIRPORT",-0.91,9.4,-14.3,"CR",NA,0.05,NA,NA,NA,1,NA,NA,NA
"45",2015-02-01,"CORDOVA AIRPORT",0.21,8.9,-13.8,"CR",NA,0.05,NA,NA,NA,0.67,NA,NA,NA
"46",2015-03-01,"CORDOVA AIRPORT",0.64,12.2,-16.6,"CR",NA,0.14,NA,NA,NA,2.41,NA,NA,NA
"47",2015-04-01,"CORDOVA AIRPORT",3.68,13.3,-5.5,"CR",NA,2.45,NA,NA,NA,4,NA,NA,NA
"48",2015-05-01,"CORDOVA AIRPORT",8.71,21.1,-2.7,"CR",NA,7.07,8.14,NA,NA,5.44,NA,NA,NA
"49",2015-06-01,"CORDOVA AIRPORT",11.28,27.8,2.8,"CR",NA,8.89,8.77,NA,NA,7.32,NA,9.87,8.98
"50",2015-07-01,"CORDOVA AIRPORT",12.82,25.6,5,"CR",NA,11.93,13.14,NA,NA,9.66,NA,14.04,11.33
"51",2015-08-01,"CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,12.05,10.98,NA,NA,6.69,NA,11.04,12.21
"52",2015-09-01,"CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,6.54,6.99,NA,NA,3.12,NA,9.57,9.67
"53",2015-10-01,"CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,5.2,4.27,NA,NA,2.53,NA,NA,NA
"54",2015-11-01,"CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,0.3,1.32,NA,NA,0.11,NA,NA,NA
"55",2015-12-01,"CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,0.16,1.13,NA,NA,0.08,NA,NA,NA
"56",2016-01-01,"CORDOVA AIRPORT",2.16,8.3,-7.7,"CR",NA,0.63,0.85,NA,NA,0.14,NA,NA,NA
"57",2016-02-01,"CORDOVA AIRPORT",2.56,9.4,-7.7,"CR",NA,1.02,0,NA,NA,0.25,NA,NA,NA
"58",2016-03-01,"CORDOVA AIRPORT",3.56,20,-7.1,"CR",NA,1.99,2.07,NA,NA,0.99,NA,NA,NA
"59",2016-04-01,"CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,4.82,5,NA,NA,3.14,NA,NA,NA
"60",2016-05-01,"CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,6.15,5.87,NA,NA,4.48,NA,NA,NA
"61",2016-06-01,"CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,14.72,12.8,NA,NA,7.19,NA,14.42,13.46
"62",2016-07-01,"CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,13.69,NA,NA,10.61,NA,15.19,16.14
"63",2016-08-01,"CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,12.78,NA,NA,9.93,NA,13.37,8.78
"64",2016-09-01,"CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,6.94,NA,NA,8.1,NA,8.08,8.58
"65",2016-10-01,"CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,1.8,NA,NA,4.51,NA,1.98,1.76
"66",2016-11-01,"CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,0.72,0.77,NA,NA,2.9,NA,0.89,1.76
"67",2016-12-01,"CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,0.08,-0.82,NA,NA,1.64,NA,0.12,0.78
"68",2017-01-01,"CORDOVA AIRPORT",-4.73,5,-19.3,"CR",NA,0.02,-3.81,NA,NA,0.63,NA,-2.49,0.12
