STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100101,0.64,1.8,0.64,1.8,-2.7,1.2,-6.4,-11.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100102,1.27,3.6,1.27,3.6,-2.7,1.1,-6.6,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100103,1.9,5.3,1.9,5.3,-2.8,1.1,-6.6,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100104,2.54,7.1,2.54,7.1,-2.8,1.1,-6.7,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100105,3.2,9.1,3.2,9.1,-2.9,1,-6.7,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100106,3.84,10.9,3.84,10.9,-2.9,0.9,-6.8,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100107,4.44,13,4.44,13,-3,0.9,-6.9,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100108,5.05,14.7,5.05,14.7,-3,0.9,-6.9,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100109,5.64,16.5,5.64,16.5,-3.1,0.8,-7,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100110,6.22,18.5,6.22,18.5,-3.1,0.8,-7,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100111,6.81,20.1,6.81,20.1,-3.1,0.8,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100112,7.37,21.8,7.37,21.8,-3.2,0.8,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100113,7.92,23.4,7.92,23.4,-3.2,0.8,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100114,8.48,25.1,8.48,25.1,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100115,9.04,26.7,9.04,26.7,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100116,9.6,28.4,9.6,28.4,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100117,10.16,30,10.16,30,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100118,10.72,31.5,10.72,31.5,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100119,11.28,33.3,11.28,33.3,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100120,11.84,34.8,11.84,34.8,-3.2,0.7,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100121,12.4,36.6,12.4,36.6,-3.2,0.8,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100122,12.98,38.1,12.98,38.1,-3.2,0.8,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100123,13.56,39.9,13.56,39.9,-3.2,0.8,-7.2,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100124,14.17,41.7,14.17,41.7,-3.2,0.8,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100125,14.76,43.2,14.76,43.2,-3.1,0.9,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100126,15.32,45,15.32,45,-3.1,0.9,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100127,15.9,46.5,15.9,46.5,-3.1,0.9,-7.1,-11.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100128,16.48,48,16.48,48,-3,1,-7,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100129,17.04,49.5,17.04,49.5,-2.9,1.1,-6.9,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100130,17.58,51.1,17.58,51.1,-2.9,1.1,-6.9,-11.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100131,18.11,52.3,18.11,52.3,-2.8,1.2,-6.9,-11.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100201,0.58,1.5,18.69,53.8,-2.8,1.2,-6.8,-11.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100202,1.14,3,19.25,55.4,-2.7,1.3,-6.8,-11.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100203,1.7,4.6,19.81,56.9,-2.7,1.3,-6.7,-11.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100204,2.26,5.8,20.37,58.2,-2.6,1.4,-6.7,-11.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100205,2.82,7.4,20.93,59.7,-2.6,1.5,-6.7,-11.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100206,3.35,8.9,21.46,61.2,-2.5,1.6,-6.6,-11.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100207,3.91,10.4,22.02,62.7,-2.4,1.6,-6.6,-12
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100208,4.44,11.9,22.56,64.3,-2.4,1.7,-6.5,-12.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100209,5,13.5,23.11,65.8,-2.3,1.8,-6.4,-12.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100210,5.56,15.2,23.67,67.6,-2.3,1.8,-6.4,-12.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100211,6.12,16.8,24.23,69.1,-2.2,1.9,-6.4,-12.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100212,6.71,18.5,24.82,70.9,-2.2,2,-6.3,-12.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100213,7.29,20.3,25.4,72.6,-2.1,2.1,-6.3,-12.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100214,7.87,22.1,25.98,74.4,-2.1,2.2,-6.2,-12.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100215,8.46,24.1,26.57,76.5,-2,2.2,-6.2,-12.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100216,9.04,25.9,27.15,78.2,-1.9,2.3,-6.2,-12.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100217,9.63,27.9,27.74,80.3,-1.9,2.4,-6.2,-12.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100218,10.19,29.7,28.3,82,-1.8,2.4,-6.1,-12.5
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100219,10.74,31.5,28.85,83.8,-1.8,2.5,-6.1,-12.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100220,11.25,33,29.36,85.3,-1.7,2.6,-6.1,-12.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100221,11.76,34.8,29.87,87.1,-1.7,2.6,-6.1,-12.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100222,12.27,36.6,30.38,88.9,-1.7,2.7,-6,-12.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100223,12.8,38.1,30.91,90.4,-1.6,2.8,-6,-12.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100224,13.34,39.9,31.45,92.2,-1.6,2.8,-5.9,-12.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100225,13.87,41.9,31.98,94.2,-1.6,2.9,-5.9,-12.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100226,14.4,43.7,32.51,96,-1.5,2.9,-5.9,-12.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100227,14.94,45.5,33.05,97.8,-1.4,3,-5.9,-12.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100228,15.47,47.5,33.58,99.8,-1.4,3.1,-5.9,-13
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100301,0.48,1.8,34.06,101.6,-1.4,3.1,-5.8,-13
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100302,0.97,3.8,34.54,103.6,-1.3,3.2,-5.8,-13.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100303,1.47,5.6,35.05,105.4,-1.3,3.2,-5.8,-13.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100304,1.93,7.6,35.51,107.4,-1.3,3.2,-5.8,-13.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100305,2.41,9.4,35.99,109.2,-1.2,3.3,-5.7,-13.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100306,2.87,11.4,36.45,111.3,-1.2,3.3,-5.7,-13.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100307,3.33,13.2,36.91,113,-1.1,3.4,-5.7,-13.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100308,3.78,15,37.36,114.8,-1.1,3.4,-5.6,-13.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100309,4.24,17,37.82,116.8,-1.1,3.5,-5.6,-13.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100310,4.7,18.8,38.28,118.6,-1,3.6,-5.6,-13.6
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100311,5.16,20.8,38.74,120.7,-0.9,3.7,-5.5,-13.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100312,5.61,22.6,39.19,122.4,-0.9,3.7,-5.4,-13.7
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100313,6.05,24.1,39.62,124,-0.8,3.8,-5.4,-13.8
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100314,6.5,25.9,40.08,125.7,-0.7,3.8,-5.3,-13.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100315,6.93,27.7,40.51,127.5,-0.7,3.9,-5.2,-13.9
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100316,7.37,29.5,40.94,129.3,-0.6,4,-5.2,-14
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100317,7.77,31,41.35,130.8,-0.5,4.1,-5.1,-14.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100318,8.2,32.8,41.78,132.6,-0.4,4.2,-5,-14.1
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100319,8.64,34.3,42.21,134.1,-0.3,4.2,-4.9,-14.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100320,9.07,35.8,42.65,135.6,-0.3,4.3,-4.8,-14.2
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100321,9.53,37.3,43.1,137.2,-0.2,4.4,-4.7,-14.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100322,9.96,38.9,43.54,138.7,-0.1,4.5,-4.7,-14.3
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100323,10.36,40.4,43.94,140.2,0.1,4.6,-4.6,-14.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100324,10.77,41.9,44.35,141.7,0.2,4.7,-4.4,-14.4
GHCND:USW00026410,CORDOVA AIRPORT AK US,9.4,60.49139,-145.45111,20100325,11.18,43.2,44.75,143,0.3,4.8,-4.3,-14.4
