"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2090s",9.9696205911318,0.708755650592182
"02","2090s",8.03143806946,0.63621366464259
"03","2090s",8.57935917349944,0.579396852071737
"04","2090s",8.47307704314927,0.761428005886106
"05","2090s",7.13779778376545,0.776688807821621
"06","2090s",4.62215042047555,0.577440619646159
"07","2090s",5.79461327414428,0.72138094168327
"08","2090s",5.31757962284184,0.579390443790839
"09","2090s",6.1711884707025,0.417860150769623
"10","2090s",11.244675009107,1.13134194966789
"11","2090s",10.2836649329934,1.01872898455812
"12","2090s",9.89249535523248,0.883301036480821
