"Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"01","2030s",2.31157350883942,1.10467774844145
"02","2030s",2.91654130480213,1.88680392492535
"03","2030s",2.20362616127217,2.68446678161934
"04","2030s",1.54861132729099,2.84861832120873
"05","2030s",0.221715500735536,1.80917429293225
"06","2030s",0.00648946810770368,1.25794367937752
"07","2030s",0.43036961911251,0.936100397554102
"08","2030s",1.00786722788993,0.85871209996938
"09","2030s",1.91349213498238,0.607527871526321
"10","2030s",2.62920832262041,0.817093763193527
"11","2030s",2.5401082848718,1.61528799171957
"12","2030s",3.1491358726358,2.06255287559865
