"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","SQR","TIS","CAB","EYS","RHM","BVS","CAN","WDD","NA"
"1",2012-01-01,"CORDOVA AIRPORT",-8.22,4.4,-23.9,"CR",0.91,1.07,0.93,0.14,NA,NA,NA,NA,NA,NA
"2",2012-02-01,"CORDOVA AIRPORT",-0.17,8.9,-13.9,"CR",0.05,0.47,0.41,0.41,NA,NA,NA,NA,NA,NA
"3",2012-03-01,"CORDOVA AIRPORT",-2.9,10,-16.1,"CR",0.02,0.11,0.41,0.16,NA,NA,NA,NA,NA,NA
"4",2012-04-01,"CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",0.14,4.17,0.41,1.26,NA,NA,NA,NA,NA,NA
"5",2012-05-01,"CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",16.37,15.56,16.46,3.51,NA,NA,NA,NA,NA,NA
"6",2012-06-01,"CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",21.94,20.79,21.94,17.08,NA,NA,NA,NA,NA,NA
"7",2012-07-01,"CORDOVA AIRPORT",10.67,20,5,"CR",18.15,18.72,20.44,17.87,NA,10.16,9.77,NA,NA,NA
"8",2012-08-01,"CORDOVA AIRPORT",11.15,18.9,0.6,"CR",16.96,17.38,17.38,16.18,20.33,9.96,10.46,NA,NA,NA
"9",2012-09-01,"CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",13.37,12.98,12.59,11.9,13.27,9.37,10.16,NA,NA,NA
"10",2012-10-01,"CORDOVA AIRPORT",1.5,12.8,-12.2,"CR",13.46,8.88,9.96,7.8,10.94,8.08,6.98,NA,NA,NA
"11",2012-11-01,"CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",4.04,4.52,4.52,1.94,2.3,4.31,5.45,NA,NA,NA
"12",2012-12-01,"CORDOVA AIRPORT",-4.62,7.2,-20,"CR",2.3,2.73,2.3,0.25,0.67,1.98,3.47,NA,NA,NA
"13",2013-01-01,"CORDOVA AIRPORT",-0.43,8.3,-22.2,"CR",1.66,2.41,1.66,0.16,0.67,0.56,2.41,NA,NA,NA
"14",2013-02-01,"CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",2.09,3.58,1.76,0.52,0.89,0.34,2.19,NA,NA,NA
"15",2013-03-01,"CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.52,4.73,1.76,0.69,0.23,0.23,2.09,NA,NA,NA
"16",2013-04-01,"CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",0.67,5.55,3.05,1.59,0.23,1.98,1.22,NA,NA,NA
"17",2013-05-01,"CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",21.95,19.38,20.33,11.64,22.33,24.55,1.76,NA,NA,NA
"18",2013-06-01,"CORDOVA AIRPORT",12.19,32.2,2.2,"CR",25.12,23.87,26.78,21.2,27.76,27.96,10.75,NA,NA,NA
"19",2013-07-01,"CORDOVA AIRPORT",12.81,21.7,3.9,"CR",19.34,19.47,24.45,19.77,NA,21.76,12.4,NA,NA,NA
"20",2013-08-01,"CORDOVA AIRPORT",12.35,20,2.2,"CR",18.05,17.95,20.9,18.1,17,17.48,12.69,NA,NA,NA
"21",2013-09-01,"CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",15.47,14.61,17.38,13.91,15.28,12.11,11.53,NA,NA,NA
"22",2013-10-01,"CORDOVA AIRPORT",6.62,14.4,-2.7,"CR",9.96,9.57,10.65,8.52,10.26,8.48,8.28,NA,NA,NA
"23",2013-11-01,"CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",5.67,6.37,5.14,5.49,6.37,6.27,6.88,NA,NA,NA
"24",2013-12-01,"CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",3.06,3.68,0.12,0.36,4,1,4.62,NA,NA,NA
"25",2014-01-01,"CORDOVA AIRPORT",2.34,13.9,-9.3,"CR",4.83,3.68,4.73,1.72,3.26,2.84,3.37,NA,NA,NA
"26",2014-02-01,"CORDOVA AIRPORT",-4.91,11.7,-19.3,"CR",3.78,4.31,1.55,0.33,3.47,1.76,2.09,NA,NA,NA
"27",2014-03-01,"CORDOVA AIRPORT",-0.92,11.7,-11.6,"CR",2.88,3.58,0.34,0.88,1.11,1.11,1.87,NA,NA,NA
"28",2014-04-01,"CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",16.52,11.62,15.66,5.64,17.28,19.28,2.41,NA,NA,NA
"29",2014-05-01,"CORDOVA AIRPORT",9.15,23.3,-1,"CR",22.43,18.52,19.09,16.44,22.91,25.61,11.04,NA,NA,NA
"30",2014-06-01,"CORDOVA AIRPORT",9.68,21.7,0.6,"CR",21.47,18.05,22.62,15.84,21.28,24.64,12.11,NA,NA,NA
"31",2014-07-01,"CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,19.57,24.74,17.01,NA,26,13.37,NA,NA,NA
"32",2014-08-01,"CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,18.14,23.58,18.08,NA,20.61,NA,NA,NA,NA
"33",2014-09-01,"CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,NA,NA,13.4,NA,12.59,NA,NA,NA,NA
"34",2014-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,NA,NA,7.52,NA,7.68,NA,NA,NA,NA
"35",2014-11-01,"CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,NA,NA,3.96,NA,4.83,NA,NA,NA,NA
"36",2014-12-01,"CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,NA,NA,2.15,NA,2.84,NA,NA,NA,NA
"37",2015-01-01,"CORDOVA AIRPORT",-0.91,9.4,-14.3,"CR",NA,NA,NA,1.43,NA,1.98,NA,NA,NA,NA
