"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","SQR","TIS","CAB","EYS","RHM","BVS","CAN","WDD","NA","std","precision"
"1",2012-01-01,"CORDOVA AIRPORT",-8.22,4.4,-23.9,"CR",0.07,0.53,0.32,-0.38,NA,NA,NA,NA,NA,NA,2.83,0.124861092035111
"2",2012-02-01,"CORDOVA AIRPORT",-0.17,8.9,-13.9,"CR",-0.06,0.18,0.3,0.05,NA,NA,NA,NA,NA,NA,2.28,0.192366882117575
"3",2012-03-01,"CORDOVA AIRPORT",-2.9,10,-16.1,"CR",0,0.04,0.33,-0.33,NA,NA,NA,NA,NA,NA,2.61,0.146797610134907
"4",2012-04-01,"CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",-0.02,1.19,0.32,0.26,NA,NA,NA,NA,NA,NA,2.28,0.192366882117575
"5",2012-05-01,"CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",5.96,8.08,6.21,1.76,NA,NA,NA,NA,NA,NA,1.89,0.27994736989446
"6",2012-06-01,"CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",14.89,14.48,14.45,9.59,NA,NA,NA,NA,NA,NA,2.34,0.182628387756593
"7",2012-07-01,"CORDOVA AIRPORT",10.67,20,5,"CR",14.08,13.93,14.13,12.51,NA,10.04,9.47,NA,NA,NA,1.5,0.444444444444444
"8",2012-08-01,"CORDOVA AIRPORT",11.15,18.9,0.6,"CR",14.67,14.36,14.51,13.15,15.43,9.75,10.1,NA,NA,NA,1.83,0.298605512257756
"9",2012-09-01,"CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",10.08,10.03,9.78,8.89,9.97,8.72,8.78,NA,NA,NA,1.94,0.265703050271017
"10",2012-10-01,"CORDOVA AIRPORT",1.5,12.8,-12.2,"CR",5.97,5.62,6.04,4.4,5.62,6.46,6.28,NA,NA,NA,2.5,0.16
"11",2012-11-01,"CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",3.14,3.49,3.24,0.71,1.62,3.14,4.34,NA,NA,NA,2.61,0.146797610134907
"12",2012-12-01,"CORDOVA AIRPORT",-4.62,7.2,-20,"CR",1.43,2.16,1.65,0.02,0.25,1.1,3,NA,NA,NA,2.72,0.135164359861592
"13",2013-01-01,"CORDOVA AIRPORT",-0.43,8.3,-22.2,"CR",1.1,1.86,1.39,0.04,0.48,0.37,2.12,NA,NA,NA,3.05,0.107497984412792
"14",2013-02-01,"CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",1.01,2.35,1.37,0.16,0.44,0.23,2.06,NA,NA,NA,1.33,0.565323082141444
"15",2013-03-01,"CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.26,3.66,1.15,0.11,0.14,0.17,1.55,NA,NA,NA,2.17,0.212363821699335
"16",2013-04-01,"CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",0.2,4.37,0.94,0.22,0.13,0.35,1.02,NA,NA,NA,2.04,0.240292195309496
"17",2013-05-01,"CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",8.27,9.47,9.32,2.89,6.87,7.12,1.01,NA,NA,NA,2.76,0.131274942239025
