"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","SQR","TIS","CAB","EYS","RHM","BVS","CAN","WDD","NA"
"1",2012-01-01,"CORDOVA AIRPORT",-8.22,4.4,-23.9,"CR",-0.09,0.27,0.14,-2.31,NA,NA,NA,NA,NA,NA
"2",2012-02-01,"CORDOVA AIRPORT",-0.17,8.9,-13.9,"CR",-0.09,0.08,0.14,-2.31,NA,NA,NA,NA,NA,NA
"3",2012-03-01,"CORDOVA AIRPORT",-2.9,10,-16.1,"CR",-0.06,0.02,0.27,-2.98,NA,NA,NA,NA,NA,NA
"4",2012-04-01,"CORDOVA AIRPORT",2.59,13.9,-8.9,"CR",-0.09,0.02,0.19,-1.27,NA,NA,NA,NA,NA,NA
"5",2012-05-01,"CORDOVA AIRPORT",5.85,16.1,-2.8,"CR",-0.03,1.91,0.14,0.41,NA,NA,NA,NA,NA,NA
"6",2012-06-01,"CORDOVA AIRPORT",9.52,22.8,-0.6,"CR",9.61,9.66,8.34,2.82,NA,NA,NA,NA,NA,NA
"7",2012-07-01,"CORDOVA AIRPORT",10.67,20,5,"CR",10.79,10.47,10,9.04,NA,9.87,9.18,NA,NA,NA
"8",2012-08-01,"CORDOVA AIRPORT",11.15,18.9,0.6,"CR",12.2,11.62,11.82,10.56,11.62,9.28,9.77,NA,NA,NA
"9",2012-09-01,"CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",6.17,6.17,5.45,6.15,5.45,8.08,6.98,NA,NA,NA
"10",2012-10-01,"CORDOVA AIRPORT",1.5,12.8,-12.2,"CR",3.37,2.19,1.66,1.4,1.44,4.31,5.45,NA,NA,NA
"11",2012-11-01,"CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",1.78,2.09,2.3,0.02,0.67,1.98,3.47,NA,NA,NA
"12",2012-12-01,"CORDOVA AIRPORT",-4.62,7.2,-20,"CR",0.72,1.44,0.89,-0.03,-0.44,0.45,2.41,NA,NA,NA
"13",2013-01-01,"CORDOVA AIRPORT",-0.43,8.3,-22.2,"CR",0.72,1.55,0.89,-0.03,0.23,0.23,1.98,NA,NA,NA
"14",2013-02-01,"CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",0.25,1.76,0.23,-0.03,0.12,0.12,1.98,NA,NA,NA
"15",2013-03-01,"CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.01,2.41,0.12,-0.03,-0.32,0.12,1.22,NA,NA,NA
"16",2013-04-01,"CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",-0.03,3.15,0.12,-0.03,0.12,0.12,0.89,NA,NA,NA
"17",2013-05-01,"CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",0.12,4,1.44,0.08,0.12,0.01,0.56,NA,NA,NA
"18",2013-06-01,"CORDOVA AIRPORT",12.19,32.2,2.2,"CR",11.04,11.43,10.06,7.54,10.16,7.58,1.76,NA,NA,NA
"19",2013-07-01,"CORDOVA AIRPORT",12.81,21.7,3.9,"CR",12.63,12.5,12.01,10.12,NA,8.98,9.96,NA,NA,NA
"20",2013-08-01,"CORDOVA AIRPORT",12.35,20,2.2,"CR",12.68,12.88,12.5,11.01,12.98,10.85,11.53,NA,NA,NA
"21",2013-09-01,"CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",7.97,8.98,7.78,7.37,9.28,7.58,7.18,NA,NA,NA
"22",2013-10-01,"CORDOVA AIRPORT",6.62,14.4,-2.7,"CR",4,5.35,2.73,4.66,5.86,5.35,6.78,NA,NA,NA
"23",2013-11-01,"CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",1.87,3.58,-11.49,0.19,3.89,0.56,4.52,NA,NA,NA
"24",2013-12-01,"CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",0.56,2.19,-7.92,0,1.98,0.45,3.37,NA,NA,NA
"25",2014-01-01,"CORDOVA AIRPORT",2.34,13.9,-9.3,"CR",-3.79,1.87,-3.32,0,0.56,0.12,0.56,NA,NA,NA
"26",2014-02-01,"CORDOVA AIRPORT",-4.91,11.7,-19.3,"CR",-11.34,2.19,-3.67,-0.03,0.67,0.23,1.87,NA,NA,NA
"27",2014-03-01,"CORDOVA AIRPORT",-0.92,11.7,-11.6,"CR",-6.63,1.87,-5.74,-0.06,-0.21,-0.21,1.33,NA,NA,NA
"28",2014-04-01,"CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",-2.14,3.26,-3.91,0,-0.21,-0.21,1.11,NA,NA,NA
"29",2014-05-01,"CORDOVA AIRPORT",9.15,23.3,-1,"CR",9.18,10.75,9.08,3.14,9.37,5.66,2.41,NA,NA,NA
"30",2014-06-01,"CORDOVA AIRPORT",9.68,21.7,0.6,"CR",11.43,11.92,10.94,8.74,10.65,7.08,9.37,NA,NA,NA
"31",2014-07-01,"CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,14.52,12.69,11.81,NA,8.78,12.11,NA,NA,NA
"32",2014-08-01,"CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,15.76,14.04,10.81,NA,10.75,NA,NA,NA,NA
"33",2014-09-01,"CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,NA,NA,7.47,NA,6.78,NA,NA,NA,NA
"34",2014-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,NA,NA,2.53,NA,4.73,NA,NA,NA,NA
"35",2014-11-01,"CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,NA,NA,0.5,NA,2.84,NA,NA,NA,NA
"36",2014-12-01,"CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,NA,NA,0.44,NA,1.66,NA,NA,NA,NA
"37",2015-01-01,"CORDOVA AIRPORT",-0.91,9.4,-14.3,"CR",NA,NA,NA,0.05,NA,1,NA,NA,NA,NA
"38",2015-02-01,"CORDOVA AIRPORT",0.21,8.9,-13.8,"CR",NA,NA,NA,0.05,NA,0.67,NA,NA,NA,NA
"39",2015-03-01,"CORDOVA AIRPORT",0.64,12.2,-16.6,"CR",NA,NA,NA,0.14,NA,2.41,NA,NA,NA,NA
"40",2015-04-01,"CORDOVA AIRPORT",3.68,13.3,-5.5,"CR",NA,NA,NA,2.45,NA,4,NA,NA,NA,NA
"41",2015-05-01,"CORDOVA AIRPORT",8.71,21.1,-2.7,"CR",NA,NA,8.14,7.07,NA,5.44,NA,NA,NA,NA
"42",2015-06-01,"CORDOVA AIRPORT",11.28,27.8,2.8,"CR",NA,NA,8.77,8.89,NA,7.32,NA,9.87,8.98,NA
"43",2015-07-01,"CORDOVA AIRPORT",12.82,25.6,5,"CR",NA,NA,13.14,11.93,NA,9.66,NA,14.04,11.33,NA
"44",2015-08-01,"CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,NA,10.98,12.05,NA,6.69,NA,11.04,12.21,NA
"45",2015-09-01,"CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,NA,6.99,6.54,NA,3.12,NA,9.57,9.67,NA
"46",2015-10-01,"CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,NA,4.27,5.2,NA,2.53,NA,NA,NA,NA
"47",2015-11-01,"CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,NA,1.32,0.3,NA,0.11,NA,NA,NA,NA
"48",2015-12-01,"CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,NA,1.13,0.16,NA,0.08,NA,NA,NA,NA
"49",2016-01-01,"CORDOVA AIRPORT",2.16,8.3,-7.7,"CR",NA,NA,0.85,0.63,NA,0.14,NA,NA,NA,NA
"50",2016-02-01,"CORDOVA AIRPORT",2.56,9.4,-7.7,"CR",NA,NA,0,1.02,NA,0.25,NA,NA,NA,NA
"51",2016-03-01,"CORDOVA AIRPORT",3.56,20,-7.1,"CR",NA,NA,2.07,1.99,NA,0.99,NA,NA,NA,NA
"52",2016-04-01,"CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,NA,5,4.82,NA,3.14,NA,NA,NA,NA
"53",2016-05-01,"CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,NA,5.87,6.15,NA,4.48,NA,NA,NA,NA
"54",2016-06-01,"CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,NA,12.8,14.72,NA,7.19,NA,14.42,13.46,NA
"55",2016-07-01,"CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,13.69,NA,NA,10.61,NA,15.19,16.14,NA
"56",2016-08-01,"CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,12.78,NA,NA,9.93,NA,13.37,8.78,NA
"57",2016-09-01,"CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,6.94,NA,NA,8.1,NA,8.08,8.58,NA
"58",2016-10-01,"CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,1.8,NA,NA,4.51,NA,1.98,1.76,NA
"59",2016-11-01,"CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,NA,0.77,0.72,NA,2.9,NA,0.89,1.76,NA
"60",2016-12-01,"CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,NA,-0.82,0.08,NA,1.64,NA,0.12,0.78,NA
"61",2017-01-01,"CORDOVA AIRPORT",-4.73,5,-19.3,"CR",NA,NA,-3.81,0.02,NA,0.63,NA,-2.49,0.12,NA
"62",2017-02-01,"CORDOVA AIRPORT",-2.32,7.2,-13.2,"CR",NA,NA,-4.38,0.05,NA,0.08,NA,-1.46,0.23,NA
"63",2017-03-01,"CORDOVA AIRPORT",-4.02,5,-19.3,"CR",NA,NA,-4.23,0.02,NA,0.02,NA,-3.43,0.12,NA
"64",2017-04-01,"CORDOVA AIRPORT",4.27,16.1,-5.5,"CR",NA,NA,0.02,0.02,NA,0.02,NA,0.12,0.78,NA
"65",2017-05-01,"CORDOVA AIRPORT",6.4,21.7,-3.8,"CR",NA,NA,4.66,2.5,NA,3.27,NA,6.06,5.24,NA
"66",2017-06-01,"CORDOVA AIRPORT",10.48,21.7,1.1,"CR",NA,NA,12.34,10.86,12.5,6.84,NA,12.88,13.37,NA
"67",2017-07-01,"CORDOVA AIRPORT",12.55,22.8,3.3,"CR",NA,NA,14.12,13.16,13.75,9.39,NA,14.32,14.8,NA
"68",2017-08-01,"CORDOVA AIRPORT",12.03,25,2.2,"CR",NA,NA,10.61,10.39,11.53,9.51,NA,11.92,8.58,NA
"69",2017-09-01,"CORDOVA AIRPORT",9.49,17.8,0,"CR",NA,NA,8.82,8.69,9.67,7.52,NA,9.96,9.87,NA
"70",2017-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.1,"CR",NA,NA,2.18,2.72,3.79,2.96,NA,2.41,4.93,NA
"71",2017-11-01,"CORDOVA AIRPORT",-1.54,12.2,-13.8,"CR",NA,NA,0.8,0.22,NA,1.29,NA,NA,NA,NA
"72",2017-12-01,"CORDOVA AIRPORT",-0.34,10,-15.5,"CR",NA,NA,0.38,0.22,NA,1.02,NA,NA,NA,NA
"73",2018-01-01,"CORDOVA AIRPORT",-1.48,10.6,-14.9,"CR",NA,NA,0.36,0.08,NA,0.02,NA,NA,NA,NA
"74",2018-02-01,"CORDOVA AIRPORT",-3.75,8.3,-19.3,"CR",NA,NA,-0.4,0.05,NA,0.05,NA,NA,NA,NA
"75",2018-03-01,"CORDOVA AIRPORT",-0.1,8.9,-13.8,"CR",NA,NA,-0.62,0.05,NA,0.02,NA,NA,NA,NA
"76",2018-04-01,"CORDOVA AIRPORT",3.23,13.9,-7.7,"CR",NA,NA,0.41,0.41,NA,0.25,NA,NA,NA,NA
"77",2018-05-01,"CORDOVA AIRPORT",6.37,18.3,-2.7,"CR",NA,NA,1.86,1.34,NA,0.69,NA,NA,NA,NA
"78",2018-06-01,"CORDOVA AIRPORT",10.43,20,0,"CR",NA,NA,10.42,8.44,10.75,5.69,NA,10.75,13.08,NA
"79",2018-07-01,"CORDOVA AIRPORT",12.96,26.7,3.3,"CR",NA,NA,NA,10.22,11.92,9.26,NA,12.21,9.77,NA
"80",2018-08-01,"CORDOVA AIRPORT",12,22.2,2.2,"CR",NA,NA,NA,11.18,13.27,9.68,NA,13.37,7.98,NA
"81",2018-09-01,"CORDOVA AIRPORT",10.16,23.9,-1,"CR",NA,NA,NA,8.84,10.94,7.04,NA,11.14,10.65,NA
"82",2018-10-01,"CORDOVA AIRPORT",7.12,16.1,-6,"CR",NA,NA,NA,4.22,3.68,3.8,NA,3.79,4.73,NA
"83",2018-11-01,"CORDOVA AIRPORT",2.61,11.7,-8.8,"CR",NA,NA,NA,2.26,2.19,0.41,NA,2.41,2.52,NA
"84",2018-12-01,"CORDOVA AIRPORT",1.66,8.9,-6.6,"CR",NA,NA,NA,0.74,0.78,0.22,NA,0.67,0.78,NA
"85",2019-01-01,"CORDOVA AIRPORT",-2.62,8.3,-18.8,"CR",NA,NA,NA,0.16,0.56,0.02,NA,0.34,0.23,NA
"86",2019-02-01,"CORDOVA AIRPORT",-2.65,6.7,-15.5,"CR",NA,NA,NA,0.05,1.66,0.02,NA,0.78,0.01,NA
"87",2019-03-01,"CORDOVA AIRPORT",3.62,16.1,-10.5,"CR",NA,NA,NA,0.05,0.12,0.05,NA,0.12,-0.1,NA
"88",2019-04-01,"CORDOVA AIRPORT",4.34,15,-3.8,"CR",NA,NA,NA,1.67,1.98,0.3,NA,4.21,2.73,NA
"89",2019-05-01,"CORDOVA AIRPORT",8.41,18.9,-1,"CR",NA,NA,NA,5.77,7.28,3.67,NA,7.28,7.88,NA
"90",2019-06-01,"CORDOVA AIRPORT",12.63,26.1,2.8,"CR",NA,NA,NA,NA,12.21,7.07,NA,12.01,11.62,NA
"91",2019-07-01,"CORDOVA AIRPORT",14.82,24.4,7.2,"CR",NA,NA,NA,NA,14.8,10.56,NA,15,15.86,NA
"92",2019-08-01,"CORDOVA AIRPORT",13.73,28.9,0.6,"CR",NA,NA,NA,NA,14.32,10.49,NA,13.65,12.01,NA
"93",2019-09-01,"CORDOVA AIRPORT",10.55,19.4,-1,"CR",NA,NA,NA,NA,8.78,NA,NA,8.68,7.38,NA
"94",2019-10-01,"CORDOVA AIRPORT",5.78,14.4,-4.3,"CR",NA,NA,NA,NA,4.31,NA,NA,4.1,8.98,NA
"95",2019-11-01,"CORDOVA AIRPORT",3.79,11.7,-9.9,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2019-12-01,"CORDOVA AIRPORT",2.26,11.1,-9.3,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
