STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00502173,"CORDOVA NORTH, AK US",1991-01-01,3.9,-6.7,-5.6
USC00502173,"CORDOVA NORTH, AK US",1991-01-02,3.9,-6.7,-2.2
USC00502173,"CORDOVA NORTH, AK US",1991-01-03,-0.6,-5.6,-1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-04,-2.8,-6.1,-4.4
USC00502173,"CORDOVA NORTH, AK US",1991-01-05,-2.2,-5,-3.9
USC00502173,"CORDOVA NORTH, AK US",1991-01-06,-2.2,-5.6,-3.3
USC00502173,"CORDOVA NORTH, AK US",1991-01-07,-2.2,-5,-3.9
USC00502173,"CORDOVA NORTH, AK US",1991-01-08,-1.7,-6.1,-3.9
USC00502173,"CORDOVA NORTH, AK US",1991-01-09,-1.1,-5.6,-1.1
USC00502173,"CORDOVA NORTH, AK US",1991-01-10,0.6,-6.1,-0.6
USC00502173,"CORDOVA NORTH, AK US",1991-01-11,1.1,-5.6,0
USC00502173,"CORDOVA NORTH, AK US",1991-01-12,0.6,-6.1,0.6
USC00502173,"CORDOVA NORTH, AK US",1991-01-13,0,-6.7,-4.4
USC00502173,"CORDOVA NORTH, AK US",1991-01-14,0.6,-7.2,-7.2
USC00502173,"CORDOVA NORTH, AK US",1991-01-15,0,-7.8,-1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-16,7.2,-7.8,6.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-17,7.2,-6.7,1.1
USC00502173,"CORDOVA NORTH, AK US",1991-01-18,6.7,-7.8,0.6
USC00502173,"CORDOVA NORTH, AK US",1991-01-19,7.8,-6.7,7.8
USC00502173,"CORDOVA NORTH, AK US",1991-01-20,7.8,-7.8,1.1
USC00502173,"CORDOVA NORTH, AK US",1991-01-21,2.8,0.6,1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-22,3.9,1.7,2.8
USC00502173,"CORDOVA NORTH, AK US",1991-01-23,3.3,0.6,1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-24,3.9,-1.1,-0.6
USC00502173,"CORDOVA NORTH, AK US",1991-01-25,3.9,-1.7,1.1
USC00502173,"CORDOVA NORTH, AK US",1991-01-26,3.3,-2.2,0
USC00502173,"CORDOVA NORTH, AK US",1991-01-27,3.9,-2.2,1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-28,3.9,-2.2,1.7
USC00502173,"CORDOVA NORTH, AK US",1991-01-29,2.2,-2.8,-1.1
USC00502173,"CORDOVA NORTH, AK US",1991-01-30,2.2,-7.2,-3.3
USC00502173,"CORDOVA NORTH, AK US",1991-01-31,2.8,-7.2,-4.4
