STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00502173,"CORDOVA NORTH, AK US",1994-09-01,10.6,8.3,10.6
USC00502173,"CORDOVA NORTH, AK US",1994-09-02,12.2,8.3,12.2
USC00502173,"CORDOVA NORTH, AK US",1994-09-03,12.8,8.9,12.8
USC00502173,"CORDOVA NORTH, AK US",1994-09-04,15,7.2,15
USC00502173,"CORDOVA NORTH, AK US",1994-09-05,16.1,7.8,15.6
USC00502173,"CORDOVA NORTH, AK US",1994-09-06,16.1,8.3,15.6
USC00502173,"CORDOVA NORTH, AK US",1994-09-07,18.3,7.2,11.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-08,18.3,7.2,12.8
USC00502173,"CORDOVA NORTH, AK US",1994-09-09,13.3,6.7,12.8
USC00502173,"CORDOVA NORTH, AK US",1994-09-10,13.9,6.7,12.8
USC00502173,"CORDOVA NORTH, AK US",1994-09-11,12.8,9.4,11.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-12,12.2,8.9,11.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-13,13.9,6.7,13.3
USC00502173,"CORDOVA NORTH, AK US",1994-09-14,13.9,10.6,13.3
USC00502173,"CORDOVA NORTH, AK US",1994-09-15,13.9,9.4,13.3
USC00502173,"CORDOVA NORTH, AK US",1994-09-16,11.7,8.3,11.1
USC00502173,"CORDOVA NORTH, AK US",1994-09-17,12.2,7.8,11.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-18,11.1,7.2,9.4
USC00502173,"CORDOVA NORTH, AK US",1994-09-19,12.2,7.2,10
USC00502173,"CORDOVA NORTH, AK US",1994-09-20,11.7,6.7,10
USC00502173,"CORDOVA NORTH, AK US",1994-09-21,12.2,7.2,10
USC00502173,"CORDOVA NORTH, AK US",1994-09-22,11.7,6.7,9.4
USC00502173,"CORDOVA NORTH, AK US",1994-09-23,11.7,6.7,8.9
USC00502173,"CORDOVA NORTH, AK US",1994-09-24,10.6,5.6,8.3
USC00502173,"CORDOVA NORTH, AK US",1994-09-25,11.7,7.8,11.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-26,11.7,5.6,7.2
USC00502173,"CORDOVA NORTH, AK US",1994-09-27,7.8,2.8,6.7
USC00502173,"CORDOVA NORTH, AK US",1994-09-28,7.8,2.8,7.2
USC00502173,"CORDOVA NORTH, AK US",1994-09-29,8.3,1.7,7.2
USC00502173,"CORDOVA NORTH, AK US",1994-09-30,8.3,1.1,6.7
