,community,region,country,latitude,longitude,type,scenario,resolution,unit,date,month,d2010-19,max2010-19,min2010-19,d2020-29,max2020-29,min2020-29,d2030-39,max2030-39,min2030-39,d2040-49,max2040-49,min2040-49,d2050-59,max2050-59,min2050-59,d2060-69,max2060-69,min2060-69,d2070-79,max2070-79,min2070-79,d2080-89,max2080-89,min2080-89,d2090-99,max2090-99,min2090-99
13,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,1/1/00,J,1.6,7.3,-6.1,2.3,8.3,-5.2,2.5,6.9,-2,3.3,8.6,-2.4,3.2,9.2,-1.7,3.4,8,-2.6,5,8.5,0.2,4.7,9.3,-1.8,5.4,10.4,-2.2
14,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,2/1/00,F,1.6,6.8,-3.5,2.4,7.9,-3.3,3.2,9.1,-5.1,2.7,7,-2.4,3.9,8.6,-1.9,4.2,10.2,-4.1,3.9,9.3,-2.6,4.8,10,-0.7,5.9,12.3,-1.4
15,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,3/1/00,M,1,5.4,-4.8,2.5,6.5,-2.3,2.4,7.8,-2.9,2.9,8.7,-2.6,3.5,7.8,-2,3.8,8.8,-1.2,3.9,7.9,0.1,4.5,9.2,-1.7,5.3,10.4,-1.3
16,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,4/1/00,A,1.1,5.2,-3.4,1.7,5.9,-1.2,2.3,5.4,-0.1,2.2,6.7,-1.5,3,6.4,-2.1,3.2,6.6,-1.1,3.5,7.6,-1.4,4,7.3,1.1,4.6,9,-0.4
17,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,5/1/00,M,0.7,4.4,-1.5,1.5,6.4,-0.8,2,5.9,-0.1,2,5.5,-0.5,2.7,7,0.5,2.8,7.5,0.2,3.5,7.7,0,4,9.2,0.8,4.5,8.9,0.7
18,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,6/1/00,J,1,4.8,-2,1.8,6.1,-1.3,2.4,6.8,-0.4,2.9,7.6,0.2,3.1,7.9,-0.6,3.6,7.3,0.7,4.1,8.1,0.4,4.7,10.3,1.2,5.2,9.7,0
19,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,7/1/00,J,1.3,5,-0.9,1.5,5.5,-0.7,1.9,5.5,-0.4,2.9,6.9,0,3.1,6.7,0.2,3.5,6.4,0.6,4.3,8.6,1,4.5,8.9,0.9,5.1,8.5,1.3
20,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,8/1/00,A,1.1,3.7,-1.9,1.4,4,-1,1.9,5.7,-0.3,2.4,5.6,0,2.9,6.9,0.7,3.2,6.2,0.5,3.6,6.6,1.1,4.1,6.8,0.5,4.7,9.1,1.3
21,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,9/1/00,S,1,4.4,-2.4,1.5,4.4,-0.7,1.9,4.5,0.1,2.4,5.5,0.6,3,6.3,0.9,3.1,7,0.8,3.7,7.5,0.6,4.1,7.8,1.1,4.6,9.3,1.2
22,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,10/1/00,O,0.8,4.5,-3.8,1.3,4.4,-1.7,1.9,6.4,-2.2,1.9,6.3,-2.5,2.7,6.4,-0.9,3.1,7,0.2,3.6,7.2,0.4,4.2,7.6,0.9,4.5,9.3,1.5
23,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,11/1/00,N,0.6,6,-5.9,1.2,5.5,-5,1.5,7.5,-4.2,2.3,6.6,-3.2,2.6,6.6,-3.7,3.3,7.2,-0.5,4.2,8.6,-0.6,4.8,8.4,-0.5,5.3,9.6,1.1
24,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,C,12/1/00,D,0.5,5.5,-6.2,1.6,5.8,-5.6,2.5,6.3,-3.6,1.8,6.7,-6.8,2.7,7.2,-2.6,3.1,7.2,-2.1,4,9.2,-0.3,4.8,8.9,-1,4.9,9.8,-0.7
