Date,monyr,Type,year,airport monavg,delta,proj monairmean
1/1/47,Jan-47,Air,1947,-6.71,5.4,-1.31
2/1/47,Feb-47,Air,1947,-3.26,5.9,2.64
3/1/47,Mar-47,Air,1947,1.92,5.3,7.22
4/1/47,Apr-47,Air,1947,3.37,4.6,7.97
5/1/47,May-47,Air,1947,6.72,4.5,11.22
6/1/47,Jun-47,Air,1947,9.65,5.2,14.85
7/1/47,Jul-47,Air,1947,12.57,5.1,17.67
8/1/47,Aug-47,Air,1947,11.6,4.7,16.3
9/1/47,Sep-47,Air,1947,9.79,4.6,14.39
10/1/47,Oct-47,Air,1947,5.72,4.5,10.22
11/1/47,Nov-47,Air,1947,3.45,5.3,8.75
12/1/47,Dec-47,Air,1947,0.84,4.9,5.74
1/1/48,Jan-48,Air,1948,-0.89,5.4,4.51
2/1/48,Feb-48,Air,1948,-5.73,5.9,0.17
3/1/48,Mar-48,Air,1948,-3.1,5.3,2.2
4/1/48,Apr-48,Air,1948,-1.01,4.6,3.59
5/1/48,May-48,Air,1948,7.23,4.5,11.73
6/1/48,Jun-48,Air,1948,10.2,5.2,15.4
7/1/48,Jul-48,Air,1948,12.63,5.1,17.73
8/1/48,Aug-48,Air,1948,11.21,4.7,15.91
9/1/48,Sep-48,Air,1948,8.39,4.6,12.99
10/1/48,Oct-48,Air,1948,4.66,4.5,9.16
11/1/48,Nov-48,Air,1948,-0.99,5.3,4.31
12/1/48,Dec-48,Air,1948,-7.09,4.9,-2.19
1/1/49,Jan-49,Air,1949,-4.17,5.4,1.23
2/1/49,Feb-49,Air,1949,-8.66,5.9,-2.76
3/1/49,Mar-49,Air,1949,0.02,5.3,5.32
4/1/49,Apr-49,Air,1949,2.11,4.6,6.71
5/1/49,May-49,Air,1949,5.47,4.5,9.97
6/1/49,Jun-49,Air,1949,8,5.2,13.2
7/1/49,Jul-49,Air,1949,10.78,5.1,15.88
8/1/49,Aug-49,Air,1949,11.25,4.7,15.95
9/1/49,Sep-49,Air,1949,9.91,4.6,14.51
10/1/49,Oct-49,Air,1949,5.07,4.5,9.57
11/1/49,Nov-49,Air,1949,2.65,5.3,7.95
12/1/49,Dec-49,Air,1949,-4.93,4.9,-0.03
1/1/50,Jan-50,Air,1950,-10.93,5.4,-5.53
2/1/50,Feb-50,Air,1950,-3.53,5.9,2.37
3/1/50,Mar-50,Air,1950,-0.29,5.3,5.01
4/1/50,Apr-50,Air,1950,1.38,4.6,5.98
5/1/50,May-50,Air,1950,5.24,4.5,9.74
6/1/50,Jun-50,Air,1950,10.05,5.2,15.25
7/1/50,Jul-50,Air,1950,11.58,5.1,16.68
8/1/50,Aug-50,Air,1950,12.35,4.7,17.05
9/1/50,Sep-50,Air,1950,8.61,4.6,13.21
10/1/50,Oct-50,Air,1950,4.36,4.5,8.86
11/1/50,Nov-50,Air,1950,-3.02,5.3,2.28
12/1/50,Dec-50,Air,1950,-0.93,4.9,3.97
1/1/51,Jan-51,Air,1951,-5.22,5.4,0.18
2/1/51,Feb-51,Air,1951,-4.54,5.9,1.36
3/1/51,Mar-51,Air,1951,-3.8,5.3,1.5
4/1/51,Apr-51,Air,1951,2.31,4.6,6.91
5/1/51,May-51,Air,1951,6.09,4.5,10.59
6/1/51,Jun-51,Air,1951,9.18,5.2,14.38
7/1/51,Jul-51,Air,1951,12.81,5.1,17.91
8/1/51,Aug-51,Air,1951,12.26,4.7,16.96
9/1/51,Sep-51,Air,1951,10.25,4.6,14.85
10/1/51,Oct-51,Air,1951,4.33,4.5,8.83
11/1/51,Nov-51,Air,1951,0.32,5.3,5.62
12/1/51,Dec-51,Air,1951,-4.9,4.9,0
1/1/52,Jan-52,Air,1952,-8.26,5.4,-2.86
2/1/52,Feb-52,Air,1952,-1.68,5.9,4.22
3/1/52,Mar-52,Air,1952,-1.49,5.3,3.81
4/1/52,Apr-52,Air,1952,1.04,4.6,5.64
5/1/52,May-52,Air,1952,4.49,4.5,8.99
6/1/52,Jun-52,Air,1952,8.84,5.2,14.04
7/1/52,Jul-52,Air,1952,11.25,5.1,16.35
8/1/52,Aug-52,Air,1952,12.29,4.7,16.99
9/1/52,Sep-52,Air,1952,8.99,4.6,13.59
10/1/52,Oct-52,Air,1952,6.79,4.5,11.29
11/1/52,Nov-52,Air,1952,3.9,5.3,9.2
12/1/52,Dec-52,Air,1952,0.57,4.9,5.47
1/1/53,Jan-53,Air,1953,-5.19,5.4,0.21
2/1/53,Feb-53,Air,1953,0.52,5.9,6.42
3/1/53,Mar-53,Air,1953,-0.77,5.3,4.53
4/1/53,Apr-53,Air,1953,4.08,4.6,8.68
5/1/53,May-53,Air,1953,7.11,4.5,11.61
6/1/53,Jun-53,Air,1953,10.6,5.2,15.8
7/1/53,Jul-53,Air,1953,12.77,5.1,17.87
8/1/53,Aug-53,Air,1953,12.13,4.7,16.83
9/1/53,Sep-53,Air,1953,9.12,4.6,13.72
10/1/53,Oct-53,Air,1953,5.45,4.5,9.95
11/1/53,Nov-53,Air,1953,-0.1,5.3,5.2
12/1/53,Dec-53,Air,1953,0.15,4.9,5.05
1/1/54,Jan-54,Air,1954,-5.25,5.4,0.15
2/1/54,Feb-54,Air,1954,-5.01,5.9,0.89
3/1/54,Mar-54,Air,1954,-1.86,5.3,3.44
4/1/54,Apr-54,Air,1954,-0.73,4.6,3.87
5/1/54,May-54,Air,1954,6.55,4.5,11.05
6/1/54,Jun-54,Air,1954,10.15,5.2,15.35
7/1/54,Jul-54,Air,1954,11.01,5.1,16.11
8/1/54,Aug-54,Air,1954,11.51,4.7,16.21
9/1/54,Sep-54,Air,1954,9.5,4.6,14.1
10/1/54,Oct-54,Air,1954,5.58,4.5,10.08
11/1/54,Nov-54,Air,1954,3.15,5.3,8.45
12/1/54,Dec-54,Air,1954,-4.03,4.9,0.87
1/1/55,Jan-55,Air,1955,-0.5,5.4,4.9
2/1/55,Feb-55,Air,1955,-2.06,5.9,3.84
3/1/55,Mar-55,Air,1955,-1.68,5.3,3.62
4/1/55,Apr-55,Air,1955,0.78,4.6,5.38
5/1/55,May-55,Air,1955,4.07,4.5,8.57
6/1/55,Jun-55,Air,1955,8.08,5.2,13.28
7/1/55,Jul-55,Air,1955,12.39,5.1,17.49
8/1/55,Aug-55,Air,1955,10.83,4.7,15.53
9/1/55,Sep-55,Air,1955,8.19,4.6,12.79
10/1/55,Oct-55,Air,1955,3.33,4.5,7.83
11/1/55,Nov-55,Air,1955,-3.56,5.3,1.74
12/1/55,Dec-55,Air,1955,-6.44,4.9,-1.54
1/1/56,Jan-56,Air,1956,-4.08,5.4,1.32
2/1/56,Feb-56,Air,1956,-4.78,5.9,1.12
3/1/56,Mar-56,Air,1956,-2.91,5.3,2.39
4/1/56,Apr-56,Air,1956,2.34,4.6,6.94
5/1/56,May-56,Air,1956,5.06,4.5,9.56
6/1/56,Jun-56,Air,1956,8.17,5.2,13.37
7/1/56,Jul-56,Air,1956,12,5.1,17.1
8/1/56,Aug-56,Air,1956,11.59,4.7,16.29
9/1/56,Sep-56,Air,1956,8.05,4.6,12.65
10/1/56,Oct-56,Air,1956,2.46,4.5,6.96
11/1/56,Nov-56,Air,1956,1.78,5.3,7.08
12/1/56,Dec-56,Air,1956,-3.56,4.9,1.34
1/1/57,Jan-57,Air,1957,-4.51,5.4,0.89
2/1/57,Feb-57,Air,1957,-2.94,5.9,2.96
3/1/57,Mar-57,Air,1957,0.58,5.3,5.88
4/1/57,Apr-57,Air,1957,2.85,4.6,7.45
5/1/57,May-57,Air,1957,6.95,4.5,11.45
6/1/57,Jun-57,Air,1957,10.96,5.2,16.16
7/1/57,Jul-57,Air,1957,12.43,5.1,17.53
8/1/57,Aug-57,Air,1957,13.59,4.7,18.29
9/1/57,Sep-57,Air,1957,11.58,4.6,16.18
10/1/57,Oct-57,Air,1957,6.4,4.5,10.9
11/1/57,Nov-57,Air,1957,3.79,5.3,9.09
12/1/57,Dec-57,Air,1957,-2.23,4.9,2.67
1/1/58,Jan-58,Air,1958,0.1,5.4,5.5
2/1/58,Feb-58,Air,1958,-0.6,5.9,5.3
3/1/58,Mar-58,Air,1958,0.88,5.3,6.18
4/1/58,Apr-58,Air,1958,4.88,4.6,9.48
5/1/58,May-58,Air,1958,7.2,4.5,11.7
6/1/58,Jun-58,Air,1958,11.64,5.2,16.84
7/1/58,Jul-58,Air,1958,12.86,5.1,17.96
8/1/58,Aug-58,Air,1958,11.96,4.7,16.66
9/1/58,Sep-58,Air,1958,8.57,4.6,13.17
10/1/58,Oct-58,Air,1958,4.27,4.5,8.77
11/1/58,Nov-58,Air,1958,0.19,5.3,5.49
12/1/58,Dec-58,Air,1958,-0.6,4.9,4.3
1/1/59,Jan-59,Air,1959,-4.46,5.4,0.94
2/1/59,Feb-59,Air,1959,-2.21,5.9,3.69
3/1/59,Mar-59,Air,1959,-1.25,5.3,4.05
4/1/59,Apr-59,Air,1959,2.92,4.6,7.52
5/1/59,May-59,Air,1959,6.87,4.5,11.37
6/1/59,Jun-59,Air,1959,11.85,5.2,17.05
7/1/59,Jul-59,Air,1959,11.39,5.1,16.49
8/1/59,Aug-59,Air,1959,11.59,4.7,16.29
9/1/59,Sep-59,Air,1959,8.89,4.6,13.49
10/1/59,Oct-59,Air,1959,4.73,4.5,9.23
11/1/59,Nov-59,Air,1959,1.99,5.3,7.29
12/1/59,Dec-59,Air,1959,0.41,4.9,5.31
1/1/60,Jan-60,Air,1960,-3.05,5.4,2.35
2/1/60,Feb-60,Air,1960,0.84,5.9,6.74
3/1/60,Mar-60,Air,1960,-0.67,5.3,4.63
4/1/60,Apr-60,Air,1960,3.62,4.6,8.22
5/1/60,May-60,Air,1960,7.94,4.5,12.44
6/1/60,Jun-60,Air,1960,10.63,5.2,15.83
7/1/60,Jul-60,Air,1960,11.83,5.1,16.93
8/1/60,Aug-60,Air,1960,11.53,4.7,16.23
9/1/60,Sep-60,Air,1960,9.12,4.6,13.72
10/1/60,Oct-60,Air,1960,5.71,4.5,10.21
11/1/60,Nov-60,Air,1960,1.03,5.3,6.33
12/1/60,Dec-60,Air,1960,1.61,4.9,6.51
1/1/61,Jan-61,Air,1961,-0.19,5.4,5.21
2/1/61,Feb-61,Air,1961,-0.9,5.9,5
3/1/61,Mar-61,Air,1961,-0.05,5.3,5.25
4/1/61,Apr-61,Air,1961,3.27,4.6,7.87
5/1/61,May-61,Air,1961,7.59,4.5,12.09
6/1/61,Jun-61,Air,1961,10.54,5.2,15.74
7/1/61,Jul-61,Air,1961,11.73,5.1,16.83
8/1/61,Aug-61,Air,1961,11.62,4.7,16.32
9/1/61,Sep-61,Air,1961,9,4.6,13.6
10/1/61,Oct-61,Air,1961,3.89,4.5,8.39
11/1/61,Nov-61,Air,1961,-1.11,5.3,4.19
12/1/61,Dec-61,Air,1961,-3.87,4.9,1.03
1/1/62,Jan-62,Air,1962,-2.91,5.4,2.49
2/1/62,Feb-62,Air,1962,-2.65,5.9,3.25
3/1/62,Mar-62,Air,1962,-2.84,5.3,2.46
4/1/62,Apr-62,Air,1962,3.1,4.6,7.7
5/1/62,May-62,Air,1962,5.8,4.5,10.3
6/1/62,Jun-62,Air,1962,9.03,5.2,14.23
7/1/62,Jul-62,Air,1962,11.83,5.1,16.93
8/1/62,Aug-62,Air,1962,12.62,4.7,17.32
9/1/62,Sep-62,Air,1962,8.82,4.6,13.42
10/1/62,Oct-62,Air,1962,6.12,4.5,10.62
11/1/62,Nov-62,Air,1962,1.93,5.3,7.23
12/1/62,Dec-62,Air,1962,-0.96,4.9,3.94
1/1/63,Jan-63,Air,1963,-0.62,5.4,4.78
2/1/63,Feb-63,Air,1963,2.02,5.9,7.92
3/1/63,Mar-63,Air,1963,-0.41,5.3,4.89
4/1/63,Apr-63,Air,1963,1.77,4.6,6.37
5/1/63,May-63,Air,1963,7.78,4.5,12.28
6/1/63,Jun-63,Air,1963,9.05,5.2,14.25
7/1/63,Jul-63,Air,1963,12.55,5.1,17.65
8/1/63,Aug-63,Air,1963,12.66,4.7,17.36
9/1/63,Sep-63,Air,1963,11.14,4.6,15.74
10/1/63,Oct-63,Air,1963,6.19,4.5,10.69
11/1/63,Nov-63,Air,1963,-1.43,5.3,3.87
12/1/63,Dec-63,Air,1963,0.14,4.9,5.04
1/1/64,Jan-64,Air,1964,-1.64,5.4,3.76
2/1/64,Feb-64,Air,1964,0.39,5.9,6.29
3/1/64,Mar-64,Air,1964,-2.35,5.3,2.95
4/1/64,Apr-64,Air,1964,2.26,4.6,6.86
5/1/64,May-64,Air,1964,5.08,4.5,9.58
6/1/64,Jun-64,Air,1964,11.33,5.2,16.53
7/1/64,Jul-64,Air,1964,11.62,5.1,16.72
8/1/64,Aug-64,Air,1964,11.76,4.7,16.46
9/1/64,Sep-64,Air,1964,8.56,4.6,13.16
10/1/64,Oct-64,Air,1964,4.72,4.5,9.22
11/1/64,Nov-64,Air,1964,-1.56,5.3,3.74
12/1/64,Dec-64,Air,1964,-9,4.9,-4.1
1/1/65,Jan-65,Air,1965,-5.52,5.4,-0.12
2/1/65,Feb-65,Air,1965,-5.96,5.9,-0.06
3/1/65,Mar-65,Air,1965,0.06,5.3,5.36
4/1/65,Apr-65,Air,1965,2.09,4.6,6.69
5/1/65,May-65,Air,1965,3.98,4.5,8.48
6/1/65,Jun-65,Air,1965,6.82,5.2,12.02
7/1/65,Jul-65,Air,1965,10.14,5.1,15.24
8/1/65,Aug-65,Air,1965,9.62,4.7,14.32
9/1/65,Sep-65,Air,1965,8.62,4.6,13.22
10/1/65,Oct-65,Air,1965,4.3,4.5,8.8
11/1/65,Nov-65,Air,1965,-2.84,5.3,2.46
12/1/65,Dec-65,Air,1965,-5.91,4.9,-1.01
1/1/66,Jan-66,Air,1966,-10.54,5.4,-5.14
2/1/66,Feb-66,Air,1966,-4.1,5.9,1.8
3/1/66,Mar-66,Air,1966,-4.4,5.3,0.9
4/1/66,Apr-66,Air,1966,0.65,4.6,5.25
5/1/66,May-66,Air,1966,3.5,4.5,8
6/1/66,Jun-66,Air,1966,9.2,5.2,14.4
7/1/66,Jul-66,Air,1966,11.09,5.1,16.19
8/1/66,Aug-66,Air,1966,9.92,4.7,14.62
9/1/66,Sep-66,Air,1966,8.24,4.6,12.84
10/1/66,Oct-66,Air,1966,2.06,4.5,6.56
11/1/66,Nov-66,Air,1966,-4.37,5.3,0.93
12/1/66,Dec-66,Air,1966,-3.86,4.9,1.04
1/1/67,Jan-67,Air,1967,-7.34,5.4,-1.94
2/1/67,Feb-67,Air,1967,-4.26,5.9,1.64
3/1/67,Mar-67,Air,1967,-5.36,5.3,-0.06
4/1/67,Apr-67,Air,1967,0.7,4.6,5.3
5/1/67,May-67,Air,1967,5.8,4.5,10.3
6/1/67,Jun-67,Air,1967,10.29,5.2,15.49
7/1/67,Jul-67,Air,1967,11.24,5.1,16.34
8/1/67,Aug-67,Air,1967,11.54,4.7,16.24
9/1/67,Sep-67,Air,1967,8.8,4.6,13.4
10/1/67,Oct-67,Air,1967,4.46,4.5,8.96
11/1/67,Nov-67,Air,1967,0.37,5.3,5.67
12/1/67,Dec-67,Air,1967,-4.35,4.9,0.55
1/1/68,Jan-68,Air,1968,-7.71,5.4,-2.31
2/1/68,Feb-68,Air,1968,-1.6,5.9,4.3
3/1/68,Mar-68,Air,1968,-0.08,5.3,5.22
4/1/68,Apr-68,Air,1968,0.55,4.6,5.15
5/1/68,May-68,Air,1968,5.65,4.5,10.15
6/1/68,Jun-68,Air,1968,9.4,5.2,14.6
7/1/68,Jul-68,Air,1968,11.84,5.1,16.94
8/1/68,Aug-68,Air,1968,11.42,4.7,16.12
9/1/68,Sep-68,Air,1968,7.36,4.6,11.96
10/1/68,Oct-68,Air,1968,2.16,4.5,6.66
11/1/68,Nov-68,Air,1968,0.14,5.3,5.44
12/1/68,Dec-68,Air,1968,-7.21,4.9,-2.31
1/1/69,Jan-69,Air,1969,-14.04,5.4,-8.64
2/1/69,Feb-69,Air,1969,-5.64,5.9,0.26
3/1/69,Mar-69,Air,1969,-1.3,5.3,4
4/1/69,Apr-69,Air,1969,2.48,4.6,7.08
5/1/69,May-69,Air,1969,6.46,4.5,10.96
6/1/69,Jun-69,Air,1969,9.84,5.2,15.04
7/1/69,Jul-69,Air,1969,11.08,5.1,16.18
8/1/69,Aug-69,Air,1969,9.15,4.7,13.85
9/1/69,Sep-69,Air,1969,8.9,4.6,13.5
10/1/69,Oct-69,Air,1969,5.22,4.5,9.72
11/1/69,Nov-69,Air,1969,0.18,5.3,5.48
12/1/69,Dec-69,Air,1969,1.4,4.9,6.3
1/1/70,Jan-70,Air,1970,-4.35,5.4,1.05
2/1/70,Feb-70,Air,1970,0.82,5.9,6.72
3/1/70,Mar-70,Air,1970,1.47,5.3,6.77
4/1/70,Apr-70,Air,1970,1.99,4.6,6.59
5/1/70,May-70,Air,1970,5.57,4.5,10.07
6/1/70,Jun-70,Air,1970,9.51,5.2,14.71
7/1/70,Jul-70,Air,1970,11.93,5.1,17.03
8/1/70,Aug-70,Air,1970,11.43,4.7,16.13
9/1/70,Sep-70,Air,1970,8.52,4.6,13.12
10/1/70,Oct-70,Air,1970,4.05,4.5,8.55
11/1/70,Nov-70,Air,1970,-1.3,5.3,4
12/1/70,Dec-70,Air,1970,-7,4.9,-2.1
1/1/71,Jan-71,Air,1971,-9.19,5.4,-3.79
2/1/71,Feb-71,Air,1971,-3.91,5.9,1.99
3/1/71,Mar-71,Air,1971,-4.85,5.3,0.45
4/1/71,Apr-71,Air,1971,0.03,4.6,4.63
5/1/71,May-71,Air,1971,3.1,4.5,7.6
6/1/71,Jun-71,Air,1971,8.82,5.2,14.02
7/1/71,Jul-71,Air,1971,11.45,5.1,16.55
8/1/71,Aug-71,Air,1971,11.85,4.7,16.55
9/1/71,Sep-71,Air,1971,6.91,4.6,11.51
10/1/71,Oct-71,Air,1971,3.88,4.5,8.38
11/1/71,Nov-71,Air,1971,-0.61,5.3,4.69
12/1/71,Dec-71,Air,1971,-5.55,4.9,-0.65
1/1/72,Jan-72,Air,1972,-9.1,5.4,-3.7
2/1/72,Feb-72,Air,1972,-6.86,5.9,-0.96
3/1/72,Mar-72,Air,1972,-3.94,5.3,1.36
4/1/72,Apr-72,Air,1972,-1.79,4.6,2.81
5/1/72,May-72,Air,1972,4.42,4.5,8.92
6/1/72,Jun-72,Air,1972,8.88,5.2,14.08
7/1/72,Jul-72,Air,1972,13.29,5.1,18.39
8/1/72,Aug-72,Air,1972,12.03,4.7,16.73
9/1/72,Sep-72,Air,1972,8.14,4.6,12.74
10/1/72,Oct-72,Air,1972,3.88,4.5,8.38
11/1/72,Nov-72,Air,1972,1.28,5.3,6.58
12/1/72,Dec-72,Air,1972,-4.36,4.9,0.54
1/1/73,Jan-73,Air,1973,-6.51,5.4,-1.11
2/1/73,Feb-73,Air,1973,-3.31,5.9,2.59
3/1/73,Mar-73,Air,1973,-0.26,5.3,5.04
4/1/73,Apr-73,Air,1973,2.98,4.6,7.58
5/1/73,May-73,Air,1973,6.41,4.5,10.91
6/1/73,Jun-73,Air,1973,9.15,5.2,14.35
7/1/73,Jul-73,Air,1973,11.13,5.1,16.23
8/1/73,Aug-73,Air,1973,10.5,4.7,15.2
9/1/73,Sep-73,Air,1973,7.81,4.6,12.41
10/1/73,Oct-73,Air,1973,4.61,4.5,9.11
11/1/73,Nov-73,Air,1973,-3.87,5.3,1.43
12/1/73,Dec-73,Air,1973,-1.2,4.9,3.7
1/1/74,Jan-74,Air,1974,-8.54,5.4,-3.14
2/1/74,Feb-74,Air,1974,-2.6,5.9,3.3
3/1/74,Mar-74,Air,1974,-3.25,5.3,2.05
4/1/74,Apr-74,Air,1974,2.58,4.6,7.18
5/1/74,May-74,Air,1974,6.5,4.5,11
6/1/74,Jun-74,Air,1974,9.24,5.2,14.44
7/1/74,Jul-74,Air,1974,11.16,5.1,16.26
8/1/74,Aug-74,Air,1974,11.97,4.7,16.67
9/1/74,Sep-74,Air,1974,10,4.6,14.6
10/1/74,Oct-74,Air,1974,5.57,4.5,10.07
11/1/74,Nov-74,Air,1974,1.79,5.3,7.09
12/1/74,Dec-74,Air,1974,-0.15,4.9,4.75
1/1/75,Jan-75,Air,1975,-4.7,5.4,0.7
2/1/75,Feb-75,Air,1975,-4.29,5.9,1.61
3/1/75,Mar-75,Air,1975,-2.96,5.3,2.34
4/1/75,Apr-75,Air,1975,1.42,4.6,6.02
5/1/75,May-75,Air,1975,6.04,4.5,10.54
6/1/75,Jun-75,Air,1975,8.41,5.2,13.61
7/1/75,Jul-75,Air,1975,11.86,5.1,16.96
8/1/75,Aug-75,Air,1975,10.99,4.7,15.69
9/1/75,Sep-75,Air,1975,9.73,4.6,14.33
10/1/75,Oct-75,Air,1975,4.28,4.5,8.78
11/1/75,Nov-75,Air,1975,-2.55,5.3,2.75
12/1/75,Dec-75,Air,1975,-4.31,4.9,0.59
1/1/76,Jan-76,Air,1976,-2.77,5.4,2.63
2/1/76,Feb-76,Air,1976,-4.65,5.9,1.25
3/1/76,Mar-76,Air,1976,-0.76,5.3,4.54
4/1/76,Apr-76,Air,1976,2.3,4.6,6.9
5/1/76,May-76,Air,1976,5.03,4.5,9.53
6/1/76,Jun-76,Air,1976,9.52,5.2,14.72
7/1/76,Jul-76,Air,1976,12.41,5.1,17.51
8/1/76,Aug-76,Air,1976,11.91,4.7,16.61
9/1/76,Sep-76,Air,1976,8.62,4.6,13.22
10/1/76,Oct-76,Air,1976,4.66,4.5,9.16
11/1/76,Nov-76,Air,1976,4.67,5.3,9.97
12/1/76,Dec-76,Air,1976,1.03,4.9,5.93
1/1/77,Jan-77,Air,1977,2.26,5.4,7.66
2/1/77,Feb-77,Air,1977,3.25,5.9,9.15
3/1/77,Mar-77,Air,1977,0.81,5.3,6.11
4/1/77,Apr-77,Air,1977,3.5,4.6,8.1
5/1/77,May-77,Air,1977,6.25,4.5,10.75
6/1/77,Jun-77,Air,1977,10.57,5.2,15.77
7/1/77,Jul-77,Air,1977,12.93,5.1,18.03
8/1/77,Aug-77,Air,1977,12.96,4.7,17.66
9/1/77,Sep-77,Air,1977,9.32,4.6,13.92
10/1/77,Oct-77,Air,1977,5.89,4.5,10.39
11/1/77,Nov-77,Air,1977,-2.56,5.3,2.74
12/1/77,Dec-77,Air,1977,-7.47,4.9,-2.57
1/1/78,Jan-78,Air,1978,-3.45,5.4,1.95
2/1/78,Feb-78,Air,1978,1.4,5.9,7.3
3/1/78,Mar-78,Air,1978,1.16,5.3,6.46
4/1/78,Apr-78,Air,1978,4.35,4.6,8.95
5/1/78,May-78,Air,1978,7.12,4.5,11.62
6/1/78,Jun-78,Air,1978,9.98,5.2,15.18
7/1/78,Jul-78,Air,1978,11.77,5.1,16.87
8/1/78,Aug-78,Air,1978,12.72,4.7,17.42
9/1/78,Sep-78,Air,1978,9.16,4.6,13.76
10/1/78,Oct-78,Air,1978,6.41,4.5,10.91
11/1/78,Nov-78,Air,1978,-0.01,5.3,5.29
12/1/78,Dec-78,Air,1978,-1.51,4.9,3.39
1/1/79,Jan-79,Air,1979,-4.92,5.4,0.48
2/1/79,Feb-79,Air,1979,-8.61,5.9,-2.71
3/1/79,Mar-79,Air,1979,1.41,5.3,6.71
4/1/79,Apr-79,Air,1979,2.82,4.6,7.42
5/1/79,May-79,Air,1979,7.03,4.5,11.53
6/1/79,Jun-79,Air,1979,9.71,5.2,14.91
7/1/79,Jul-79,Air,1979,13.12,5.1,18.22
8/1/79,Aug-79,Air,1979,12.66,4.7,17.36
9/1/79,Sep-79,Air,1979,10.4,4.6,15
10/1/79,Oct-79,Air,1979,7.27,4.5,11.77
11/1/79,Nov-79,Air,1979,3.34,5.3,8.64
12/1/79,Dec-79,Air,1979,-2.61,4.9,2.29
1/1/80,Jan-80,Air,1980,-4.17,5.4,1.23
2/1/80,Feb-80,Air,1980,2.02,5.9,7.92
3/1/80,Mar-80,Air,1980,1.8,5.3,7.1
4/1/80,Apr-80,Air,1980,5.25,4.6,9.85
5/1/80,May-80,Air,1980,7.49,4.5,11.99
6/1/80,Jun-80,Air,1980,10.83,5.2,16.03
7/1/80,Jul-80,Air,1980,13.05,5.1,18.15
8/1/80,Aug-80,Air,1980,11.91,4.7,16.61
9/1/80,Sep-80,Air,1980,10.02,4.6,14.62
10/1/80,Oct-80,Air,1980,7.7,4.5,12.2
11/1/80,Nov-80,Air,1980,3.8,5.3,9.1
12/1/80,Dec-80,Air,1980,-3.97,4.9,0.93
1/1/81,Jan-81,Air,1981,4.86,5.4,10.26
2/1/81,Feb-81,Air,1981,1.34,5.9,7.24
3/1/81,Mar-81,Air,1981,4.14,5.3,9.44
4/1/81,Apr-81,Air,1981,3.17,4.6,7.77
5/1/81,May-81,Air,1981,10.45,4.5,14.95
6/1/81,Jun-81,Air,1981,11.24,5.2,16.44
7/1/81,Jul-81,Air,1981,13.48,5.1,18.58
8/1/81,Aug-81,Air,1981,13.12,4.7,17.82
9/1/81,Sep-81,Air,1981,9.67,4.6,14.27
10/1/81,Oct-81,Air,1981,6.69,4.5,11.19
11/1/81,Nov-81,Air,1981,1.66,5.3,6.96
12/1/81,Dec-81,Air,1981,-2.56,4.9,2.34
1/1/82,Jan-82,Air,1982,-6.7,5.4,-1.3
2/1/82,Feb-82,Air,1982,-4.49,5.9,1.41
3/1/82,Mar-82,Air,1982,-1.09,5.3,4.21
4/1/82,Apr-82,Air,1982,0.79,4.6,5.39
5/1/82,May-82,Air,1982,5.65,4.5,10.15
6/1/82,Jun-82,Air,1982,9.39,5.2,14.59
7/1/82,Jul-82,Air,1982,11.67,5.1,16.77
8/1/82,Aug-82,Air,1982,11.19,4.7,15.89
9/1/82,Sep-82,Air,1982,9.43,4.6,14.03
10/1/82,Oct-82,Air,1982,4.44,4.5,8.94
11/1/82,Nov-82,Air,1982,-0.03,5.3,5.27
12/1/82,Dec-82,Air,1982,-0.03,4.9,4.87
1/1/83,Jan-83,Air,1983,-0.85,5.4,4.55
2/1/83,Feb-83,Air,1983,0.6,5.9,6.5
3/1/83,Mar-83,Air,1983,1.64,5.3,6.94
4/1/83,Apr-83,Air,1983,3.77,4.6,8.37
5/1/83,May-83,Air,1983,7.56,4.5,12.06
6/1/83,Jun-83,Air,1983,11.58,5.2,16.78
7/1/83,Jul-83,Air,1983,12.79,5.1,17.89
8/1/83,Aug-83,Air,1983,12.3,4.7,17
9/1/83,Sep-83,Air,1983,7.32,4.6,11.92
10/1/83,Oct-83,Air,1983,4.61,4.5,9.11
11/1/83,Nov-83,Air,1983,-0.23,5.3,5.07
12/1/83,Dec-83,Air,1983,-5.46,4.9,-0.56
1/1/84,Jan-84,Air,1984,-0.54,5.4,4.86
2/1/84,Feb-84,Air,1984,0.65,5.9,6.55
3/1/84,Mar-84,Air,1984,3.2,5.3,8.5
4/1/84,Apr-84,Air,1984,3.69,4.6,8.29
5/1/84,May-84,Air,1984,6.45,4.5,10.95
