community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-01-01,0.57
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-02-01,3.75
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-03-01,2.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-04-01,5.55
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-05-01,8.92
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-06-01,12.17
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-07-01,14.46
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-08-01,15.08
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-09-01,12.82
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-10-01,7.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-11-01,3.33
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2020-12-01,-0.68
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-01-01,0.39
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-02-01,-0.31
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-03-01,0.44
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-04-01,5.62
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-05-01,9.54
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-06-01,12.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-07-01,15.63
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-08-01,13.95
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-09-01,11.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-10-01,7.1
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-11-01,-1.66
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2021-12-01,1.62
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-01-01,-3.13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-02-01,2.11
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-03-01,0.31
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-04-01,4.95
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-05-01,6.56
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-06-01,10.12
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-07-01,12.85
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-08-01,12.9
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-09-01,10.66
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-10-01,3.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-11-01,0.46
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2022-12-01,-2.59
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-01-01,1.09
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-02-01,3.04
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-03-01,0
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-04-01,1.91
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-05-01,7.48
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-06-01,12.77
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-07-01,14.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-08-01,14.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-09-01,12.16
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-10-01,7.96
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-11-01,0.51
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2023-12-01,-1.22
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-01-01,3.67
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-02-01,-3.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-03-01,0.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-04-01,4.52
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-05-01,9.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-06-01,10.84
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-07-01,14.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-08-01,14.08
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-09-01,12.14
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-10-01,6.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-11-01,2.12
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2024-12-01,2.29
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-01-01,3.26
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-02-01,2.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-03-01,3.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-04-01,5.5
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-05-01,9.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-06-01,12.9
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-07-01,15.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-08-01,14.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-09-01,10.23
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-10-01,7.81
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-11-01,2.48
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2025-12-01,1.25
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-01-01,3.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-02-01,4.47
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-03-01,5.59
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-04-01,7.46
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-05-01,10.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-06-01,13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-07-01,15.8
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-08-01,15.78
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-09-01,11.53
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-10-01,6.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-11-01,3.74
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2026-12-01,-0.71
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-01-01,-0.93
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2027-02-01,0.32
