Year,Pond,Delta,Std
2030,BVS,0.895,2.902942387
2060,BVS,1.339,2.926766988
2090,BVS,1.28,2.903426424
2030,CAB,1.643,5.421999308
2060,CAB,2.479,5.468092583
2090,CAB,3.045,5.423463838
2030,CAN,2.01,6.113635007
2060,CAN,3.036,6.174272184
2090,CAN,3.731,6.116284861
2030,EYS,1.779,5.839
2060,EYS,2.684,5.88697142
2090,EYS,3.297,5.840274394
2030,RHM,1.374,4.511828953
2060,RHM,2.069,4.549061936
2090,RHM,2.542,4.512804505
2030,SQR,1.581,5.155350619
2060,SQR,2.38,5.200005433
2090,SQR,2.918,5.157304722
2030,TIN,1.725,5.659251276
2060,TIN,2.602,5.707429281
2090,TIN,3.193,5.661698729
2030,TIS,1.988,6.216422926
2060,TIS,2.949,6.269004108
2090,TIS,3.602,6.217890679
2030,WDD,1.981,6.218380014
2060,WDD,2.943,6.270978911
2090,WDD,3.595,6.220827316
