Pond,Year,Delta,Std
BVS,2030,0.98,3.748452614
BVS,2060,1.584,3.752354594
BVS,2090,2.399,3.718723034
CAB,2030,1.402,6.371591716
CAB,2060,2.28,6.378843939
CAB,2090,3.47,6.335606206
CAN,2030,1.708,7.079964407
CAN,2060,2.786,7.082422749
CAN,2090,4.24,7.028666445
EYS,2030,1.521,6.548
EYS,2060,2.508,6.552097145
EYS,2090,3.836,6.50200123
RHM,2030,1.132,5.474642363
RHM,2060,1.881,5.475746616
RHM,2090,2.889,5.442296758
SQR,2030,1.417,5.701093316
SQR,2060,2.304,5.704874495
SQR,2090,5.774,5.656640699
TIN,2030,1.507,6.153109133
TIN,2060,2.475,6.156917735
TIN,2090,3.785,6.103917758
TIS,2030,1.634,7.162474014
TIS,2060,3.048,7.16304607
TIS,2090,4.418,7.116451433
WDD,2030,1.587,6.496916807
WDD,2060,2.577,6.49876519
WDD,2090,3.917,6.449162736
