"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",2.64895797142747,1.14123143775274
"2",2,"2090s",3.13902605278737,1.16978595221385
"3",3,"2090s",3.06210654008028,1.12954499266385
"4",4,"2090s",3.10480949918322,1.39016583568621
"5",5,"2090s",3.23973888384421,1.64996224988689
"6",6,"2090s",3.29489492039822,2.10723170410981
"7",7,"2090s",3.35466133892397,2.18597452789681
"8",8,"2090s",3.17345796855572,2.10231196483593
"9",9,"2090s",3.00174066116223,1.8163955571249
"10",10,"2090s",2.86793035466419,1.45037921770246
"11",11,"2090s",2.97392533920937,1.13966331847595
"12",12,"2090s",2.85430750295597,1.11978502443176
