"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-1.62561609346406,0.498944959385128,2.68948933175751,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-1.4174772973338,0.440841457412376,2.98629350219462,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-1.84169246254923,0.189969486406947,2.54529454704711,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-0.303722056075372,1.50310653647129,4.10797993157888,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,6.1656982805203,8.14850818704258,10.2975078218825,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,12.0317789117421,14.3215330636355,16.2706395377709,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,11.5185066198935,13.7384362178385,15.6510343160595,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,12.1196274794235,14.2395331435949,16.2267965326329,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,8.06817616100926,10.0945990236417,12.2788909389759,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,3.5670512794397,5.64965043662402,7.77456324889239,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,1.28470969725822,3.44777177605693,5.55842183494654,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,0.0342856338402968,2.160721744402,4.3344259010759,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.092644126626494,1.98386693277316,4.37976421057055,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,1.08532179415216,2.83275332457118,5.41565614763769,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,1.61227482481717,3.70047433818463,5.83217498096405,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,2.34789666534099,4.41272689568377,6.52508605118152,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,7.28404218852363,9.47277097105616,11.6404837648869,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,15.3778802276012,17.7835044368954,19.8349571040085,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,13.8690410600492,16.149051891752,18.0667871815256,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,13.0565183932151,15.2640809250165,17.2138751817445,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,9.60248824292994,11.6796899976514,13.6796161571385,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.88285124186311,7.78209640008784,10.0110302013092,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,2.60311548073714,4.72243567192335,6.89496972235509,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,0.711896380923925,2.94639850067155,5.06818120845709,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,0.635901826735472,2.53523423920533,4.99937170792288,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,0.957481794826455,3.19393134502504,5.33464265510066,7.75,0.0166493236212279,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,0.523634000986647,2.51148216423198,4.76387006243977,5.825,0.0294719003849767,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,3.68036595053752,5.70926132230102,7.91220853532658,5.8,0.0297265160523187,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,11.8790528035122,14.2278945764889,16.2690654782779,6.075,0.0270961404934885,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,12.6265984051294,14.9510571315125,16.8801224022397,5.275,0.0359380966285573,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,14.2265822158411,16.5614965813877,18.4898178306398,5.125,0.0380725758477097,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,14.1870817347234,16.5817105255506,18.4195284215733,4.025,0.0617260136568805,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,4.8699000912086,11.9572021410532,19.2089550394121,4.975,0.0404030201257544,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,0.336000636110832,8.07847713398697,15.6799580905386,5.4,0.0342935528120713,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,-2.3880795172907,6.29367522519047,14.9373368678532,6.225,0.025806035386526,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,-0.24744638543807,6.14534492925746,12.3236343822769,4.275,0.0547176909134434,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,-4.08046997917034,4.49930440400804,12.7315023096086,5.925,0.0284854635119016,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
