"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-2.09355180617465,0.250729805287997,2.51007186781624,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-0.67073679858304,1.19293337488496,3.16144910194654,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-2.09740302232285,-0.199868225707252,1.57606414353147,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,0.0180726393638994,2.60636747683244,5.52758190298912,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,5.45941914524961,7.47410755137022,9.61271116787265,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,11.8530201437708,13.7805059025136,15.5648486373393,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,12.4636883498502,14.1817147409246,15.9152770242806,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,12.9083204011832,14.6497416092719,16.406442426165,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,8.93102726230947,10.8953399662143,12.9759792539847,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,3.137201053078,5.12936971884291,6.99898001589035,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-2.39383219609721,0.744274382417885,3.47274055196501,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-3.16997668278384,-0.368066051842203,2.05877740969462,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.104821724118436,1.64477591357121,3.39546409775887,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,0.577036801105998,2.57274867069875,4.71627251772821,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-0.703973061007088,1.02618005854564,2.76594069512152,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.301349726914702,1.48597428564027,3.30730356564299,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,7.49119276901682,9.22105061661242,10.921550700183,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,15.0833752916599,17.1997427111345,19.1662436160776,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,15.4727884022481,17.4429701025532,19.2631964351561,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,14.163739735561,15.8992034033319,17.6722328563866,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,10.5640251550677,12.3978671455541,14.3591356486004,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,6.30166810707089,8.31822893234678,10.4806034902023,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-1.76284587360595,0.051620533036162,1.95383252755314,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-3.67548984469141,-1.91641573517478,-0.157814017737835,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,0.237285914805226,2.65032313385044,5.35548364673879,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-3.81799179064342,-1.53428914984522,0.498091858861285,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-1.65302663754922,0.254149976276054,2.31694778931113,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
