"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,7.33673881949313,7.53295890723486,7.72869653945802,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-1.73622630687305,1.42398402271357,4.75459520243954,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-3.04797218541341,0.24520875150218,3.4975618610538,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-1.89201823875801,1.21749138847845,4.50075980135521,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,3.33848980230359,6.3592193912851,9.41261638748778,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,10.1228180082585,13.4147690051774,16.547045433368,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,10.9175207036982,13.829933649491,16.6852532698975,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,10.9718657741273,14.0037724645491,17.0652164625472,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,7.53021300920138,10.5751664764977,13.7042555980171,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,3.0890930192414,6.37584053942543,9.69595146224902,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-0.157866552464377,3.1188266755489,6.38509353611692,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-1.96903678395622,1.38488742658002,4.71792375638673,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-2.10040655392465,1.23085223100658,4.58884618396843,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.636835353260894,2.15131234451293,5.04597834873899,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-1.82274640357696,1.32198963599709,4.48278985245696,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-1.54529186107899,1.5816795490437,4.8092583016441,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,5.65384950541996,9.01534501697748,12.3024300786312,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,14.097124845278,17.4936028136717,20.7948378206853,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,14.2995358970325,17.392763910745,20.3900131136022,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,12.5076160840288,15.5163196468091,18.4947622246735,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,8.99920259571609,11.9635349439558,14.9886501741301,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.06503745993031,8.04073543256408,11.1043626542392,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-3.04941387359441,0.223688109063388,3.71073158523517,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-5.01769741142963,-1.6841100608408,1.68402785704609,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-2.11015473416661,1.08647285498789,4.3810742319196,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-3.73632693444033,-0.355542375475461,3.02036956853464,7.75,0.0166493236212279,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-3.255329284449,-0.0721289481491674,3.22492251882945,5.825,0.0294719003849767,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,1.88905023788209,5.08718510309925,8.29397383461955,5.8,0.0297265160523187,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,10.0366206816073,13.4106654672509,16.6070636010922,6.075,0.0270961404934885,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,12.4285575260543,15.6746874808211,18.7698737011174,5.275,0.0359380966285573,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,14.1815767988282,17.3572005924966,20.4202395996797,5.125,0.0380725758477097,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,13.5478164882247,16.6215878554721,19.6153815628323,4.025,0.0617260136568805,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,8.3576570322253,14.4559736321514,20.4485639004146,4.975,0.0404030201257544,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,3.6523888652938,10.3412505243042,17.0882332004976,5.4,0.0342935528120713,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,-0.600467554864855,7.31908563698284,14.8468554839779,6.225,0.025806035386526,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,-0.263625684544029,5.87710759879409,11.8791553425544,4.275,0.0547176909134434,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,-3.27910538281773,4.09334156206817,11.3300296408263,5.925,0.0284854635119016,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,-3.11605371902846,4.11846511985678,11.12233317323,5.675,0.0310504764307477,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,-3.67382447474296,4.97370691156621,13.3240960859669,7.2,0.0192901234567901,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,0.868840940488063,7.07360310684542,13.1824577282844,4.7,0.0452693526482571,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,10.061896595253,13.4558239523881,16.6974084214038,5.95,0.028246592754749,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,12.2251268994567,15.4899709506474,18.6724294366621,6.25,0.0256,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,13.5452192788664,16.7691469713268,19.8582772544188,5.15,0.0377038363653502,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,12.7497143986503,15.9051413061373,19.02212275076,5.125,0.0380725758477097,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
2015-09-01,7.65635688562173,10.7843599345394,13.9646088235563,5.525,0.0327593620114248,NA,10,NA,NA,12.83,NA,10.47,12.82,8.78
2015-10-01,4.75298272479922,7.7638098459547,10.9073893757153,4.7,0.0452693526482571,NA,6.41,NA,NA,NA,NA,6.91,NA,6.09
2015-11-01,-0.0454293724816249,3.20552781140532,6.51752344844438,6.5,0.0236686390532544,NA,2.16,NA,NA,NA,NA,2.88,NA,1.81
2015-12-01,-1.21077048262591,1.94754782690403,5.08620458536818,5.4,0.0342935528120713,NA,0.83,NA,NA,NA,NA,2.03,NA,0.71
2016-01-01,-0.256861516233759,2.62110107515711,5.57388824187145,4,0.0625,NA,1.23,NA,NA,NA,NA,2.02,NA,1.44
2016-02-01,0.406867163411643,3.39618218451945,6.46216843782535,4.275,0.0547176909134434,NA,1.64,NA,NA,NA,NA,2.81,NA,2.48
2016-03-01,1.94928225027728,5.19234084290878,8.50252063402546,6.775,0.0217861957217358,NA,3.5,NA,NA,NA,NA,4.92,NA,4.7
2016-04-01,5.29848654576138,8.41127788223714,11.5236850607189,4.85,0.0425124880433627,NA,7.29,NA,NA,NA,NA,8.54,NA,8.12
2016-05-01,10.2243585028047,13.5298415967488,16.6985005023793,5.95,0.028246592754749,NA,12.47,NA,NA,NA,NA,14.21,NA,12.87
2016-06-01,13.4028898680923,16.6805016119458,19.8862747291726,5.975,0.0280107140981425,NA,15.73,NA,NA,19.04,NA,17.45,18.58,14.51
2016-07-01,13.8938115335685,16.9784940387249,20.0193894605866,4.575,0.047776881961241,NA,NA,NA,NA,19.64,NA,17.38,19.55,15.31
2016-08-01,12.1192948011846,15.3559755267616,18.5663121476825,5.975,0.0280107140981425,NA,NA,NA,NA,16.44,NA,15.3,15.27,12.78
2016-09-01,9.10962667116384,12.3021506041172,15.4813850916853,5.4,0.0342935528120713,NA,NA,NA,NA,12.93,NA,12.37,12.84,10.17
2016-10-01,2.77174224925303,5.90329300300082,9.16557740607873,5.525,0.0327593620114248,NA,NA,NA,NA,5.28,NA,5.02,4.91,6.04
2016-11-01,0.261968937284353,3.37743617204339,6.62714097225761,5.4,0.0342935528120713,NA,1.2,NA,NA,3.25,NA,2.83,3.18,4.35
2016-12-01,-2.63111391469904,0.519027133188658,3.72183164901627,5.4,0.0342935528120713,NA,0.35,NA,NA,0.53,NA,0.2,1.43,2.14
2017-01-01,-4.32236383330633,-1.05695520810984,2.19695139062723,6.075,0.0270961404934885,NA,0.07,NA,NA,-0.56,NA,-1.12,0.81,1.07
2017-02-01,-3.83078208638116,-0.68489544204812,2.49133827640684,5.1,0.0384467512495194,NA,0.09,NA,NA,-0.27,NA,-1.04,0.5,0.37
2017-03-01,-4.28502578938321,-1.08505807611555,2.19913248967075,6.075,0.0270961404934885,NA,0.07,NA,NA,-1.14,NA,-1.46,0.34,0.12
2017-04-01,2.046328970321,5.20131659700451,8.34516167064896,5.4,0.0342935528120713,NA,0.91,NA,NA,2.54,NA,5.31,3.6,3.13
2017-05-01,7.84619468963657,11.1615289956144,14.3953306420128,6.375,0.0246059207996924,NA,7.24,NA,NA,12.15,NA,11.67,10.81,7.01
2017-06-01,11.8933795387766,15.1047792388577,18.1605718477901,5.15,0.0377038363653502,NA,13.18,NA,NA,16.48,15.93,15.89,15.05,9.08
2017-07-01,13.7468915265516,16.93410357282,20.0170034775887,4.875,0.042077580539119,NA,15.57,NA,NA,18.39,17.94,17.88,17.08,10.8
2017-08-01,11.9123260104858,15.1507755360882,18.2782223643082,5.7,0.0307787011388119,NA,13.82,NA,NA,16.58,16.06,15.39,16.1,10.73
2017-09-01,8.75201426631879,11.7480429045243,14.8266430554939,4.45,0.0504986744097967,NA,10.04,NA,NA,11.92,11.69,11.31,11.32,9.08
2017-10-01,3.44567085247944,6.5990671102064,9.85648120079185,5.25,0.036281179138322,NA,5.49,NA,NA,7.17,7.34,5.67,7.85,5.27
2017-11-01,-0.74487894910539,2.54448257373268,5.93622119720819,6.5,0.0236686390532544,NA,1.43,NA,NA,NA,NA,2.31,NA,1.9
2017-12-01,-1.39420735390026,1.87255275709647,5.18864315654254,6.375,0.0246059207996924,NA,1.06,NA,NA,NA,NA,1.66,NA,1.37
2018-01-01,-2.14234755790911,1.12513169335215,4.41295417004304,6.375,0.0246059207996924,NA,0.38,NA,NA,NA,NA,0.89,NA,0.37
