"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,10.2507626067891,10.4471262370228,10.6441602645447,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,0.0137454848420931,6.7339914610482,13.1896146483674,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-4.41158459102188,3.76732623015228,11.3003226063827,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-2.19854912129475,5.47627577143281,12.647379003221,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,1.25425883499608,7.89523018021656,14.2000904062327,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,3.48482452004683,10.784428841139,18.0744672153215,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,7.03695074347982,12.6028666573424,18.2745965404451,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,7.78096043454182,13.6649460265189,19.6979899551316,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,6.55435320435728,12.847736573244,19.1697559337651,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,0.821995461757266,8.58575589745057,16.1069638057431,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-4.45344312154051,3.87622824969796,11.7384776340178,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-7.23171177286233,1.61779804440929,10.0123764085761,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-6.5977962076373,2.94052486515702,12.0184118603076,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-1.88794889697616,4.4496210868056,10.100282915257,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-3.66241347058786,3.52213606485309,10.2129850875589,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-3.28990893846557,3.80779140020196,10.4208871995444,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,-1.43644300644538,7.23772666019554,15.4998501760886,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,2.77476654000113,11.9268317071342,20.9860627071615,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,7.71211473882321,14.1910617837807,20.7542575111367,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,8.9819541305075,14.8964394702803,21.1166781555732,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,8.02162047222676,13.8955419203277,19.8455350544933,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,6.04237895584913,11.7746701064526,17.5688727784403,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-1.87354399840718,6.59623427910635,14.6475239668403,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-5.95452310081267,3.20068715833444,11.7713158216282,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-2.89041567601616,5.02295735844839,12.5084881776534,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-7.8406166936491,1.90098628841402,11.0586294640894,7.75,0.0166493236212279,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-5.42185846413218,2.76251208371883,10.4139485706928,5.825,0.0294719003849767,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,-2.82946898200318,5.07366347366236,12.5615620725097,5.8,0.0297265160523187,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,1.66540908735026,9.41105289976464,17.3189131429105,6.075,0.0270961404934885,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,4.51715689292729,11.4559019192699,18.5990555132015,5.275,0.0359380966285573,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,7.11853781369689,13.7679601221171,20.6921512704248,5.125,0.0380725758477097,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,9.03108494602222,14.6172978021438,20.532867103354,4.025,0.0617260136568805,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,7.68425080897394,13.9398901230952,20.5261599256252,4.975,0.0404030201257544,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,3.55964371573926,10.634338592584,17.5232120162895,5.4,0.0342935528120713,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,0.0620688870484986,7.96176263318273,15.4902116211388,6.225,0.025806035386526,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,0.45341042463024,6.61553747884172,12.6266944088803,4.275,0.0547176909134434,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
