"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,6.48938566477057,6.68513352108896,6.88406898787289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-1.95241342186528,4.22242478888415,10.1017751361229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-4.76006680091415,2.202938956579,8.82321228467866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,-2.98075204224993,3.5742352506588,10.0304725721957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,0.00993719839311373,5.28623463852087,10.5031712933531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,2.17065372871745,7.78388833437952,13.4797056390229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,5.03809659573561,9.85667305589045,14.8838678450986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,5.91622845037985,10.6218415614095,15.5512381541302,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,8.15419862030117,9.66711857951533,11.2401663159979,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,4.30262867643774,5.84506651571128,7.42221339698366,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,0.618890311478685,2.12697540579849,3.75042041727279,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-1.10069875968035,0.493995219607873,2.01694293379683,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.15586103348288,0.384114392206212,1.90858500538015,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.767094598687446,0.610151184998489,2.17138748345963,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-1.32922807244738,0.209880190304096,1.74556686390155,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-1.1589425864278,0.324460032314894,1.89637396012748,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,1.90084477011845,3.33343715848173,5.06728768599348,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,13.5293999170315,15.3389291189965,16.7746602065231,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,14.2707774562697,15.9014404325968,17.3343174969796,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,13.7913035020016,15.3586065648026,16.7801789245721,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,10.8682153069976,12.3664814964773,13.87226726963,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,6.64956245574885,8.08072798459852,9.70840903510465,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,2.52800968273148,4.09038015469568,5.65806162181098,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,0.264431153406514,1.84148582819082,3.35516453648115,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,0.174604546845125,1.61465732415285,3.23966369310316,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-0.741817634791805,0.899948183838867,2.44331074786656,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-1.12912464492173,0.45533072288022,2.01570293432526,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,-0.452651792014346,1.00392780372488,2.71087408687312,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,7.91522685382373,9.54129743260347,11.0518982017915,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,11.6364307260252,13.277647603683,14.7076540204017,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,13.7197128036658,15.3779128150925,16.780386920049,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,13.0493869258907,14.587366084153,16.0436513457193,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,11.5762156503961,13.1605737174593,14.693910900969,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,4.63147315279272,9.64570578235895,14.3901284194115,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,0.310180858906315,5.94843494452115,11.3441168930598,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,-1.95159834569787,4.19713421092646,9.95206657731439,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,-2.4546752605463,3.80692848576194,9.73278665825936,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,-3.24465621262864,3.11042266102485,9.12702442375878,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,-4.56910726449898,3.12183838323737,10.6317188305846,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,-1.97520763168626,4.22538992143842,10.2987984584891,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,0.641642895297485,7.07626162243281,13.5426557788943,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,3.25639176963274,10.0584006917179,16.9794771330696,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,6.05947989060551,12.0571827805275,18.3942956918023,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,7.34338627988408,12.7157524806609,18.4554321640548,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,5.41991288561318,11.0529333837614,16.85991162774,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,4.01478616985817,9.30807241131127,14.6853782180471,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,-0.246870215629385,5.95468920218233,12.0669776028013,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-2.48213893397339,3.61486425602885,9.59708337791833,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,-2.32540799275511,3.60113215135171,9.32142900652928,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,-1.72997556185722,3.99906362602342,9.53288554693374,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,-1.63302745896043,4.60532519375736,10.7748172163396,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
