"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,6.13516848098423,6.33292923984722,6.52894538826185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-2.27900470524748,4.04916797054161,10.2217885692746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-4.8132359466652,2.18561528502803,8.93341354843767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,-2.61990523871058,3.91902930524552,10.4004361945943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,0.705288121894841,5.78368644335381,10.8881273800366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,3.40817087554322,8.84114441949203,14.3386597103053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,6.98842814946539,11.4770351114024,16.009264458364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,13.4077777917495,14.9844024689358,16.3088668533637,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,9.71230354359776,11.1054812778931,12.5083764437758,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,4.04732423170561,5.45757518569014,6.91009904571643,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-1.10556787832186,0.240232655178737,1.77007663546144,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-1.69750615581459,-0.238725592879161,1.17950210956461,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.26692559438691,0.160237177955485,1.55450521506321,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.885820993064906,0.380823016771846,1.87075887014913,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-1.20860575565088,0.202781268622322,1.60752670180059,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-0.999808339986015,0.352064889378208,1.83079654440463,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,4.52276458475229,5.92965148407263,7.39592192105962,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,16.6749245693723,18.3030226886403,19.6234447369251,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,16.0799467758076,17.5500476393315,18.9084594573818,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,15.5639348559005,17.0650579960747,18.3768592640153,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,11.6380444080015,13.0525538392186,14.4488858640015,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,7.16857832287269,8.53800804069271,9.96957079900888,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,0.541060138422027,1.93761451586594,3.42644329202953,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-1.71607826030596,-0.29712174863481,1.13110046702292,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-1.04594114250277,0.299823670678547,1.78902113784363,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-3.22570366248766,-1.78088226461575,-0.334211589355664,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-2.3715284488575,-0.957599604972647,0.51788152468688,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,0.696100320925903,2.06140807882666,3.57889267517974,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,13.8711234566032,15.5104131093305,16.8471010050735,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,13.8620261752316,15.4536466293497,16.7841338519082,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,9.22787905613662,13.9149906547803,18.6709197344989,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,9.06715363247715,13.2746532071883,17.5695881402928,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,10.0123075611096,11.4391476617967,12.8880554459724,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,6.16037772948982,7.52827523972789,8.97998827883057,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,3.8123818654553,5.23749277901742,6.63867811026469,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,2.00012500354313,3.40318811867467,4.83616335106036,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,1.26159274058346,2.64467899468648,4.09298467685826,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,1.48005293950473,2.90037159538276,4.34750423375939,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,3.08890757197461,4.5260140148712,5.98944102578339,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,5.47817376736145,6.92431457258506,8.32087719832101,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,10.5398571111715,12.099628947269,13.4519649633947,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,11.9959643363597,13.5045291224752,14.9280868976485,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,8.2600976165431,13.4180053364327,18.6599837463719,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,8.01858417657075,12.8393378040769,17.6852823987004,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,8.07685312585979,9.46891958307767,10.9331755668245,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,6.21852015112212,7.6052234159896,8.98751619247949,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,-0.0037250970569776,1.34780201024999,2.89523596971035,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-1.67096043430162,-0.282589458726726,1.18863866531833,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,-1.47552775859432,-0.122320233180041,1.35033210470353,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,-0.747137302397033,0.579531613982822,2.11766948424833,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,3.53189295358488,4.95534704242802,6.3793147176017,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,8.64277800170818,10.195604957746,11.5340425625757,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
2016-05-01,9.33038993958242,10.7896518793666,12.2223428869272,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA
2016-06-01,5.2979106534709,11.7190382300222,18.2368175800031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,7.64327915685161,13.0786217031581,18.6669123935087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,7.52371710457523,13.1952573760472,18.9854768934486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,8.35187099972827,9.76993128907974,11.2486152470025,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
2016-10-01,4.822997619916,6.19554879167173,7.69137920476211,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA
2016-11-01,3.79873661068765,5.21538111537794,6.66418325612627,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA
2016-12-01,1.88216913130386,3.35015810597105,4.75420180727464,2.92,NA,NA,NA,NA,2.09,NA,NA,3.39,NA,NA
2017-01-01,0.349455409763088,1.79105989309961,3.21101770052558,1.37,NA,NA,NA,NA,0.96,NA,NA,1.81,NA,NA
2017-02-01,-0.114699179391481,1.31200575131192,2.74409661209441,0.7,NA,NA,NA,NA,0.64,NA,NA,1.31,NA,NA
2017-03-01,-0.880450711058373,0.573198037423016,2.01571832502409,0.39,NA,NA,NA,NA,0.35,NA,NA,0.61,NA,NA
2017-04-01,1.88225096251349,3.28042783014955,4.74466529623256,1.91,NA,NA,NA,NA,0.67,NA,NA,3.2,NA,NA
2017-05-01,6.48725605890935,7.97846088687106,9.37474226459882,9.33,NA,NA,NA,NA,7.55,NA,NA,8.07,NA,NA
2017-06-01,4.50280747818946,10.2873498055216,16.154060946446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-01,6.60818561778224,12.3748199875248,18.1761785243964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-01,8.0599433120085,12.9784212527702,18.012502040323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01,5.78387668155933,12.0480881590805,18.5395622654268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-01,3.68501455867192,9.24791555616826,15.0454686495011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-01,-2.92654749752254,4.7088849539019,11.9187861677533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-01,-4.70385369882596,2.95071950790063,10.4347277979637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-01,-5.42368955683489,2.52723881508895,10.1384001426337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-01,-6.41382032193007,0.766470381566915,7.80163753171573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-01,-6.19114221863108,1.91343856102178,9.7951596574965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-01,-2.98158652707352,3.93135456342929,10.7894716689678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,0.394133626670366,6.81577066909191,13.3425720706842,12.15,5.64,NA,NA,NA,NA,12.27,NA,NA,NA,NA
2018-06-01,3.36089796872763,9.65681739550321,16.0993440316554,15.06,8.1,NA,15.66,NA,NA,15.06,NA,NA,NA,NA
2018-07-01,6.12315089193567,12.1761438052151,18.547767704564,17.66,10.04,NA,17.65,NA,NA,17.3,NA,NA,NA,NA
2018-08-01,8.27572774074028,13.0979067727235,18.1638535017806,15.87,10.66,NA,15.22,NA,NA,15.47,NA,NA,NA,NA
2018-09-01,4.67454303428835,10.9568652331477,17.3468272399501,12.92,8.19,NA,12.57,NA,NA,10.26,NA,NA,NA,NA
2018-10-01,6.53984183090973,7.9618049401618,9.4290139982391,8.6,6.34,7.99,7.93,7.77,NA,7.52,7.65,7.89,7.24,4.62
2018-11-01,4.09335530618682,5.47467389969542,6.90563659223826,4.22,5.11,4.43,4.11,5.24,NA,3.75,4.85,5.39,4.18,4.86
2018-12-01,3.10020210295372,4.50142022250032,5.8942874532309,2.73,4.38,2.96,1.68,4.22,NA,2,2.93,4.5,3.34,3.56
2019-01-01,1.23159849281592,2.69618588329965,4.14508764157062,1.1,2.8,1.35,-0.21,3.13,NA,0.68,0.78,2.71,1.3,2.89
2019-02-01,0.320239194240456,1.77734094131947,3.1641367623063,0.91,2.23,0.69,-0.7,3.07,NA,0.01,0.24,1.83,0.81,3.4
2019-03-01,0.507911564346241,1.91106326116483,3.43816537348618,0.99,1.67,1.19,0.33,3.05,NA,-0.03,0.89,1.78,0.81,3.76
2019-04-01,4.93041677462095,6.3743138206525,7.78752204707833,4.9,2.42,6.04,6.83,7.84,NA,3.29,7.27,6.43,5.06,8.86
2019-05-01,9.95872685533077,11.4538211933611,12.8089132076972,12.85,5.2,13.04,13.91,12.96,NA,12.82,13.08,11.61,11.46,14.25
2019-06-01,12.9530481677399,14.4173534651076,15.8360852495388,16.78,12.54,16.3,15.82,16.04,15.63,16.56,15.5,14.44,13.6,18.01
2019-07-01,14.7864218096466,16.2596684360074,17.6134162185177,19.52,15.52,19.46,18.9,17.47,17.45,18.72,17.02,16.39,17.04,19.78
2019-08-01,13.1587644872732,14.6115938295481,16.0373849001908,17.7,13.43,17.14,16.53,16.01,15.19,16.7,14.75,14.63,14.93,18.22
2019-09-01,10.0984486683158,11.5140453015121,12.9408630419793,13.92,10.36,13.69,12.87,12.36,11.56,12.85,11.59,11.51,NA,14.08
2019-10-01,5.50310342411295,6.85614036074256,8.3680042962667,8.65,5.88,7.85,6.87,6.62,7.29,7.72,6.62,6.67,NA,6.76
2019-11-01,1.07238105603563,6.02730051102937,10.9615613725936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-01,-0.118887425415483,5.26352620583487,10.5557114472158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,-4.06365660093787,1.11935816112099,6.11536848961926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,-3.48769845152193,0.482177988832968,4.30533117874352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,-3.72459595486929,-0.102833664972087,3.23199095202291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,-0.419791159180597,2.49311507492767,5.14786314471571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,3.40093395111764,6.13844990673954,8.71334683625189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,6.21353443431295,9.73506841194587,13.390859468359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,8.996630966311,12.2783158772207,15.7241322447745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-01,9.84894601148713,12.8587610760729,16.0466751425664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-01,8.6040052300964,11.182864969898,13.8891258666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,5.33560717160455,8.1559831242899,11.0802254650519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-01,-1.85530613902694,2.90135661187543,7.47269460922958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-01,-4.04011207180804,-0.140734341967423,3.60014399917596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-01,-7.26983774345967,-2.08833400153817,2.76549761870562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
