"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",0.163086726170334,0.88984535011605
"2",2,"2060s",0.446324811485204,0.706216864919815
"3",3,"2060s",0.383662024345913,0.721625717951754
"4",4,"2060s",0.345480313310256,0.599591038825788
"5",5,"2060s",0.102764972506917,0.651090942625481
"6",6,"2060s",0.187897650594187,0.673984282328146
"7",7,"2060s",0.299971651961966,0.627735756346406
"8",8,"2060s",0.488486069427347,0.508571430488059
"9",9,"2060s",0.568009422494701,0.37009057350931
"10",10,"2060s",0.686430815458148,0.402435947653651
"11",11,"2060s",0.774020908390915,0.482430685674552
"12",12,"2060s",0.478266674606406,0.664553049882281
