"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.815214195212309,0.610000952195749
"2",2,"2030s",-0.503082589072035,0.901363287236775
"3",3,"2030s",-0.511891986346263,1.15677813250926
"4",4,"2030s",-0.637138593431494,1.03241834836831
"5",5,"2030s",-0.864198298485533,0.662615215897608
"6",6,"2030s",-0.800041813295801,0.522961351777343
"7",7,"2030s",-0.589015532092193,0.447978059217364
"8",8,"2030s",-0.40885324621191,0.471661190620838
"9",9,"2030s",-0.250056574128234,0.337497516434956
"10",10,"2030s",-0.21884506904549,0.381663578492061
"11",11,"2030s",-0.429063893875937,0.730049725673822
"12",12,"2030s",-0.37358737245689,0.887505863249298
