year,month,model,temperature,rcp,site,date
2012,Jan,Model1,-0.276343671071704,4.5,CRD,2012-01-01
2012,Oct,Model1,6.28,4.5,CRD,2012-10-01
2020,Apr,Model1,0.561879391235972,4.5,CRD,2020-04-01
2095,Apr,Model1,3.36189059402773,4.5,CRD,2095-04-01
2095,May,Model1,6.29384292959253,4.5,CRD,2095-05-01
2095,Jun,Model1,9.73298844580259,4.5,CRD,2095-06-01
2095,Jul,Model1,12.6381694264843,4.5,CRD,2095-07-01
2095,Aug,Model1,14.2266597579777,4.5,CRD,2095-08-01
2095,Sep,Model1,13.4908052822459,4.5,CRD,2095-09-01
2095,Oct,Model1,10.8441313222497,4.5,CRD,2095-10-01
2095,Nov,Model1,6.45627524997464,4.5,CRD,2095-11-01
2095,Dec,Model1,3.66145732875802,4.5,CRD,2095-12-01
2096,Jan,Model1,1.7958695011809,4.5,CRD,2096-01-01
2020,May,Model1,3.63311448824473,4.5,CRD,2020-05-01
2096,Feb,Model1,-0.575802119815507,4.5,CRD,2096-02-01
2096,Mar,Model1,0.912981432369667,4.5,CRD,2096-03-01
2096,Apr,Model1,3.39878258722176,4.5,CRD,2096-04-01
2096,May,Model1,6.64187898118566,4.5,CRD,2096-05-01
2096,Jun,Model1,10.7384753075245,4.5,CRD,2096-06-01
2096,Jul,Model1,13.6983721453534,4.5,CRD,2096-07-01
2096,Aug,Model1,14.7237349731746,4.5,CRD,2096-08-01
2096,Sep,Model1,13.8014680148982,4.5,CRD,2096-09-01
2096,Oct,Model1,11.2819466665395,4.5,CRD,2096-10-01
2096,Nov,Model1,7.23374731708133,4.5,CRD,2096-11-01
2020,Jun,Model1,7.34341226475089,4.5,CRD,2020-06-01
2096,Dec,Model1,3.91685026080426,4.5,CRD,2096-12-01
2097,Jan,Model1,1.72175699378399,4.5,CRD,2097-01-01
2097,Feb,Model1,1.1924668462258,4.5,CRD,2097-02-01
2097,Mar,Model1,0.987831652118854,4.5,CRD,2097-03-01
2097,Apr,Model1,2.92391998916597,4.5,CRD,2097-04-01
2097,May,Model1,6.06765684487517,4.5,CRD,2097-05-01
2097,Jun,Model1,10.003905829487,4.5,CRD,2097-06-01
2097,Jul,Model1,13.1333374212548,4.5,CRD,2097-07-01
2097,Aug,Model1,14.5171596801066,4.5,CRD,2097-08-01
