"ï»¿""Plot Title: 10144201""",,
#,"Date Time, GMT-08:00","Temp, Â°C (LGR S/N: 10144201, SEN S/N: 10144201)"
17,8/14/12 18:00,17.855
18,8/14/12 20:00,17.95
19,8/14/12 22:00,18.045
20,8/15/12 0:00,17.95
21,8/15/12 2:00,17.855
22,8/15/12 4:00,17.76
23,8/15/12 6:00,17.57
24,8/15/12 8:00,17.379
25,8/15/12 10:00,17.284
26,8/15/12 12:00,17.284
27,8/15/12 14:00,17.475
28,8/15/12 16:00,17.57
29,8/15/12 18:00,17.57
30,8/15/12 20:00,17.57
31,8/15/12 22:00,17.475
32,8/16/12 0:00,17.379
33,8/16/12 2:00,17.189
34,8/16/12 4:00,16.999
35,8/16/12 6:00,16.808
36,8/16/12 8:00,16.618
37,8/16/12 10:00,16.523
38,8/16/12 12:00,16.523
39,8/16/12 14:00,16.618
40,8/16/12 16:00,16.808
41,8/16/12 18:00,16.903
42,8/16/12 20:00,16.808
43,8/16/12 22:00,16.713
44,8/17/12 0:00,16.523
45,8/17/12 2:00,16.141
46,8/17/12 4:00,15.76
47,8/17/12 6:00,15.473
48,8/17/12 8:00,15.187
49,8/17/12 10:00,15.091
50,8/17/12 12:00,15.187
51,8/17/12 14:00,15.378
52,8/17/12 16:00,15.76
53,8/17/12 18:00,16.046
54,8/17/12 20:00,16.237
55,8/17/12 22:00,16.332
56,8/18/12 0:00,16.237
57,8/18/12 2:00,16.141
58,8/18/12 4:00,15.855
59,8/18/12 6:00,15.378
60,8/18/12 8:00,15.187
61,8/18/12 10:00,15.187
62,8/18/12 12:00,15.282
63,8/18/12 14:00,15.473
64,8/18/12 16:00,15.569
65,8/18/12 18:00,15.664
66,8/18/12 20:00,15.76
67,8/18/12 22:00,15.664
68,8/19/12 0:00,15.569
69,8/19/12 2:00,15.473
70,8/19/12 4:00,15.282
71,8/19/12 6:00,15.091
72,8/19/12 8:00,14.996
73,8/19/12 10:00,14.9
74,8/19/12 12:00,14.996
75,8/19/12 14:00,15.091
76,8/19/12 16:00,15.187
77,8/19/12 18:00,15.187
78,8/19/12 20:00,15.187
79,8/19/12 22:00,15.091
80,8/20/12 0:00,14.996
81,8/20/12 2:00,14.804
82,8/20/12 4:00,14.613
83,8/20/12 6:00,14.421
84,8/20/12 8:00,14.325
85,8/20/12 10:00,14.23
86,8/20/12 12:00,14.23
87,8/20/12 14:00,14.134
88,8/20/12 16:00,14.23
89,8/20/12 18:00,14.23
90,8/20/12 20:00,14.134
91,8/20/12 22:00,13.942
92,8/21/12 0:00,13.75
93,8/21/12 2:00,13.654
94,8/21/12 4:00,13.461
95,8/21/12 6:00,13.365
96,8/21/12 8:00,13.269
97,8/21/12 10:00,13.173
98,8/21/12 12:00,13.269
99,8/21/12 14:00,13.461
100,8/21/12 16:00,13.75
101,8/21/12 18:00,14.038
102,8/21/12 20:00,14.134
103,8/21/12 22:00,14.23
104,8/22/12 0:00,14.134
105,8/22/12 2:00,14.23
106,8/22/12 4:00,14.23
107,8/22/12 6:00,14.23
108,8/22/12 8:00,14.134
109,8/22/12 10:00,14.038
110,8/22/12 12:00,14.23
111,8/22/12 14:00,14.517
112,8/22/12 16:00,14.804
113,8/22/12 18:00,15.187
114,8/22/12 20:00,15.378
115,8/22/12 22:00,15.378
116,8/23/12 0:00,15.378
117,8/23/12 2:00,15.378
118,8/23/12 4:00,15.378
119,8/23/12 6:00,15.378
120,8/23/12 8:00,15.282
121,8/23/12 10:00,15.282
122,8/23/12 12:00,15.187
123,8/23/12 14:00,15.091
124,8/23/12 16:00,15.091
125,8/23/12 18:00,14.9
126,8/23/12 20:00,14.709
127,8/23/12 22:00,14.517
128,8/24/12 0:00,14.23
129,8/24/12 2:00,14.038
130,8/24/12 4:00,13.75
131,8/24/12 6:00,13.654
132,8/24/12 8:00,13.461
133,8/24/12 10:00,13.461
134,8/24/12 12:00,13.558
135,8/24/12 14:00,13.75
136,8/24/12 16:00,13.846
137,8/24/12 18:00,13.942
138,8/24/12 20:00,14.038
139,8/24/12 22:00,14.038
140,8/25/12 0:00,14.134
141,8/25/12 2:00,14.038
142,8/25/12 4:00,14.038
143,8/25/12 6:00,13.846
144,8/25/12 8:00,13.75
145,8/25/12 10:00,13.654
146,8/25/12 12:00,13.75
147,8/25/12 14:00,14.134
148,8/25/12 16:00,14.517
149,8/25/12 18:00,14.9
150,8/25/12 20:00,14.996
151,8/25/12 22:00,14.996
152,8/26/12 0:00,14.996
153,8/26/12 2:00,14.9
154,8/26/12 4:00,14.9
155,8/26/12 6:00,14.709
156,8/26/12 8:00,14.613
157,8/26/12 10:00,14.613
158,8/26/12 12:00,14.613
159,8/26/12 14:00,14.613
160,8/26/12 16:00,14.613
161,8/26/12 18:00,14.709
162,8/26/12 20:00,14.709
163,8/26/12 22:00,14.709
164,8/27/12 0:00,14.613
165,8/27/12 2:00,14.517
166,8/27/12 4:00,14.325
167,8/27/12 6:00,14.23
168,8/27/12 8:00,14.038
169,8/27/12 10:00,13.942
170,8/27/12 12:00,13.942
171,8/27/12 14:00,14.038
172,8/27/12 16:00,14.134
173,8/27/12 18:00,14.134
174,8/27/12 20:00,14.23
175,8/27/12 22:00,14.134
176,8/28/12 0:00,13.942
177,8/28/12 2:00,13.75
178,8/28/12 4:00,13.461
179,8/28/12 6:00,13.076
180,8/28/12 8:00,12.594
181,8/28/12 10:00,12.401
182,8/28/12 12:00,12.497
183,8/28/12 14:00,12.69
184,8/28/12 16:00,13.076
185,8/28/12 18:00,13.461
186,8/28/12 20:00,13.654
187,8/28/12 22:00,13.461
188,8/29/12 0:00,13.269
189,8/29/12 2:00,12.883
190,8/29/12 4:00,12.497
191,8/29/12 6:00,12.013
192,8/29/12 8:00,11.722
193,8/29/12 10:00,11.722
194,8/29/12 12:00,11.916
195,8/29/12 14:00,12.304
196,8/29/12 16:00,12.98
197,8/29/12 18:00,13.461
198,8/29/12 20:00,13.654
199,8/29/12 22:00,13.75
200,8/30/12 0:00,13.654
201,8/30/12 2:00,13.461
202,8/30/12 4:00,13.076
203,8/30/12 6:00,12.69
204,8/30/12 8:00,12.401
205,8/30/12 10:00,12.304
206,8/30/12 12:00,12.401
207,8/30/12 14:00,12.594
208,8/30/12 16:00,12.98
209,8/30/12 18:00,13.269
210,8/30/12 20:00,13.461
211,8/30/12 22:00,13.558
212,8/31/12 0:00,13.654
213,8/31/12 2:00,13.558
214,8/31/12 4:00,13.461
215,8/31/12 6:00,13.365
216,8/31/12 8:00,13.173
217,8/31/12 10:00,13.076
218,8/31/12 12:00,12.98
219,8/31/12 14:00,12.98
220,8/31/12 16:00,12.98
221,8/31/12 18:00,12.98
222,8/31/12 20:00,12.883
223,8/31/12 22:00,12.69
224,9/1/12 0:00,12.594
225,9/1/12 2:00,12.497
226,9/1/12 4:00,12.304
227,9/1/12 6:00,11.819
228,9/1/12 8:00,11.625
229,9/1/12 10:00,11.334
230,9/1/12 12:00,11.139
231,9/1/12 14:00,11.139
232,9/1/12 16:00,11.139
233,9/1/12 18:00,11.139
234,9/1/12 20:00,11.139
235,9/1/12 22:00,11.041
236,9/2/12 0:00,10.944
237,9/2/12 2:00,10.846
238,9/2/12 4:00,10.748
239,9/2/12 6:00,10.651
240,9/2/12 8:00,10.651
241,9/2/12 10:00,10.553
242,9/2/12 12:00,10.553
243,9/2/12 14:00,10.651
244,9/2/12 16:00,10.748
245,9/2/12 18:00,10.846
246,9/2/12 20:00,10.944
247,9/2/12 22:00,10.944
248,9/3/12 0:00,10.846
249,9/3/12 2:00,10.846
250,9/3/12 4:00,10.846
251,9/3/12 6:00,10.846
252,9/3/12 8:00,10.846
253,9/3/12 10:00,10.748
254,9/3/12 12:00,10.846
255,9/3/12 14:00,10.846
256,9/3/12 16:00,10.944
257,9/3/12 18:00,10.944
258,9/3/12 20:00,10.846
259,9/3/12 22:00,10.651
260,9/4/12 0:00,10.553
261,9/4/12 2:00,10.259
262,9/4/12 4:00,10.161
263,9/4/12 6:00,10.063
264,9/4/12 8:00,10.063
265,9/4/12 10:00,9.965
266,9/4/12 12:00,10.063
267,9/4/12 14:00,10.161
268,9/4/12 16:00,10.259
269,9/4/12 18:00,10.259
270,9/4/12 20:00,10.259
271,9/4/12 22:00,10.357
272,9/5/12 0:00,10.357
273,9/5/12 2:00,10.357
274,9/5/12 4:00,10.455
275,9/5/12 6:00,10.455
276,9/5/12 8:00,10.455
277,9/5/12 10:00,10.357
278,9/5/12 12:00,9.965
279,9/5/12 14:00,10.063
280,9/5/12 16:00,10.063
281,9/5/12 18:00,10.063
282,9/5/12 20:00,10.063
283,9/5/12 22:00,9.965
284,9/6/12 0:00,9.866
285,9/6/12 2:00,9.866
286,9/6/12 4:00,9.768
287,9/6/12 6:00,9.866
288,9/6/12 8:00,9.866
289,9/6/12 10:00,9.866
290,9/6/12 12:00,9.965
291,9/6/12 14:00,10.161
292,9/6/12 16:00,10.259
293,9/6/12 18:00,10.357
294,9/6/12 20:00,10.455
295,9/6/12 22:00,10.455
296,9/7/12 0:00,10.455
297,9/7/12 2:00,10.455
298,9/7/12 4:00,10.553
299,9/7/12 6:00,10.651
300,9/7/12 8:00,10.651
301,9/7/12 10:00,10.748
302,9/7/12 12:00,10.748
303,9/7/12 14:00,10.846
304,9/7/12 16:00,10.944
305,9/7/12 18:00,11.041
306,9/7/12 20:00,11.139
307,9/7/12 22:00,11.139
308,9/8/12 0:00,11.139
309,9/8/12 2:00,11.041
310,9/8/12 4:00,10.944
311,9/8/12 6:00,10.846
312,9/8/12 8:00,10.748
313,9/8/12 10:00,10.651
314,9/8/12 12:00,10.651
315,9/8/12 14:00,10.651
316,9/8/12 16:00,10.748
317,9/8/12 18:00,10.748
318,9/8/12 20:00,10.748
319,9/8/12 22:00,10.748
320,9/9/12 0:00,10.748
321,9/9/12 2:00,10.651
322,9/9/12 4:00,10.553
323,9/9/12 6:00,10.455
324,9/9/12 8:00,10.357
325,9/9/12 10:00,10.259
326,9/9/12 12:00,10.259
327,9/9/12 14:00,10.357
328,9/9/12 16:00,10.553
329,9/9/12 18:00,10.748
330,9/9/12 20:00,10.944
331,9/9/12 22:00,10.944
332,9/10/12 0:00,10.846
333,9/10/12 2:00,10.651
334,9/10/12 4:00,10.455
335,9/10/12 6:00,10.063
336,9/10/12 8:00,9.866
337,9/10/12 10:00,9.768
338,9/10/12 12:00,9.965
339,9/10/12 14:00,10.161
340,9/10/12 16:00,10.455
341,9/10/12 18:00,10.748
342,9/10/12 20:00,11.041
343,9/10/12 22:00,11.041
344,9/11/12 0:00,10.944
345,9/11/12 2:00,10.748
346,9/11/12 4:00,10.259
347,9/11/12 6:00,10.063
348,9/11/12 8:00,9.866
349,9/11/12 10:00,9.965
350,9/11/12 12:00,10.161
351,9/11/12 14:00,10.259
352,9/11/12 16:00,10.357
353,9/11/12 18:00,10.553
354,9/11/12 20:00,10.553
355,9/11/12 22:00,10.553
356,9/12/12 0:00,10.455
357,9/12/12 2:00,10.455
358,9/12/12 4:00,10.259
359,9/12/12 6:00,10.161
360,9/12/12 8:00,10.063
361,9/12/12 10:00,9.866
362,9/12/12 12:00,9.866
363,9/12/12 14:00,9.965
364,9/12/12 16:00,10.063
365,9/12/12 18:00,10.161
366,9/12/12 20:00,10.161
367,9/12/12 22:00,10.161
368,9/13/12 0:00,10.063
369,9/13/12 2:00,9.965
370,9/13/12 4:00,9.866
371,9/13/12 6:00,9.768
372,9/13/12 8:00,9.669
373,9/13/12 10:00,9.571
374,9/13/12 12:00,9.571
375,9/13/12 14:00,9.669
376,9/13/12 16:00,9.768
377,9/13/12 18:00,9.965
378,9/13/12 20:00,10.161
379,9/13/12 22:00,10.259
380,9/14/12 0:00,10.161
381,9/14/12 2:00,9.965
382,9/14/12 4:00,9.866
383,9/14/12 6:00,9.669
384,9/14/12 8:00,9.472
385,9/14/12 10:00,9.472
386,9/14/12 12:00,9.472
387,9/14/12 14:00,9.472
388,9/14/12 16:00,9.571
389,9/14/12 18:00,9.571
390,9/14/12 20:00,9.571
391,9/14/12 22:00,9.571
392,9/15/12 0:00,9.571
393,9/15/12 2:00,9.571
394,9/15/12 4:00,9.472
395,9/15/12 6:00,9.472
396,9/15/12 8:00,9.472
397,9/15/12 10:00,9.472
398,9/15/12 12:00,9.472
399,9/15/12 14:00,9.472
400,9/15/12 16:00,9.472
401,9/15/12 18:00,9.472
402,9/15/12 20:00,9.571
403,9/15/12 22:00,9.571
404,9/16/12 0:00,9.571
405,9/16/12 2:00,9.275
406,9/16/12 4:00,9.176
407,9/16/12 6:00,9.077
408,9/16/12 8:00,8.879
409,9/16/12 10:00,8.779
410,9/16/12 12:00,8.68
411,9/16/12 14:00,8.779
412,9/16/12 16:00,8.779
413,9/16/12 18:00,8.879
414,9/16/12 20:00,8.879
415,9/16/12 22:00,8.879
416,9/17/12 0:00,8.879
417,9/17/12 2:00,8.879
418,9/17/12 4:00,8.779
419,9/17/12 6:00,8.779
420,9/17/12 8:00,8.779
421,9/17/12 10:00,8.779
422,9/17/12 12:00,8.68
423,9/17/12 14:00,8.68
424,9/17/12 16:00,8.68
425,9/17/12 18:00,8.68
426,9/17/12 20:00,8.779
427,9/17/12 22:00,8.779
428,9/18/12 0:00,8.779
429,9/18/12 2:00,8.779
430,9/18/12 4:00,8.779
431,9/18/12 6:00,8.879
432,9/18/12 8:00,8.879
433,9/18/12 10:00,8.978
434,9/18/12 12:00,8.978
435,9/18/12 14:00,9.077
436,9/18/12 16:00,9.077
437,9/18/12 18:00,9.077
438,9/18/12 20:00,9.176
439,9/18/12 22:00,9.176
440,9/19/12 0:00,9.176
441,9/19/12 2:00,9.176
442,9/19/12 4:00,9.176
443,9/19/12 6:00,9.077
444,9/19/12 8:00,9.077
445,9/19/12 10:00,9.077
446,9/19/12 12:00,9.077
447,9/19/12 14:00,9.077
448,9/19/12 16:00,9.077
449,9/19/12 18:00,9.077
450,9/19/12 20:00,9.176
451,9/19/12 22:00,9.176
452,9/20/12 0:00,9.176
453,9/20/12 2:00,9.275
454,9/20/12 4:00,9.275
455,9/20/12 6:00,9.275
456,9/20/12 8:00,9.176
457,9/20/12 10:00,9.077
458,9/20/12 12:00,9.077
459,9/20/12 14:00,9.077
460,9/20/12 16:00,9.077
461,9/20/12 18:00,9.077
462,9/20/12 20:00,9.077
463,9/20/12 22:00,9.176
464,9/21/12 0:00,9.176
465,9/21/12 2:00,9.176
466,9/21/12 4:00,9.275
467,9/21/12 6:00,9.275
468,9/21/12 8:00,9.373
469,9/21/12 10:00,9.472
470,9/21/12 12:00,9.571
471,9/21/12 14:00,9.571
472,9/21/12 16:00,9.669
473,9/21/12 18:00,9.768
474,9/21/12 20:00,9.866
475,9/21/12 22:00,9.965
476,9/22/12 0:00,10.063
477,9/22/12 2:00,10.161
478,9/22/12 4:00,10.357
479,9/22/12 6:00,10.455
480,9/22/12 8:00,10.553
481,9/22/12 10:00,10.651
482,9/22/12 12:00,10.651
483,9/22/12 14:00,10.748
484,9/22/12 16:00,10.846
485,9/22/12 18:00,10.944
486,9/22/12 20:00,10.944
487,9/22/12 22:00,10.944
488,9/23/12 0:00,10.651
489,9/23/12 2:00,10.455
490,9/23/12 4:00,10.259
491,9/23/12 6:00,10.161
492,9/23/12 8:00,10.063
493,9/23/12 10:00,9.965
494,9/23/12 12:00,9.965
495,9/23/12 14:00,9.866
496,9/23/12 16:00,9.866
497,9/23/12 18:00,9.866
498,9/23/12 20:00,9.866
499,9/23/12 22:00,9.768
500,9/24/12 0:00,9.669
501,9/24/12 2:00,9.571
502,9/24/12 4:00,9.472
503,9/24/12 6:00,9.472
504,9/24/12 8:00,9.373
505,9/24/12 10:00,9.373
506,9/24/12 12:00,9.275
507,9/24/12 14:00,9.275
508,9/24/12 16:00,9.275
509,9/24/12 18:00,9.373
510,9/24/12 20:00,9.373
511,9/24/12 22:00,9.373
512,9/25/12 0:00,9.373
513,9/25/12 2:00,9.373
514,9/25/12 4:00,9.373
515,9/25/12 6:00,9.472
516,9/25/12 8:00,9.571
517,9/25/12 10:00,9.571
518,9/25/12 12:00,9.571
519,9/25/12 14:00,9.571
520,9/25/12 16:00,9.571
521,9/25/12 18:00,9.571
522,9/25/12 20:00,9.571
523,9/25/12 22:00,9.571
524,9/26/12 0:00,9.472
525,9/26/12 2:00,9.472
526,9/26/12 4:00,9.373
527,9/26/12 6:00,9.275
528,9/26/12 8:00,9.275
529,9/26/12 10:00,9.176
530,9/26/12 12:00,9.176
531,9/26/12 14:00,9.077
532,9/26/12 16:00,9.077
533,9/26/12 18:00,8.978
534,9/26/12 20:00,8.879
535,9/26/12 22:00,8.779
536,9/27/12 0:00,8.779
537,9/27/12 2:00,8.68
538,9/27/12 4:00,8.581
539,9/27/12 6:00,8.581
540,9/27/12 8:00,8.481
541,9/27/12 10:00,8.481
542,9/27/12 12:00,8.382
543,9/27/12 14:00,8.182
544,9/27/12 16:00,8.182
545,9/27/12 18:00,8.182
546,9/27/12 20:00,8.182
547,9/27/12 22:00,8.082
548,9/28/12 0:00,8.082
549,9/28/12 2:00,8.082
550,9/28/12 4:00,8.182
551,9/28/12 6:00,8.082
552,9/28/12 8:00,8.082
553,9/28/12 10:00,8.082
554,9/28/12 12:00,8.082
555,9/28/12 14:00,7.983
556,9/28/12 16:00,8.082
557,9/28/12 18:00,8.082
558,9/28/12 20:00,8.082
559,9/28/12 22:00,8.182
560,9/29/12 0:00,8.182
561,9/29/12 2:00,8.182
