"ï»¿""Plot Title: 10201453""",,
#,"Date Time, GMT-08:00","Temp, Â°C (LGR S/N: 10201453, SEN S/N: 10201453)"
5,8/5/13 13:00,12.883
6,8/5/13 14:00,12.883
7,8/5/13 15:00,12.98
8,8/5/13 16:00,13.076
9,8/5/13 17:00,13.269
10,8/5/13 18:00,13.365
11,8/5/13 19:00,13.558
12,8/5/13 20:00,13.654
13,8/5/13 21:00,13.846
14,8/5/13 22:00,13.846
15,8/5/13 23:00,13.942
16,8/6/13 0:00,13.942
17,8/6/13 1:00,13.846
18,8/6/13 2:00,13.75
19,8/6/13 3:00,13.558
20,8/6/13 4:00,13.365
21,8/6/13 5:00,13.269
22,8/6/13 6:00,13.076
23,8/6/13 7:00,12.98
24,8/6/13 8:00,12.883
25,8/6/13 9:00,12.883
26,8/6/13 10:00,12.787
27,8/6/13 11:00,12.787
28,8/6/13 12:00,12.69
29,8/6/13 13:00,12.69
30,8/6/13 14:00,12.787
31,8/6/13 15:00,12.883
32,8/6/13 16:00,12.98
33,8/6/13 17:00,13.076
34,8/6/13 18:00,13.173
35,8/6/13 19:00,13.269
36,8/6/13 20:00,13.365
37,8/6/13 21:00,13.558
38,8/6/13 22:00,13.654
39,8/6/13 23:00,13.75
40,8/7/13 0:00,13.75
41,8/7/13 1:00,13.75
42,8/7/13 2:00,13.558
43,8/7/13 3:00,13.365
44,8/7/13 4:00,13.173
45,8/7/13 5:00,12.98
46,8/7/13 6:00,12.787
47,8/7/13 7:00,12.594
48,8/7/13 8:00,12.497
49,8/7/13 9:00,12.401
50,8/7/13 10:00,12.401
51,8/7/13 11:00,12.401
52,8/7/13 12:00,12.304
53,8/7/13 13:00,12.304
54,8/7/13 14:00,12.304
55,8/7/13 15:00,12.401
56,8/7/13 16:00,12.401
57,8/7/13 17:00,12.497
58,8/7/13 18:00,12.497
59,8/7/13 19:00,12.69
60,8/7/13 20:00,12.69
61,8/7/13 21:00,12.883
62,8/7/13 22:00,12.98
63,8/7/13 23:00,13.076
64,8/8/13 0:00,13.173
65,8/8/13 1:00,13.269
66,8/8/13 2:00,13.269
67,8/8/13 3:00,13.269
68,8/8/13 4:00,13.173
69,8/8/13 5:00,13.173
70,8/8/13 6:00,13.076
71,8/8/13 7:00,12.98
72,8/8/13 8:00,12.98
73,8/8/13 9:00,12.883
74,8/8/13 10:00,12.787
75,8/8/13 11:00,12.69
76,8/8/13 12:00,12.69
77,8/8/13 13:00,12.69
78,8/8/13 14:00,12.69
79,8/8/13 15:00,12.787
80,8/8/13 16:00,12.787
81,8/8/13 17:00,12.883
82,8/8/13 18:00,12.98
83,8/8/13 19:00,12.98
84,8/8/13 20:00,13.076
85,8/8/13 21:00,13.173
86,8/8/13 22:00,13.269
87,8/8/13 23:00,13.365
88,8/9/13 0:00,13.365
89,8/9/13 1:00,13.365
90,8/9/13 2:00,13.269
91,8/9/13 3:00,13.173
92,8/9/13 4:00,13.076
93,8/9/13 5:00,12.883
94,8/9/13 6:00,12.787
95,8/9/13 7:00,12.69
96,8/9/13 8:00,12.594
97,8/9/13 9:00,12.497
98,8/9/13 10:00,12.497
99,8/9/13 11:00,12.497
100,8/9/13 12:00,12.497
101,8/9/13 13:00,12.497
102,8/9/13 14:00,12.401
103,8/9/13 15:00,12.401
104,8/9/13 16:00,12.401
105,8/9/13 17:00,12.497
106,8/9/13 18:00,12.497
107,8/9/13 19:00,12.497
108,8/9/13 20:00,12.594
109,8/9/13 21:00,12.594
110,8/9/13 22:00,12.594
111,8/9/13 23:00,12.594
112,8/10/13 0:00,12.594
113,8/10/13 1:00,12.497
114,8/10/13 2:00,12.497
115,8/10/13 3:00,12.401
116,8/10/13 4:00,12.401
117,8/10/13 5:00,12.401
118,8/10/13 6:00,12.304
119,8/10/13 7:00,12.304
120,8/10/13 8:00,12.304
121,8/10/13 9:00,12.304
122,8/10/13 10:00,12.304
123,8/10/13 11:00,12.304
124,8/10/13 12:00,12.304
125,8/10/13 13:00,12.304
126,8/10/13 14:00,12.304
127,8/10/13 15:00,12.304
128,8/10/13 16:00,12.304
129,8/10/13 17:00,12.401
130,8/10/13 18:00,12.401
131,8/10/13 19:00,12.497
132,8/10/13 20:00,12.497
133,8/10/13 21:00,12.497
134,8/10/13 22:00,12.594
135,8/10/13 23:00,12.594
136,8/11/13 0:00,12.594
137,8/11/13 1:00,12.497
138,8/11/13 2:00,12.497
139,8/11/13 3:00,12.497
140,8/11/13 4:00,12.497
141,8/11/13 5:00,12.401
142,8/11/13 6:00,12.401
143,8/11/13 7:00,12.401
144,8/11/13 8:00,12.401
145,8/11/13 9:00,12.304
146,8/11/13 10:00,12.304
147,8/11/13 11:00,12.304
148,8/11/13 12:00,12.304
149,8/11/13 13:00,12.304
150,8/11/13 14:00,12.304
151,8/11/13 15:00,12.304
152,8/11/13 16:00,12.401
153,8/11/13 17:00,12.401
154,8/11/13 18:00,12.401
155,8/11/13 19:00,12.497
156,8/11/13 20:00,12.497
157,8/11/13 21:00,12.594
158,8/11/13 22:00,12.594
159,8/11/13 23:00,12.69
160,8/12/13 0:00,12.69
161,8/12/13 1:00,12.69
162,8/12/13 2:00,12.594
163,8/12/13 3:00,12.594
164,8/12/13 4:00,12.497
165,8/12/13 5:00,12.401
166,8/12/13 6:00,12.304
167,8/12/13 7:00,12.11
168,8/12/13 8:00,12.013
169,8/12/13 9:00,11.916
170,8/12/13 10:00,11.916
171,8/12/13 11:00,11.916
172,8/12/13 12:00,11.916
173,8/12/13 13:00,11.916
174,8/12/13 14:00,11.916
175,8/12/13 15:00,12.013
176,8/12/13 16:00,12.11
177,8/12/13 17:00,12.304
178,8/12/13 18:00,12.497
179,8/12/13 19:00,12.69
180,8/12/13 20:00,12.883
181,8/12/13 21:00,13.173
182,8/12/13 22:00,13.365
183,8/12/13 23:00,13.461
184,8/13/13 0:00,13.558
185,8/13/13 1:00,13.558
186,8/13/13 2:00,13.558
187,8/13/13 3:00,13.365
188,8/13/13 4:00,13.269
189,8/13/13 5:00,13.076
190,8/13/13 6:00,12.98
191,8/13/13 7:00,12.787
192,8/13/13 8:00,12.69
193,8/13/13 9:00,12.594
194,8/13/13 10:00,12.497
195,8/13/13 11:00,12.497
196,8/13/13 12:00,12.497
197,8/13/13 13:00,12.401
198,8/13/13 14:00,12.497
199,8/13/13 15:00,12.497
200,8/13/13 16:00,12.594
201,8/13/13 17:00,12.594
202,8/13/13 18:00,12.69
203,8/13/13 19:00,12.883
204,8/13/13 20:00,12.98
205,8/13/13 21:00,13.076
206,8/13/13 22:00,13.076
207,8/13/13 23:00,13.173
208,8/14/13 0:00,13.269
209,8/14/13 1:00,13.269
210,8/14/13 2:00,13.173
211,8/14/13 3:00,13.076
212,8/14/13 4:00,12.98
213,8/14/13 5:00,12.883
214,8/14/13 6:00,12.787
