Plot Title: 10166531,,
Date,"Time, GMT-08:00","Temp, °C"
5/5/2017,16:00:00,14.134
5/5/2017,17:00:00,14.421
5/5/2017,18:00:00,14.325
5/5/2017,19:00:00,14.134
5/5/2017,20:00:00,13.461
5/5/2017,21:00:00,13.173
5/5/2017,22:00:00,12.787
5/5/2017,23:00:00,12.497
5/6/2017,0:00:00,12.207
5/6/2017,1:00:00,12.013
5/6/2017,2:00:00,11.722
5/6/2017,3:00:00,11.431
5/6/2017,4:00:00,11.236
5/6/2017,5:00:00,10.944
5/6/2017,6:00:00,10.748
5/6/2017,7:00:00,10.651
5/6/2017,8:00:00,10.944
5/6/2017,9:00:00,11.236
5/6/2017,10:00:00,11.528
5/6/2017,11:00:00,12.11
5/6/2017,12:00:00,13.173
5/6/2017,13:00:00,14.038
5/6/2017,14:00:00,14.517
5/6/2017,15:00:00,15.282
5/6/2017,16:00:00,15.473
5/6/2017,17:00:00,16.046
5/6/2017,18:00:00,15.664
5/6/2017,19:00:00,15.187
5/6/2017,20:00:00,14.613
5/6/2017,21:00:00,14.038
5/6/2017,22:00:00,13.654
5/6/2017,23:00:00,13.269
5/7/2017,0:00:00,13.269
5/7/2017,1:00:00,12.787
5/7/2017,2:00:00,12.497
5/7/2017,3:00:00,12.11
5/7/2017,4:00:00,11.625
5/7/2017,5:00:00,11.236
5/7/2017,6:00:00,10.846
5/7/2017,7:00:00,10.455
5/7/2017,8:00:00,10.161
5/7/2017,9:00:00,10.063
5/7/2017,10:00:00,9.768
5/7/2017,11:00:00,9.472
5/7/2017,12:00:00,9.571
5/7/2017,13:00:00,9.472
5/7/2017,14:00:00,9.571
5/7/2017,15:00:00,9.571
5/7/2017,16:00:00,9.669
5/7/2017,17:00:00,9.571
5/7/2017,18:00:00,9.571
5/7/2017,19:00:00,9.571
5/7/2017,20:00:00,9.472
5/7/2017,21:00:00,9.373
5/7/2017,22:00:00,9.275
5/7/2017,23:00:00,9.176
5/8/2017,0:00:00,9.176
5/8/2017,1:00:00,9.077
5/8/2017,2:00:00,8.978
5/8/2017,3:00:00,8.978
5/8/2017,4:00:00,8.879
5/8/2017,5:00:00,8.779
5/8/2017,6:00:00,8.779
5/8/2017,7:00:00,8.779
5/8/2017,8:00:00,8.978
5/8/2017,9:00:00,9.176
5/8/2017,10:00:00,9.176
5/8/2017,11:00:00,9.275
5/8/2017,12:00:00,9.472
5/8/2017,13:00:00,9.669
5/8/2017,14:00:00,10.063
5/8/2017,15:00:00,10.455
5/8/2017,16:00:00,10.944
5/8/2017,17:00:00,10.651
5/8/2017,18:00:00,10.651
5/8/2017,19:00:00,10.748
5/8/2017,20:00:00,10.455
5/8/2017,21:00:00,10.357
5/8/2017,22:00:00,10.161
5/8/2017,23:00:00,9.965
5/9/2017,0:00:00,9.866
5/9/2017,1:00:00,9.768
5/9/2017,2:00:00,9.571
5/9/2017,3:00:00,9.373
5/9/2017,4:00:00,9.275
5/9/2017,5:00:00,9.176
5/9/2017,6:00:00,9.077
5/9/2017,7:00:00,9.176
5/9/2017,8:00:00,9.275
5/9/2017,9:00:00,9.571
5/9/2017,10:00:00,9.472
5/9/2017,11:00:00,9.669
5/9/2017,12:00:00,10.063
5/9/2017,13:00:00,9.965
5/9/2017,14:00:00,10.357
5/9/2017,15:00:00,10.553
5/9/2017,16:00:00,10.748
5/9/2017,17:00:00,10.846
5/9/2017,18:00:00,10.748
5/9/2017,19:00:00,10.748
5/9/2017,20:00:00,10.553
5/9/2017,21:00:00,10.455
5/9/2017,22:00:00,10.357
5/9/2017,23:00:00,10.259
5/10/2017,0:00:00,10.161
5/10/2017,1:00:00,9.965
5/10/2017,2:00:00,9.768
5/10/2017,3:00:00,9.571
5/10/2017,4:00:00,9.373
5/10/2017,5:00:00,9.176
5/10/2017,6:00:00,9.077
5/10/2017,7:00:00,9.176
5/10/2017,8:00:00,9.571
5/10/2017,9:00:00,9.965
5/10/2017,10:00:00,10.455
5/10/2017,11:00:00,11.041
5/10/2017,12:00:00,11.916
5/10/2017,13:00:00,12.883
5/10/2017,14:00:00,13.75
5/10/2017,15:00:00,14.996
5/10/2017,16:00:00,16.237
5/10/2017,17:00:00,16.523
5/10/2017,18:00:00,16.808
5/10/2017,19:00:00,16.523
5/10/2017,20:00:00,15.951
5/10/2017,21:00:00,15.091
5/10/2017,22:00:00,14.709
5/10/2017,23:00:00,14.517
5/11/2017,0:00:00,14.325
5/11/2017,1:00:00,14.038
5/11/2017,2:00:00,13.75
5/11/2017,3:00:00,13.461
5/11/2017,4:00:00,13.269
5/11/2017,5:00:00,12.98
5/11/2017,6:00:00,12.883
5/11/2017,7:00:00,12.787
5/11/2017,8:00:00,12.98
5/11/2017,9:00:00,13.365
5/11/2017,10:00:00,14.038
5/11/2017,11:00:00,14.517
5/11/2017,12:00:00,15.282
5/11/2017,13:00:00,16.523
5/11/2017,14:00:00,17.284
5/11/2017,15:00:00,18.14
5/11/2017,16:00:00,19.187
5/11/2017,17:00:00,19.853
5/11/2017,18:00:00,19.567
5/11/2017,19:00:00,19.187
5/11/2017,20:00:00,18.426
5/11/2017,21:00:00,17.57
5/11/2017,22:00:00,17.379
5/11/2017,23:00:00,17.094
5/12/2017,0:00:00,16.808
5/12/2017,1:00:00,16.427
5/12/2017,2:00:00,16.141
5/12/2017,3:00:00,15.855
5/12/2017,4:00:00,15.569
5/12/2017,5:00:00,15.282
5/12/2017,6:00:00,15.091
5/12/2017,7:00:00,14.996
5/12/2017,8:00:00,15.091
5/12/2017,9:00:00,15.473
5/12/2017,10:00:00,15.951
5/12/2017,11:00:00,16.523
5/12/2017,12:00:00,17.284
5/12/2017,13:00:00,18.331
5/12/2017,14:00:00,19.092
5/12/2017,15:00:00,19.758
5/12/2017,16:00:00,20.043
5/12/2017,17:00:00,20.138
5/12/2017,18:00:00,19.948
5/12/2017,19:00:00,19.662
5/12/2017,20:00:00,19.092
5/12/2017,21:00:00,18.236
5/12/2017,22:00:00,17.76
5/12/2017,23:00:00,17.379
5/13/2017,0:00:00,17.094
5/13/2017,1:00:00,16.808
5/13/2017,2:00:00,16.523
5/13/2017,3:00:00,16.141
5/13/2017,4:00:00,15.76
5/13/2017,5:00:00,15.473
5/13/2017,6:00:00,15.187
5/13/2017,7:00:00,14.9
5/13/2017,8:00:00,14.9
5/13/2017,9:00:00,14.804
5/13/2017,10:00:00,14.613
5/13/2017,11:00:00,14.613
5/13/2017,12:00:00,14.709
5/13/2017,13:00:00,14.709
5/13/2017,14:00:00,14.517
5/13/2017,15:00:00,14.23
5/13/2017,16:00:00,14.134
5/13/2017,17:00:00,13.942
5/13/2017,18:00:00,13.942
5/13/2017,19:00:00,13.654
5/13/2017,20:00:00,13.365
5/13/2017,21:00:00,12.883
5/13/2017,22:00:00,12.594
5/13/2017,23:00:00,12.401
5/14/2017,0:00:00,12.304
5/14/2017,1:00:00,12.207
5/14/2017,2:00:00,12.013
5/14/2017,3:00:00,11.722
5/14/2017,4:00:00,11.625
5/14/2017,5:00:00,11.431
5/14/2017,6:00:00,11.334
5/14/2017,7:00:00,11.528
5/14/2017,8:00:00,11.722
5/14/2017,9:00:00,12.013
5/14/2017,10:00:00,12.497
5/14/2017,11:00:00,12.69
5/14/2017,12:00:00,12.787
5/14/2017,13:00:00,13.173
5/14/2017,14:00:00,14.325
5/14/2017,15:00:00,14.325
5/14/2017,16:00:00,15.187
5/14/2017,17:00:00,16.237
5/14/2017,18:00:00,16.141
5/14/2017,19:00:00,15.951
5/14/2017,20:00:00,14.9
5/14/2017,21:00:00,14.517
5/14/2017,22:00:00,14.23
5/14/2017,23:00:00,13.942
5/15/2017,0:00:00,13.654
5/15/2017,1:00:00,13.365
5/15/2017,2:00:00,13.173
5/15/2017,3:00:00,12.883
5/15/2017,4:00:00,12.594
