Plot Title: 10316650,,
Date,"Time, GMT-08:00","Temp, °C"
6/2/2017,13:00:00,18.616
6/2/2017,14:00:00,18.426
6/2/2017,15:00:00,18.331
6/2/2017,16:00:00,18.236
6/2/2017,17:00:00,17.95
6/2/2017,18:00:00,17.855
6/2/2017,19:00:00,17.665
6/2/2017,20:00:00,17.379
6/2/2017,21:00:00,17.189
6/2/2017,22:00:00,16.999
6/2/2017,23:00:00,16.808
6/3/2017,0:00:00,16.713
6/3/2017,1:00:00,16.523
6/3/2017,2:00:00,16.332
6/3/2017,3:00:00,16.141
6/3/2017,4:00:00,15.951
6/3/2017,5:00:00,15.76
6/3/2017,6:00:00,15.76
6/3/2017,7:00:00,15.76
6/3/2017,8:00:00,15.664
6/3/2017,9:00:00,15.855
6/3/2017,10:00:00,15.951
6/3/2017,11:00:00,15.76
6/3/2017,12:00:00,15.664
6/3/2017,13:00:00,15.76
6/3/2017,14:00:00,15.76
6/3/2017,15:00:00,15.569
6/3/2017,16:00:00,15.378
6/3/2017,17:00:00,15.282
6/3/2017,18:00:00,15.091
6/3/2017,19:00:00,14.996
6/3/2017,20:00:00,14.804
6/3/2017,21:00:00,14.613
6/3/2017,22:00:00,14.325
6/3/2017,23:00:00,14.134
6/4/2017,0:00:00,14.038
6/4/2017,1:00:00,13.846
6/4/2017,2:00:00,13.75
6/4/2017,3:00:00,13.558
6/4/2017,4:00:00,13.461
6/4/2017,5:00:00,13.365
6/4/2017,6:00:00,13.173
6/4/2017,7:00:00,13.173
6/4/2017,8:00:00,12.98
6/4/2017,9:00:00,13.076
6/4/2017,10:00:00,13.269
6/4/2017,11:00:00,14.421
6/4/2017,12:00:00,14.23
6/4/2017,13:00:00,14.996
6/4/2017,14:00:00,15.951
6/4/2017,15:00:00,17.094
6/4/2017,16:00:00,17.094
6/4/2017,17:00:00,17.284
6/4/2017,18:00:00,17.284
6/4/2017,19:00:00,17.379
6/4/2017,20:00:00,16.808
6/4/2017,21:00:00,16.618
6/4/2017,22:00:00,16.332
6/4/2017,23:00:00,16.046
6/5/2017,0:00:00,15.76
6/5/2017,1:00:00,15.473
6/5/2017,2:00:00,15.282
6/5/2017,3:00:00,14.996
6/5/2017,4:00:00,14.804
6/5/2017,5:00:00,14.613
6/5/2017,6:00:00,14.517
6/5/2017,7:00:00,14.709
6/5/2017,8:00:00,15.282
6/5/2017,9:00:00,15.76
6/5/2017,10:00:00,16.332
6/5/2017,11:00:00,17.094
6/5/2017,12:00:00,17.379
6/5/2017,13:00:00,18.426
6/5/2017,14:00:00,17.57
6/5/2017,15:00:00,18.331
6/5/2017,16:00:00,17.379
6/5/2017,17:00:00,17.57
6/5/2017,18:00:00,17.284
6/5/2017,19:00:00,16.999
6/5/2017,20:00:00,16.903
6/5/2017,21:00:00,16.618
6/5/2017,22:00:00,16.141
6/5/2017,23:00:00,15.951
6/6/2017,0:00:00,15.664
6/6/2017,1:00:00,15.378
6/6/2017,2:00:00,15.187
6/6/2017,3:00:00,14.9
6/6/2017,4:00:00,14.709
6/6/2017,5:00:00,14.517
6/6/2017,6:00:00,14.421
6/6/2017,7:00:00,14.23
6/6/2017,8:00:00,14.038
6/6/2017,9:00:00,14.23
6/6/2017,10:00:00,14.517
6/6/2017,11:00:00,14.421
6/6/2017,12:00:00,14.613
6/6/2017,13:00:00,15.569
6/6/2017,14:00:00,15.76
6/6/2017,15:00:00,16.427
6/6/2017,16:00:00,16.046
6/6/2017,17:00:00,16.332
6/6/2017,18:00:00,16.332
6/6/2017,19:00:00,16.332
6/6/2017,20:00:00,16.046
6/6/2017,21:00:00,15.76
6/6/2017,22:00:00,15.473
6/6/2017,23:00:00,15.187
6/7/2017,0:00:00,14.9
6/7/2017,1:00:00,14.709
6/7/2017,2:00:00,14.325
6/7/2017,3:00:00,14.134
6/7/2017,4:00:00,13.942
6/7/2017,5:00:00,13.75
6/7/2017,6:00:00,13.75
6/7/2017,7:00:00,13.75
6/7/2017,8:00:00,13.75
6/7/2017,9:00:00,13.942
6/7/2017,10:00:00,14.134
6/7/2017,11:00:00,14.325
6/7/2017,12:00:00,14.421
6/7/2017,13:00:00,14.804
6/7/2017,14:00:00,14.709
6/7/2017,15:00:00,14.709
6/7/2017,16:00:00,15.282
6/7/2017,17:00:00,15.378
6/7/2017,18:00:00,15.187
6/7/2017,19:00:00,15.187
6/7/2017,20:00:00,15.091
6/7/2017,21:00:00,14.996
6/7/2017,22:00:00,14.9
6/7/2017,23:00:00,14.804
6/8/2017,0:00:00,14.709
6/8/2017,1:00:00,14.613
6/8/2017,2:00:00,14.517
6/8/2017,3:00:00,14.421
6/8/2017,4:00:00,14.325
6/8/2017,5:00:00,14.325
6/8/2017,6:00:00,14.23
6/8/2017,7:00:00,14.23
6/8/2017,8:00:00,14.325
6/8/2017,9:00:00,14.613
6/8/2017,10:00:00,14.709
6/8/2017,11:00:00,15.282
6/8/2017,12:00:00,15.664
6/8/2017,13:00:00,16.237
6/8/2017,14:00:00,16.523
6/8/2017,15:00:00,17.57
6/8/2017,16:00:00,17.284
6/8/2017,17:00:00,17.284
6/8/2017,18:00:00,17.475
6/8/2017,19:00:00,17.475
6/8/2017,20:00:00,17.379
6/8/2017,21:00:00,17.379
6/8/2017,22:00:00,17.284
6/8/2017,23:00:00,17.094
6/9/2017,0:00:00,16.903
6/9/2017,1:00:00,16.808
6/9/2017,2:00:00,16.713
6/9/2017,3:00:00,16.523
6/9/2017,4:00:00,16.332
6/9/2017,5:00:00,16.141
6/9/2017,6:00:00,16.237
6/9/2017,7:00:00,16.427
6/9/2017,8:00:00,16.713
6/9/2017,9:00:00,16.999
6/9/2017,10:00:00,17.855
6/9/2017,11:00:00,18.806
6/9/2017,12:00:00,19.567
6/9/2017,13:00:00,20.043
6/9/2017,14:00:00,20.329
6/9/2017,15:00:00,19.567
6/9/2017,16:00:00,19.282
6/9/2017,17:00:00,18.806
6/9/2017,18:00:00,18.521
6/9/2017,19:00:00,18.426
6/9/2017,20:00:00,18.236
6/9/2017,21:00:00,18.045
6/9/2017,22:00:00,17.855
6/9/2017,23:00:00,17.665
6/10/2017,0:00:00,17.475
6/10/2017,1:00:00,17.189
6/10/2017,2:00:00,16.808
6/10/2017,3:00:00,16.523
6/10/2017,4:00:00,16.427
6/10/2017,5:00:00,16.237
6/10/2017,6:00:00,16.141
6/10/2017,7:00:00,16.046
6/10/2017,8:00:00,15.855
6/10/2017,9:00:00,15.664
6/10/2017,10:00:00,15.569
6/10/2017,11:00:00,15.473
6/10/2017,12:00:00,15.569
6/10/2017,13:00:00,15.473
6/10/2017,14:00:00,15.664
6/10/2017,15:00:00,15.569
6/10/2017,16:00:00,15.569
6/10/2017,17:00:00,15.951
6/10/2017,18:00:00,15.664
6/10/2017,19:00:00,15.569
6/10/2017,20:00:00,15.187
6/10/2017,21:00:00,14.9
6/10/2017,22:00:00,14.804
6/10/2017,23:00:00,14.709
6/11/2017,0:00:00,14.421
6/11/2017,1:00:00,14.325
6/11/2017,2:00:00,14.23
6/11/2017,3:00:00,14.134
6/11/2017,4:00:00,13.942
6/11/2017,5:00:00,13.75
6/11/2017,6:00:00,13.558
6/11/2017,7:00:00,13.558
6/11/2017,8:00:00,13.461
6/11/2017,9:00:00,13.365
6/11/2017,10:00:00,13.365
6/11/2017,11:00:00,13.365
6/11/2017,12:00:00,13.654
6/11/2017,13:00:00,13.461
6/11/2017,14:00:00,13.654
6/11/2017,15:00:00,13.75
6/11/2017,16:00:00,13.75
6/11/2017,17:00:00,13.846
6/11/2017,18:00:00,13.846
6/11/2017,19:00:00,13.75
6/11/2017,20:00:00,13.75
6/11/2017,21:00:00,13.558
6/11/2017,22:00:00,13.461
6/11/2017,23:00:00,13.269
6/12/2017,0:00:00,13.173
6/12/2017,1:00:00,13.076
6/12/2017,2:00:00,12.883
6/12/2017,3:00:00,12.787
6/12/2017,4:00:00,12.594
6/12/2017,5:00:00,12.594
6/12/2017,6:00:00,12.497
6/12/2017,7:00:00,12.497
6/12/2017,8:00:00,12.497
6/12/2017,9:00:00,12.594
6/12/2017,10:00:00,12.594
6/12/2017,11:00:00,13.076
6/12/2017,12:00:00,13.365
6/12/2017,13:00:00,13.558
6/12/2017,14:00:00,13.942
6/12/2017,15:00:00,13.942
6/12/2017,16:00:00,16.046
6/12/2017,17:00:00,14.709
6/12/2017,18:00:00,14.613
6/12/2017,19:00:00,14.517
6/12/2017,20:00:00,14.517
6/12/2017,21:00:00,14.325
6/12/2017,22:00:00,14.23
6/12/2017,23:00:00,14.038
6/13/2017,0:00:00,13.846
6/13/2017,1:00:00,13.75
6/13/2017,2:00:00,13.558
6/13/2017,3:00:00,13.461
6/13/2017,4:00:00,13.365
6/13/2017,5:00:00,13.269
6/13/2017,6:00:00,13.173
6/13/2017,7:00:00,13.365
6/13/2017,8:00:00,13.654
6/13/2017,9:00:00,13.942
6/13/2017,10:00:00,14.613
6/13/2017,11:00:00,15.187
6/13/2017,12:00:00,15.187
6/13/2017,13:00:00,15.187
6/13/2017,14:00:00,16.523
6/13/2017,15:00:00,16.046
6/13/2017,16:00:00,16.713
6/13/2017,17:00:00,16.237
6/13/2017,18:00:00,16.237
6/13/2017,19:00:00,16.237
6/13/2017,20:00:00,16.046
6/13/2017,21:00:00,15.76
6/13/2017,22:00:00,15.569
6/13/2017,23:00:00,15.282
6/14/2017,0:00:00,15.091
6/14/2017,1:00:00,14.9
6/14/2017,2:00:00,14.804
6/14/2017,3:00:00,14.517
6/14/2017,4:00:00,14.421
6/14/2017,5:00:00,14.134
6/14/2017,6:00:00,14.134
6/14/2017,7:00:00,14.325
6/14/2017,8:00:00,14.804
6/14/2017,9:00:00,15.378
6/14/2017,10:00:00,15.76
6/14/2017,11:00:00,16.618
6/14/2017,12:00:00,17.475
6/14/2017,13:00:00,18.711
6/14/2017,14:00:00,19.377
6/14/2017,15:00:00,20.234
6/14/2017,16:00:00,18.996
6/14/2017,17:00:00,20.424
6/14/2017,18:00:00,20.329
6/14/2017,19:00:00,20.043
6/14/2017,20:00:00,19.472
6/14/2017,21:00:00,18.996
6/14/2017,22:00:00,18.616
6/14/2017,23:00:00,18.14
6/15/2017,0:00:00,17.76
6/15/2017,1:00:00,17.379
6/15/2017,2:00:00,17.189
6/15/2017,3:00:00,16.903
6/15/2017,4:00:00,16.618
6/15/2017,5:00:00,16.427
6/15/2017,6:00:00,16.237
6/15/2017,7:00:00,16.427
6/15/2017,8:00:00,16.713
6/15/2017,9:00:00,17.379
6/15/2017,10:00:00,17.855
6/15/2017,11:00:00,18.806
6/15/2017,12:00:00,19.662
6/15/2017,13:00:00,20.329
6/15/2017,14:00:00,20.424
6/15/2017,15:00:00,20.805
6/15/2017,16:00:00,21.282
6/15/2017,17:00:00,20.615
6/15/2017,18:00:00,20.234
6/15/2017,19:00:00,19.853
6/15/2017,20:00:00,19.472
6/15/2017,21:00:00,18.996
6/15/2017,22:00:00,18.521
6/15/2017,23:00:00,18.14
6/16/2017,0:00:00,17.855
6/16/2017,1:00:00,17.665
6/16/2017,2:00:00,17.475
6/16/2017,3:00:00,17.284
6/16/2017,4:00:00,16.999
6/16/2017,5:00:00,16.808
6/16/2017,6:00:00,16.713
6/16/2017,7:00:00,16.618
6/16/2017,8:00:00,16.999
6/16/2017,9:00:00,17.475
6/16/2017,10:00:00,17.284
6/16/2017,11:00:00,17.189
6/16/2017,12:00:00,17.665
6/16/2017,13:00:00,18.14
6/16/2017,14:00:00,18.045
6/16/2017,15:00:00,18.045
6/16/2017,16:00:00,18.331
6/16/2017,17:00:00,18.14
6/16/2017,18:00:00,17.855
6/16/2017,19:00:00,17.57
6/16/2017,20:00:00,17.284
6/16/2017,21:00:00,17.094
6/16/2017,22:00:00,16.808
6/16/2017,23:00:00,16.618
6/17/2017,0:00:00,16.427
6/17/2017,1:00:00,16.141
6/17/2017,2:00:00,15.951
6/17/2017,3:00:00,15.76
6/17/2017,4:00:00,15.664
6/17/2017,5:00:00,15.473
6/17/2017,6:00:00,15.282
6/17/2017,7:00:00,15.187
6/17/2017,8:00:00,15.282
6/17/2017,9:00:00,15.091
6/17/2017,10:00:00,15.091
6/17/2017,11:00:00,15.187
6/17/2017,12:00:00,15.187
6/17/2017,13:00:00,15.76
6/17/2017,14:00:00,16.332
6/17/2017,15:00:00,16.903
6/17/2017,16:00:00,17.475
6/17/2017,17:00:00,17.76
6/17/2017,18:00:00,17.57
6/17/2017,19:00:00,17.379
6/17/2017,20:00:00,17.189
6/17/2017,21:00:00,16.903
6/17/2017,22:00:00,16.618
6/17/2017,23:00:00,16.237
6/18/2017,0:00:00,15.951
6/18/2017,1:00:00,15.855
6/18/2017,2:00:00,15.664
6/18/2017,3:00:00,15.473
6/18/2017,4:00:00,15.282
6/18/2017,5:00:00,14.996
6/18/2017,6:00:00,14.9
6/18/2017,7:00:00,15.187
6/18/2017,8:00:00,15.664
6/18/2017,9:00:00,15.951
6/18/2017,10:00:00,16.237
6/18/2017,11:00:00,17.379
6/18/2017,12:00:00,18.236
6/18/2017,13:00:00,19.187
6/18/2017,14:00:00,19.853
6/18/2017,15:00:00,20.234
6/18/2017,16:00:00,20.71
6/18/2017,17:00:00,20.805
6/18/2017,18:00:00,20.424
6/18/2017,19:00:00,20.234
6/18/2017,20:00:00,19.948
6/18/2017,21:00:00,19.662
6/18/2017,22:00:00,19.377
6/18/2017,23:00:00,18.996
6/19/2017,0:00:00,18.711
6/19/2017,1:00:00,18.331
6/19/2017,2:00:00,17.95
6/19/2017,3:00:00,17.57
6/19/2017,4:00:00,17.379
6/19/2017,5:00:00,17.189
6/19/2017,6:00:00,17.094
6/19/2017,7:00:00,16.903
6/19/2017,8:00:00,16.808
6/19/2017,9:00:00,16.808
6/19/2017,10:00:00,17.189
6/19/2017,11:00:00,17.475
6/19/2017,12:00:00,18.14
6/19/2017,13:00:00,18.616
6/19/2017,14:00:00,18.331
6/19/2017,15:00:00,17.76
6/19/2017,16:00:00,17.665
6/19/2017,17:00:00,17.665
6/19/2017,18:00:00,17.57
6/19/2017,19:00:00,17.284
6/19/2017,20:00:00,16.903
6/19/2017,21:00:00,16.618
6/19/2017,22:00:00,16.523
6/19/2017,23:00:00,16.237
6/20/2017,0:00:00,16.046
6/20/2017,1:00:00,15.951
6/20/2017,2:00:00,15.76
6/20/2017,3:00:00,15.664
6/20/2017,4:00:00,15.473
6/20/2017,5:00:00,15.282
6/20/2017,6:00:00,15.282
6/20/2017,7:00:00,15.187
6/20/2017,8:00:00,15.282
6/20/2017,9:00:00,15.664
6/20/2017,10:00:00,15.76
6/20/2017,11:00:00,16.046
6/20/2017,12:00:00,16.141
6/20/2017,13:00:00,16.903
6/20/2017,14:00:00,16.332
6/20/2017,15:00:00,16.141
6/20/2017,16:00:00,16.332
6/20/2017,17:00:00,16.523
