"ï»¿""Plot Title: 10166442""",,
"Date Time, GMT-08:00","Date Time, GMT-08:00","Temp, Â°C (LGR S/N: 10166442, SEN S/N: 10166442)"
7/30/2012,15:30,15.473
7/30/2012,16:00,15.473
7/30/2012,16:30,15.473
7/30/2012,17:00,15.473
7/30/2012,17:30,15.473
7/30/2012,18:00,15.569
7/30/2012,18:30,15.569
7/30/2012,19:00,15.569
7/30/2012,19:30,15.473
7/30/2012,20:00,15.473
7/30/2012,20:30,15.473
7/30/2012,21:00,15.378
7/30/2012,21:30,15.378
7/30/2012,22:00,15.282
7/30/2012,22:30,15.187
7/30/2012,23:00,15.187
7/30/2012,23:30,15.091
7/31/2012,0:00,14.996
7/31/2012,0:30,14.996
7/31/2012,1:00,14.9
7/31/2012,1:30,14.9
7/31/2012,2:00,14.804
7/31/2012,2:30,14.613
7/31/2012,3:00,14.613
7/31/2012,3:30,14.517
7/31/2012,4:00,14.421
7/31/2012,4:30,14.325
7/31/2012,5:00,14.23
7/31/2012,5:30,14.23
7/31/2012,6:00,14.038
7/31/2012,6:30,14.038
7/31/2012,7:00,13.942
7/31/2012,7:30,13.846
7/31/2012,8:00,13.846
7/31/2012,8:30,13.942
7/31/2012,9:00,14.038
7/31/2012,9:30,14.23
7/31/2012,10:00,14.325
7/31/2012,10:30,14.517
7/31/2012,11:00,14.709
7/31/2012,11:30,14.9
7/31/2012,12:00,14.9
7/31/2012,12:30,15.091
7/31/2012,13:00,15.187
7/31/2012,13:30,15.282
7/31/2012,14:00,15.378
7/31/2012,14:30,15.473
7/31/2012,15:00,15.473
7/31/2012,15:30,15.664
7/31/2012,16:00,15.76
7/31/2012,16:30,15.951
7/31/2012,17:00,16.046
7/31/2012,17:30,16.141
7/31/2012,18:00,16.046
7/31/2012,18:30,16.141
7/31/2012,19:00,16.237
7/31/2012,19:30,16.237
7/31/2012,20:00,16.237
7/31/2012,20:30,16.237
7/31/2012,21:00,16.237
7/31/2012,21:30,16.237
7/31/2012,22:00,16.237
7/31/2012,22:30,16.237
7/31/2012,23:00,16.618
7/31/2012,23:30,16.523
8/1/2012,0:00,16.523
8/1/2012,0:30,16.427
8/1/2012,1:00,16.332
8/1/2012,1:30,16.237
8/1/2012,2:00,16.141
8/1/2012,2:30,16.046
8/1/2012,3:00,15.951
8/1/2012,3:30,15.951
8/1/2012,4:00,15.855
8/1/2012,4:30,15.76
8/1/2012,5:00,15.664
8/1/2012,5:30,15.664
8/1/2012,6:00,15.569
8/1/2012,6:30,15.569
8/1/2012,7:00,15.473
8/1/2012,7:30,15.473
8/1/2012,8:00,15.473
8/1/2012,8:30,15.378
8/1/2012,9:00,15.378
8/1/2012,9:30,15.378
8/1/2012,10:00,15.378
8/1/2012,10:30,15.378
8/1/2012,11:00,15.378
8/1/2012,11:30,15.378
8/1/2012,12:00,15.473
8/1/2012,12:30,15.473
8/1/2012,13:00,15.569
8/1/2012,13:30,15.664
8/1/2012,14:00,15.664
8/1/2012,14:30,15.76
8/1/2012,15:00,15.76
8/1/2012,15:30,15.76
8/1/2012,16:00,15.855
8/1/2012,16:30,15.855
8/1/2012,17:00,15.855
8/1/2012,17:30,15.855
8/1/2012,18:00,15.76
8/1/2012,18:30,15.76
8/1/2012,19:00,15.664
8/1/2012,19:30,15.569
8/1/2012,20:00,15.569
8/1/2012,20:30,15.473
8/1/2012,21:00,15.378
8/1/2012,21:30,15.282
8/1/2012,22:00,15.187
8/1/2012,22:30,15.091
8/1/2012,23:00,15.091
8/1/2012,23:30,14.996
8/2/2012,0:00,14.9
8/2/2012,0:30,14.9
8/2/2012,1:00,14.9
8/2/2012,1:30,14.804
8/2/2012,2:00,14.804
8/2/2012,2:30,14.709
8/2/2012,3:00,14.709
8/2/2012,3:30,14.613
8/2/2012,4:00,14.517
8/2/2012,4:30,14.421
8/2/2012,5:00,14.517
8/2/2012,5:30,14.421
8/2/2012,6:00,14.421
8/2/2012,6:30,14.325
8/2/2012,7:00,14.325
8/2/2012,7:30,14.325
8/2/2012,8:00,14.23
8/2/2012,8:30,14.23
8/2/2012,9:00,14.23
8/2/2012,9:30,14.23
8/2/2012,10:00,14.23
8/2/2012,10:30,14.23
8/2/2012,11:00,14.134
8/2/2012,11:30,14.134
8/2/2012,12:00,14.134
8/2/2012,12:30,14.134
8/2/2012,13:00,14.134
8/2/2012,13:30,14.134
8/2/2012,14:00,14.134
8/2/2012,14:30,14.134
8/2/2012,15:00,13.846
8/2/2012,15:30,13.846
8/2/2012,16:00,13.846
8/2/2012,16:30,13.942
8/2/2012,17:00,13.942
8/2/2012,17:30,13.75
8/2/2012,18:00,13.558
8/2/2012,18:30,13.461
8/2/2012,19:00,13.269
8/2/2012,19:30,13.173
8/2/2012,20:00,13.269
8/2/2012,20:30,13.269
8/2/2012,21:00,13.173
8/2/2012,21:30,12.98
8/2/2012,22:00,12.98
8/2/2012,22:30,12.883
8/2/2012,23:00,12.883
8/2/2012,23:30,12.883
8/3/2012,0:00,12.883
8/3/2012,0:30,12.883
8/3/2012,1:00,12.787
8/3/2012,1:30,12.787
8/3/2012,2:00,12.787
8/3/2012,2:30,12.69
8/3/2012,3:00,12.69
8/3/2012,3:30,12.69
8/3/2012,4:00,12.787
8/3/2012,4:30,12.787
8/3/2012,5:00,12.787
8/3/2012,5:30,12.69
8/3/2012,6:00,12.69
8/3/2012,6:30,12.69
8/3/2012,7:00,12.69
8/3/2012,7:30,12.69
8/3/2012,8:00,12.594
8/3/2012,8:30,12.594
8/3/2012,9:00,12.594
8/3/2012,9:30,12.594
8/3/2012,10:00,12.69
8/3/2012,10:30,12.883
8/3/2012,11:00,12.69
8/3/2012,11:30,12.594
8/3/2012,12:00,12.69
8/3/2012,12:30,12.883
8/3/2012,13:00,12.98
8/3/2012,13:30,13.076
8/3/2012,14:00,13.173
8/3/2012,14:30,13.269
8/3/2012,15:00,13.269
8/3/2012,15:30,13.365
8/3/2012,16:00,13.461
8/3/2012,16:30,13.461
8/3/2012,17:00,13.558
8/3/2012,17:30,13.654
8/3/2012,18:00,13.75
8/3/2012,18:30,13.846
8/3/2012,19:00,13.942
8/3/2012,19:30,13.942
8/3/2012,20:00,13.942
8/3/2012,20:30,13.942
8/3/2012,21:00,13.942
8/3/2012,21:30,13.942
8/3/2012,22:00,13.942
8/3/2012,22:30,13.942
8/3/2012,23:00,13.942
8/3/2012,23:30,13.942
8/4/2012,0:00,14.134
8/4/2012,0:30,14.134
8/4/2012,1:00,14.038
8/4/2012,1:30,13.942
8/4/2012,2:00,13.942
8/4/2012,2:30,13.846
8/4/2012,3:00,13.75
8/4/2012,3:30,13.654
8/4/2012,4:00,13.558
8/4/2012,4:30,13.461
8/4/2012,5:00,13.365
8/4/2012,5:30,13.365
8/4/2012,6:00,13.173
8/4/2012,6:30,13.173
8/4/2012,7:00,13.076
8/4/2012,7:30,12.98
8/4/2012,8:00,13.076
8/4/2012,8:30,12.98
8/4/2012,9:00,12.98
8/4/2012,9:30,13.076
8/4/2012,10:00,13.076
8/4/2012,10:30,13.076
8/4/2012,11:00,13.173
8/4/2012,11:30,13.269
8/4/2012,12:00,13.365
8/4/2012,12:30,13.461
8/4/2012,13:00,13.558
8/4/2012,13:30,13.558
8/4/2012,14:00,13.654
8/4/2012,14:30,13.75
8/4/2012,15:00,13.75
8/4/2012,15:30,13.75
8/4/2012,16:00,13.846
8/4/2012,16:30,13.942
8/4/2012,17:00,14.038
8/4/2012,17:30,14.134
8/4/2012,18:00,14.134
8/4/2012,18:30,14.134
8/4/2012,19:00,14.134
8/4/2012,19:30,14.134
8/4/2012,20:00,14.134
8/4/2012,20:30,14.038
8/4/2012,21:00,14.038
8/4/2012,21:30,14.038
8/4/2012,22:00,13.942
8/4/2012,22:30,13.942
8/4/2012,23:00,13.846
8/4/2012,23:30,13.846
8/5/2012,0:00,13.75
8/5/2012,0:30,13.654
8/5/2012,1:00,13.654
8/5/2012,1:30,13.461
8/5/2012,2:00,13.461
8/5/2012,2:30,13.365
8/5/2012,3:00,13.365
8/5/2012,3:30,13.365
8/5/2012,4:00,13.269
8/5/2012,4:30,13.269
8/5/2012,5:00,13.269
8/5/2012,5:30,13.173
8/5/2012,6:00,13.076
8/5/2012,6:30,13.076
