Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10316631, SEN S/N: 10316631)"
6/7/2016,12:00:00,13.558
6/7/2016,13:00:00,13.461
6/7/2016,14:00:00,15.855
6/7/2016,15:00:00,17.665
6/7/2016,16:00:00,18.236
6/7/2016,17:00:00,18.045
6/7/2016,18:00:00,17.95
6/7/2016,19:00:00,17.379
6/7/2016,20:00:00,17.189
6/7/2016,21:00:00,16.999
6/7/2016,22:00:00,16.808
6/7/2016,23:00:00,16.713
6/8/2016,0:00:00,16.523
6/8/2016,1:00:00,16.332
6/8/2016,2:00:00,16.237
6/8/2016,3:00:00,16.046
6/8/2016,4:00:00,15.951
6/8/2016,5:00:00,15.76
6/8/2016,6:00:00,15.569
6/8/2016,7:00:00,15.569
6/8/2016,8:00:00,15.664
6/8/2016,9:00:00,15.951
6/8/2016,10:00:00,16.427
6/8/2016,11:00:00,16.808
6/8/2016,12:00:00,18.045
6/8/2016,13:00:00,19.187
6/8/2016,14:00:00,20.329
6/8/2016,15:00:00,21.187
6/8/2016,16:00:00,21.378
6/8/2016,17:00:00,20.043
6/8/2016,18:00:00,20.043
6/8/2016,19:00:00,19.853
6/8/2016,20:00:00,19.853
6/8/2016,21:00:00,19.758
6/8/2016,22:00:00,19.472
6/8/2016,23:00:00,19.092
6/9/2016,0:00:00,18.806
6/9/2016,1:00:00,18.521
6/9/2016,2:00:00,18.236
6/9/2016,3:00:00,17.95
6/9/2016,4:00:00,17.76
6/9/2016,5:00:00,17.475
6/9/2016,6:00:00,17.284
6/9/2016,7:00:00,17.189
6/9/2016,8:00:00,17.094
6/9/2016,9:00:00,17.284
6/9/2016,10:00:00,17.665
6/9/2016,11:00:00,18.331
6/9/2016,12:00:00,18.901
6/9/2016,13:00:00,20.519
6/9/2016,14:00:00,21.282
6/9/2016,15:00:00,22.333
6/9/2016,16:00:00,22.908
6/9/2016,17:00:00,21.664
6/9/2016,18:00:00,21.378
6/9/2016,19:00:00,20.901
6/9/2016,20:00:00,20.519
6/9/2016,21:00:00,20.234
6/9/2016,22:00:00,19.948
6/9/2016,23:00:00,19.662
6/10/2016,0:00:00,19.377
6/10/2016,1:00:00,19.092
6/10/2016,2:00:00,18.806
6/10/2016,3:00:00,18.711
6/10/2016,4:00:00,18.521
6/10/2016,5:00:00,18.331
6/10/2016,6:00:00,18.236
6/10/2016,7:00:00,18.14
6/10/2016,8:00:00,18.14
6/10/2016,9:00:00,18.14
6/10/2016,10:00:00,18.236
6/10/2016,11:00:00,18.521
6/10/2016,12:00:00,18.616
6/10/2016,13:00:00,18.616
6/10/2016,14:00:00,18.711
6/10/2016,15:00:00,18.521
6/10/2016,16:00:00,18.521
6/10/2016,17:00:00,18.616
6/10/2016,18:00:00,18.616
6/10/2016,19:00:00,18.616
6/10/2016,20:00:00,18.521
6/10/2016,21:00:00,18.426
6/10/2016,22:00:00,18.331
6/10/2016,23:00:00,18.236
6/11/2016,0:00:00,18.14
6/11/2016,1:00:00,18.045
6/11/2016,2:00:00,17.95
6/11/2016,3:00:00,17.76
6/11/2016,4:00:00,17.665
6/11/2016,5:00:00,17.57
6/11/2016,6:00:00,17.475
6/11/2016,7:00:00,17.379
6/11/2016,8:00:00,17.379
6/11/2016,9:00:00,17.475
6/11/2016,10:00:00,17.475
6/11/2016,11:00:00,17.475
6/11/2016,12:00:00,17.57
6/11/2016,13:00:00,17.665
6/11/2016,14:00:00,17.76
6/11/2016,15:00:00,17.95
6/11/2016,16:00:00,17.855
6/11/2016,17:00:00,18.045
6/11/2016,18:00:00,17.855
6/11/2016,19:00:00,17.665
6/11/2016,20:00:00,17.57
6/11/2016,21:00:00,17.475
6/11/2016,22:00:00,17.379
6/11/2016,23:00:00,17.284
6/12/2016,0:00:00,17.189
6/12/2016,1:00:00,17.094
6/12/2016,2:00:00,16.999
6/12/2016,3:00:00,16.808
6/12/2016,4:00:00,16.713
6/12/2016,5:00:00,16.618
6/12/2016,6:00:00,16.618
6/12/2016,7:00:00,16.618
6/12/2016,8:00:00,16.713
6/12/2016,9:00:00,16.903
6/12/2016,10:00:00,17.094
6/12/2016,11:00:00,17.284
6/12/2016,12:00:00,17.475
6/12/2016,13:00:00,18.045
6/12/2016,14:00:00,18.14
6/12/2016,15:00:00,18.426
6/12/2016,16:00:00,18.901
6/12/2016,17:00:00,18.331
6/12/2016,18:00:00,18.14
6/12/2016,19:00:00,18.236
6/12/2016,20:00:00,18.14
6/12/2016,21:00:00,17.95
6/12/2016,22:00:00,17.76
6/12/2016,23:00:00,17.57
6/13/2016,0:00:00,17.379
6/13/2016,1:00:00,17.189
6/13/2016,2:00:00,16.999
6/13/2016,3:00:00,16.903
6/13/2016,4:00:00,16.713
6/13/2016,5:00:00,16.523
6/13/2016,6:00:00,16.427
6/13/2016,7:00:00,16.427
6/13/2016,8:00:00,16.523
6/13/2016,9:00:00,16.618
6/13/2016,10:00:00,16.903
6/13/2016,11:00:00,17.284
6/13/2016,12:00:00,18.236
6/13/2016,13:00:00,18.806
6/13/2016,14:00:00,18.426
6/13/2016,15:00:00,18.616
6/13/2016,16:00:00,18.426
6/13/2016,17:00:00,18.331
6/13/2016,18:00:00,18.331
6/13/2016,19:00:00,18.14
6/13/2016,20:00:00,18.045
6/13/2016,21:00:00,17.855
6/13/2016,22:00:00,17.665
6/13/2016,23:00:00,17.475
6/14/2016,0:00:00,17.284
6/14/2016,1:00:00,17.094
6/14/2016,2:00:00,16.903
6/14/2016,3:00:00,16.808
6/14/2016,4:00:00,16.618
6/14/2016,5:00:00,16.523
6/14/2016,6:00:00,16.332
6/14/2016,7:00:00,16.237
