Plot Title: Experiment,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10402255, SEN S/N: 10402255)"
10/04/2016,12:00,8.082
10/04/2016,13:00,9.571
10/04/2016,14:00,10.259
10/04/2016,15:00,10.161
10/04/2016,16:00,10.259
10/04/2016,17:00,9.669
10/04/2016,18:00,8.779
10/04/2016,19:00,7.079
10/04/2016,20:00,6.064
10/04/2016,21:00,5.962
10/04/2016,22:00,5.86
10/04/2016,23:00,5.757
10/05/2016,00:00,5.141
10/05/2016,01:00,4.934
10/05/2016,02:00,4.934
10/05/2016,03:00,5.141
10/05/2016,04:00,4.727
10/05/2016,05:00,3.893
10/05/2016,06:00,3.683
10/05/2016,07:00,3.788
10/05/2016,08:00,3.578
10/05/2016,09:00,3.998
10/05/2016,10:00,5.552
10/05/2016,11:00,7.179
10/05/2016,12:00,8.779
10/05/2016,13:00,10.063
10/05/2016,14:00,10.748
10/05/2016,15:00,10.748
10/05/2016,16:00,10.553
10/05/2016,17:00,9.571
10/05/2016,18:00,7.582
10/05/2016,19:00,6.978
10/05/2016,20:00,5.757
10/05/2016,21:00,4.831
10/05/2016,22:00,4.415
10/05/2016,23:00,3.788
10/06/2016,00:00,3.049
10/06/2016,01:00,2.943
10/06/2016,02:00,2.303
10/06/2016,03:00,2.943
10/06/2016,04:00,2.837
10/06/2016,05:00,2.73
10/06/2016,06:00,1.656
10/06/2016,07:00,1.872
10/06/2016,08:00,1.548
10/06/2016,09:00,1.872
10/06/2016,10:00,3.367
10/06/2016,11:00,6.166
10/06/2016,12:00,8.879
10/06/2016,13:00,11.139
10/06/2016,14:00,11.625
10/06/2016,15:00,12.013
10/06/2016,16:00,11.722
10/06/2016,17:00,10.651
10/06/2016,18:00,8.481
10/06/2016,19:00,6.37
10/06/2016,20:00,4.934
10/06/2016,21:00,3.998
10/06/2016,22:00,3.261
10/06/2016,23:00,2.73
10/07/2016,00:00,2.41
10/07/2016,01:00,1.221
10/07/2016,02:00,1.439
10/07/2016,03:00,0.893
10/07/2016,04:00,0.121
