Plot Title: 10201436,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10201436, SEN S/N: 10201436)"
06/11/2015,17:30,10.161
06/11/2015,18:00,10.259
06/11/2015,18:30,10.063
06/11/2015,19:00,10.063
06/11/2015,19:30,11.139
06/11/2015,20:00,12.11
06/11/2015,20:30,10.846
06/11/2015,21:00,9.275
06/11/2015,21:30,8.382
06/11/2015,22:00,7.882
06/11/2015,22:30,7.079
06/11/2015,23:00,7.28
06/11/2015,23:30,7.28
06/12/2015,00:00,7.481
06/12/2015,00:30,7.582
06/12/2015,01:00,7.582
06/12/2015,01:30,7.682
06/12/2015,02:00,7.582
06/12/2015,02:30,7.582
06/12/2015,03:00,7.481
06/12/2015,03:30,7.179
06/12/2015,04:00,7.079
06/12/2015,04:30,7.079
06/12/2015,05:00,7.381
06/12/2015,05:30,7.582
06/12/2015,06:00,7.882
06/12/2015,06:30,8.182
06/12/2015,07:00,8.68
06/12/2015,07:30,8.879
06/12/2015,08:00,9.176
06/12/2015,08:30,9.571
06/12/2015,09:00,9.866
06/12/2015,09:30,10.357
06/12/2015,10:00,10.651
06/12/2015,10:30,10.357
06/12/2015,11:00,10.161
06/12/2015,11:30,10.651
06/12/2015,12:00,10.651
06/12/2015,12:30,10.357
06/12/2015,13:00,10.553
06/12/2015,13:30,10.357
06/12/2015,14:00,10.259
06/12/2015,14:30,10.455
06/12/2015,15:00,10.846
06/12/2015,15:30,11.334
06/12/2015,16:00,11.334
06/12/2015,16:30,10.748
06/12/2015,17:00,10.553
06/12/2015,17:30,10.944
06/12/2015,18:00,10.944
06/12/2015,18:30,10.748
06/12/2015,19:00,11.334
06/12/2015,19:30,11.722
06/12/2015,20:00,11.236
06/12/2015,20:30,10.846
06/12/2015,21:00,10.357
06/12/2015,21:30,9.866
06/12/2015,22:00,9.472
06/12/2015,22:30,8.978
06/12/2015,23:00,8.481
06/12/2015,23:30,7.481
06/13/2015,00:00,6.674
06/13/2015,00:30,6.573
06/13/2015,01:00,6.37
06/13/2015,01:30,6.064
06/13/2015,02:00,5.655
06/13/2015,02:30,5.962
06/13/2015,03:00,5.757
06/13/2015,03:30,5.141
06/13/2015,04:00,5.757
06/13/2015,04:30,5.86
06/13/2015,05:00,5.86
06/13/2015,05:30,6.37
06/13/2015,06:00,7.381
06/13/2015,06:30,8.282
06/13/2015,07:00,8.978
06/13/2015,07:30,9.275
06/13/2015,08:00,10.161
06/13/2015,08:30,10.455
06/13/2015,09:00,11.139
06/13/2015,09:30,12.497
06/13/2015,10:00,13.173
06/13/2015,10:30,15.282
06/13/2015,11:00,17.379
06/13/2015,11:30,18.996
06/13/2015,12:00,20.329
06/13/2015,12:30,20.805
06/13/2015,13:00,20.71
06/13/2015,13:30,20.901
06/13/2015,14:00,21.76
06/13/2015,14:30,21.569
06/13/2015,15:00,21.378
06/13/2015,15:30,22.046
06/13/2015,16:00,22.046
06/13/2015,16:30,22.429
06/13/2015,17:00,22.621
06/13/2015,17:30,22.717
06/13/2015,18:00,22.333
06/13/2015,18:30,21.569
06/13/2015,19:00,21.187
06/13/2015,19:30,21.378
06/13/2015,20:00,21.378
06/13/2015,20:30,20.901
06/13/2015,21:00,20.234
06/13/2015,21:30,18.806
06/13/2015,22:00,16.713
06/13/2015,22:30,14.9
06/13/2015,23:00,13.75
06/13/2015,23:30,12.11
06/14/2015,00:00,13.942
06/14/2015,00:30,15.378
06/14/2015,01:00,13.173
06/14/2015,01:30,15.473
06/14/2015,02:00,17.95
06/14/2015,02:30,18.045
06/14/2015,03:00,18.901
06/14/2015,03:30,19.472
06/14/2015,04:00,18.806
06/14/2015,04:30,17.475
06/14/2015,05:00,20.424
06/14/2015,05:30,20.329
06/14/2015,06:00,18.996
06/14/2015,06:30,20.901
06/14/2015,07:00,22.142
06/14/2015,07:30,23.196
06/14/2015,08:00,22.525
06/14/2015,08:30,22.812
06/14/2015,09:00,23.677
06/14/2015,09:30,23.677
06/14/2015,10:00,23.484
06/14/2015,10:30,23.869
06/14/2015,11:00,24.448
06/14/2015,11:30,24.641
06/14/2015,12:00,25.125
06/14/2015,12:30,24.545
06/14/2015,13:00,24.931
06/14/2015,13:30,25.028
06/14/2015,14:00,25.125
06/14/2015,14:30,25.319
06/14/2015,15:00,25.222
06/14/2015,15:30,25.902
06/14/2015,16:00,26.39
06/14/2015,16:30,26.097
06/14/2015,17:00,26.097
06/14/2015,17:30,26.292
06/14/2015,18:00,25.805
06/14/2015,18:30,25.902
06/14/2015,19:00,25.61
06/14/2015,19:30,23.773
06/14/2015,20:00,23.292
06/14/2015,20:30,22.238
06/14/2015,21:00,20.996
06/14/2015,21:30,19.377
06/14/2015,22:00,18.045
06/14/2015,22:30,16.999
06/14/2015,23:00,17.76
06/14/2015,23:30,17.855
06/15/2015,00:00,18.426
06/15/2015,00:30,17.855
06/15/2015,01:00,17.189
06/15/2015,01:30,16.141
06/15/2015,02:00,14.996
06/15/2015,02:30,14.613
06/15/2015,03:00,15.091
06/15/2015,03:30,15.282
06/15/2015,04:00,16.903
06/15/2015,04:30,21.664
06/15/2015,05:00,22.046
06/15/2015,05:30,22.525
06/15/2015,06:00,23.004
06/15/2015,06:30,23.484
06/15/2015,07:00,23.484
06/15/2015,07:30,23.773
06/15/2015,08:00,24.062
06/15/2015,08:30,24.255
06/15/2015,09:00,24.448
06/15/2015,09:30,24.545
06/15/2015,10:00,24.738
06/15/2015,10:30,24.545
06/15/2015,11:00,24.835
06/15/2015,11:30,24.931
06/15/2015,12:00,25.416
06/15/2015,12:30,25.416
06/15/2015,13:00,24.931
06/15/2015,13:30,25.125
06/15/2015,14:00,25.61
06/15/2015,14:30,26.097
06/15/2015,15:00,25.708
06/15/2015,15:30,25.902
06/15/2015,16:00,26.39
06/15/2015,16:30,26.0
06/15/2015,17:00,26.39
06/15/2015,17:30,26.0
06/15/2015,18:00,25.805
06/15/2015,18:30,25.708
06/15/2015,19:00,26.488
06/15/2015,19:30,24.545
06/15/2015,20:00,23.292
