"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-4.34762226004376,0.00274729201537608,4.35028436254605,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-0.848822723839914,2.23190678353104,5.26319427373062,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-4.10312608360889,-0.99125316859263,2.15042723195811,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,2.50151952863537,5.49505394982355,8.50099618068923,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,6.3440364443631,9.35549152712258,12.333024931674,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,10.738913367223,13.7097336849908,16.6699234672709,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,12.022474852783,15.0727259980005,17.9983576307956,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,12.6159181357269,15.6198122403819,18.6356530350496,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,9.83437285754858,12.8277936098334,15.8012960827806,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,1.16426700074338,4.21038538707582,7.28018818405911,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-5.61948327613421,-2.41333548556666,0.797705339540364,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-6.24449414885302,-3.01989030371464,0.158541973057763,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-1.19150209965142,1.942694805561,4.97836265275512,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,1.0173302333745,4.07489448083987,7.08721505631471,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-2.33306585775524,0.811740083597318,3.90620154378168,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.909237949037728,2.12358038000484,5.18596691248862,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,6.61574546285709,9.58725026980956,12.6015125846648,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,13.8739196717307,16.8646858663767,19.8705219919818,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,14.5287312686816,17.6059804792098,20.6756488105571,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,14.0912492791138,17.0483264238746,20.0551675351912,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,11.1472862123416,14.1088844976475,17.1263178036994,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,7.2978668865875,10.2723498299225,13.2113494147013,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-2.33358654234753,0.777625663450471,3.87493523840502,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-5.3545176477944,-2.18062642678945,0.980235013613835,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,2.15991316240124,5.20917651657075,8.25607658197104,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-6.64484905972677,-3.37731849386989,-0.139981846863894,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-1.7448549695148,1.37313101055192,4.4469419634306,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,2.82885048166486,5.83319644618287,8.82687190429406,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,10.2736401591314,13.2619049305288,16.24549912377,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,10.8924193487637,13.8752702831615,16.8495497223872,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,14.1119602570748,17.0645632603634,20.0637745317312,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,13.7784934372519,16.7600235894635,19.8150549799581,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,11.4152932259083,14.4435609211186,17.4437611456768,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,4.61896173606539,7.63833218420842,10.5929004856261,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,1.52626994569539,4.53567162239109,7.54611073281811,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,1.20203922316649,4.23995207400027,7.24332341498347,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,-1.7445310039255,1.36836058525552,4.4424129397627,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,-0.350843835279017,2.67443118085594,5.7498457404902,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,0.121957317187364,3.17607461307129,6.21631537119271,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,3.81666787548049,6.79503054088656,9.76889066845523,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,9.74202967699491,12.7459121198805,15.7292261456806,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,14.589668106913,16.4400190927024,18.2308005664845,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,16.4652282808706,18.3501961455515,20.1783646049592,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,15.8350446875573,17.6568323404739,19.4016257476917,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
2015-09-01,10.5619560331744,12.3409248348019,14.1077624137836,NA,10,NA,NA,12.83,NA,10.47,12.82,8.78
2015-10-01,6.96901302867451,9.96011069002248,12.9070968450215,NA,6.41,NA,NA,NA,NA,6.91,NA,6.09
2015-11-01,-1.4358605797721,1.61784282050688,4.71242673769288,NA,2.16,NA,NA,NA,NA,2.88,NA,1.81
2015-12-01,-2.27914721303414,0.82039475045116,3.92002967049643,NA,0.83,NA,NA,NA,NA,2.03,NA,0.71
2016-01-01,1.98326241899961,4.98562204065638,8.00650189528233,NA,1.23,NA,NA,NA,NA,2.02,NA,1.44
2016-02-01,2.44006652323137,5.46098591211266,8.41033291557235,NA,1.64,NA,NA,NA,NA,2.81,NA,2.48
2016-03-01,3.66954415383957,6.65059991979648,9.58764983884495,NA,3.5,NA,NA,NA,NA,4.92,NA,4.7
2016-04-01,6.14882437871498,9.18766260699933,12.0762454945788,NA,7.29,NA,NA,NA,NA,8.54,NA,8.12
