"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-4.36819714555004,0.0190708719752709,4.34543849771677,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-0.539992584457876,2.89532247564701,6.31021985101123,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-3.38386502732419,0.0712219789059594,3.54123160801223,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,2.37068970928295,5.77208048967404,9.14346125041375,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,5.78451644103664,9.16954153616978,12.4966265618492,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,9.65502942139402,12.9911056309501,16.3586696754142,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,10.7678660910905,14.1897903037176,17.6057389040429,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,13.0914509660701,15.0724490931747,17.0217568882284,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,8.97136302120818,11.085045597313,13.3052515978519,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,3.12628955905757,5.14765217821442,7.03992734569673,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-2.28506511232485,0.246750999771568,2.50515008481315,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-3.02129941501242,-0.713531159404466,1.38402684728568,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.575384379991604,1.52443152746908,3.78841531589342,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.148540211683217,2.48477987207572,5.2342366422752,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-1.13363301576181,0.873151473792749,3.01612364664398,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.765353250344956,1.45177839292454,3.8147229598417,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,5.92828689471538,8.10595740045088,10.379605068371,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,14.5850311255914,16.8680809340255,18.9843291625616,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
