"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",0.385101809116786,1.35011615710519
"2",2,"2060s",0.558674315410709,1.11332103985381
"3",3,"2060s",0.654760236567594,1.49777752006896
"4",4,"2060s",1.55324046220029,1.26471733665631
"5",5,"2060s",2.06162109568758,1.73813256326667
"6",6,"2060s",2.3021120322498,2.57014204029436
"7",7,"2060s",2.63631220150828,2.80505809121748
"8",8,"2060s",2.12670658271889,2.57629450085767
"9",9,"2060s",1.80356075780512,2.0615458363526
"10",10,"2060s",1.21123167225323,1.40278098999446
"11",11,"2060s",0.878719731460344,1.08310347562825
"12",12,"2060s",0.493000522307811,1.00809299790338
