"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-4.38580997698238,0.0256995518703507,4.43011481113339,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-0.365382195847533,2.20698896836302,4.78672782273072,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-2.62598253305183,0.0161225110956987,2.62546204907114,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,1.85150621154417,4.41821321076276,7.00153424410634,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,4.437116543944,7.03623911317517,9.63185712017982,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,7.43832407268649,9.99417287039497,12.5696694652513,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,8.8877194901593,10.4870619972447,12.1156403220781,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,8.86036667366167,10.548621190868,12.2460020856427,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,7.44314785469725,9.06101912352747,10.6654913935008,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,2.97050686341508,4.9555976207886,6.96673577480812,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-1.31595217296163,1.01230584748332,3.37269352741558,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-2.07968063229593,-0.174648477679723,1.72002772394722,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.491690453550171,1.20514243126949,2.93772472336103,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.191728010792171,1.9096257905175,3.95942844604127,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-0.911359146080731,0.72637712069276,2.38407834371913,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.483725557264973,1.26996253323673,3.03777835417457,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,5.58990777737548,7.16429587158643,8.71703935950702,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,11.6318265704402,13.747806548537,15.88078029418,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,11.4742690892862,13.1309562410246,14.7546951683743,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,10.7271531101745,12.31500009648,13.8784972559118,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,8.67106483860093,10.2451651199644,11.8035580224904,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.79328972874714,7.39671235353518,8.97289799470438,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,0.232445119957299,1.96001391822671,3.6594464154805,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-1.84130131680355,-0.088054622439451,1.57690182840731,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,0.339881900997268,2.52317786312654,4.63247014973033,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-2.44701202141404,-0.585380569421015,1.21395267072569,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-0.764524100720588,0.931761707655379,2.63613210921576,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,3.01942596302803,4.56614853584958,6.15831112777908,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,9.34631539126349,11.525439222279,13.8158319994282,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,9.6276791420881,11.7074237061381,13.8140960002225,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,11.7556974427466,13.8031530726724,15.8712072773755,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,10.8687033769765,12.4775173168622,14.1082819609061,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,8.8112100546482,10.3802436478817,11.9677357358858,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,4.23169495208724,5.80376333029883,7.3571127452966,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,2.26386642208435,3.84520427335068,5.41668454578926,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,1.30282555006963,2.95670318255452,4.61927952105556,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,0.0151425394999226,1.59004839190989,3.15503150465848,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,0.717236796405626,2.29564083592804,3.88213332146326,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,1.74856215392638,3.38853757554283,5.02171466956036,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,4.04635949612549,5.66196772273074,7.25542172464035,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,9.06800113255873,11.3228083609356,13.7419553811352,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,10.5356186610896,12.305104892114,14.054950459103,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,11.5912320316958,13.2927688045536,14.9811398985011,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,11.2041876384082,12.8716606382711,14.4920126812589,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
2015-09-01,7.15566127425031,8.75425210574583,10.3077749677033,NA,10,NA,NA,12.83,NA,10.47,12.82,8.78
2015-10-01,5.12084109576622,6.79444342613539,8.44380000916945,NA,6.41,NA,NA,NA,NA,6.91,NA,6.09
2015-11-01,0.21414770532025,1.78655288773825,3.37317560135921,NA,2.16,NA,NA,NA,NA,2.88,NA,1.81
2015-12-01,-0.620097466896808,0.980459407452906,2.57032733215725,NA,0.83,NA,NA,NA,NA,2.03,NA,0.71
2016-01-01,0.875003664676088,2.80311159318387,4.7124477618173,NA,1.23,NA,NA,NA,NA,2.02,NA,1.44
2016-02-01,1.71367399790307,3.47318305634395,5.20912836577409,NA,1.64,NA,NA,NA,NA,2.81,NA,2.48
2016-03-01,3.39980032598563,4.96593509534432,6.54954237340128,NA,3.5,NA,NA,NA,NA,4.92,NA,4.7
2016-04-01,5.85966544203214,7.49630212091998,9.14910025415984,NA,7.29,NA,NA,NA,NA,8.54,NA,8.12
2016-05-01,9.0006703595213,11.0817763423676,13.2423637588991,NA,12.47,NA,NA,NA,NA,14.21,NA,12.87
2016-06-01,11.1342859688409,13.0986424838962,15.0602159111994,NA,15.73,NA,NA,19.04,NA,17.45,18.58,14.51
2016-07-01,12.5551087469264,14.3525258243445,16.1145706882811,NA,NA,NA,NA,19.64,NA,17.38,19.55,15.31
2016-08-01,11.2433676182279,12.8026127970165,14.3767319976082,NA,NA,NA,NA,16.44,NA,15.3,15.27,12.78
2016-09-01,8.36696583785288,9.95443573650157,11.5174687949172,NA,NA,NA,NA,12.93,NA,12.37,12.84,10.17
2016-10-01,4.16598490073467,5.73116124919781,7.29283001253447,NA,NA,NA,NA,5.28,NA,5.02,4.91,6.04
