"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-9.40655352517219,-1.12501312658651,7.01793650653421,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-3.23600166550709,3.41600184494152,9.98050386628332,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-5.70239419273966,1.88340819932511,9.19257172273472,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-1.73096896043764,4.92157923425674,11.5346106076317,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,1.21455079940457,6.76794272600741,12.3147853909844,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,2.15493037521879,8.82104875095003,15.669492059724,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,8.44153270777546,9.99333395296089,11.4598512672555,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,8.28413593919408,9.7600410718516,11.2663857154662,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,7.14301374882783,8.70953461506814,10.2307607851035,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,4.7694426440547,6.37156817747269,7.89039781371979,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,1.47441462314726,3.058242079574,4.59221957024404,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-0.464618088583877,1.07999851890142,2.65073205179983,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-1.06837363661105,0.451718209704394,2.14585576261624,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.632169639935089,0.694230642321195,2.46489135430695,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-1.21967507437312,0.29795062404878,1.94992405891004,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.937684526887518,0.527576214201269,2.19332431331201,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,5.52219048617632,7.10739702834719,8.71806677756082,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,13.715169858508,15.3606376508313,16.8468244149443,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,11.7833913943654,13.4428761687006,14.8700557097389,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,10.6471056621809,12.2213193444923,13.6729950346435,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,8.56499539215086,10.1363525716885,11.6178474354572,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.63403514948823,7.11594259907225,8.63617147098665,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,1.17434787592312,2.73697600233153,4.30710353671558,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-0.88498501930784,0.658703787334151,2.21391996618755,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-0.575339920409024,0.854782852129645,2.58306359628145,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-1.10485717592788,0.476514301505278,2.04936890710553,7.75,0.0166493236212279,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-1.16675405075884,0.330140373098156,1.96850398766908,5.825,0.0294719003849767,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,2.99182173406036,4.50465776424494,6.08098611673641,5.8,0.0297265160523187,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,11.6189145755022,13.3142849412463,14.795279456487,6.075,0.0270961404934885,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,11.383491261587,13.1629847655468,14.5883439748236,5.275,0.0359380966285573,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,13.4546686535455,15.1640088670973,16.5828158009302,5.125,0.0380725758477097,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,11.0222925397315,12.673684690585,14.0993466387969,4.025,0.0617260136568805,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,8.60717405657195,10.1934106517238,11.7182444972814,4.975,0.0404030201257544,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,4.19799887353685,5.73413176486408,7.24818248957392,5.4,0.0342935528120713,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,2.40793298988601,3.9484271746105,5.49659437688528,6.225,0.025806035386526,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,1.01118564976076,2.46425770416324,4.08626526074021,4.275,0.0547176909134434,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,0.115167273654519,1.63964199264853,3.22739730586,5.925,0.0284854635119016,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,0.655388581108296,2.15393921724101,3.77410607647217,5.675,0.0310504764307477,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,2.37737480915275,3.95329976078772,5.50589266153181,7.2,0.0192901234567901,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,4.49846052617116,6.01648134940181,7.51051523653376,4.7,0.0452693526482571,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,11.6094296330916,13.2957418316122,14.7341868567631,5.95,0.028246592754749,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,11.4759655912466,13.1463129227102,14.5946422155401,6.25,0.0256,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,12.1461455158269,13.8057173561111,15.2388507879794,5.15,0.0377038363653502,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,11.5439669554902,13.2393107035365,14.6741571503876,5.125,0.0380725758477097,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
2015-09-01,7.18337348550243,8.74702366010231,10.2378332640397,5.525,0.0327593620114248,NA,10,NA,NA,12.83,NA,10.47,12.82,8.78
2015-10-01,4.66690457583729,6.15322031607647,7.71961856752635,4.7,0.0452693526482571,NA,6.41,NA,NA,NA,NA,6.91,NA,6.09
2015-11-01,0.288729274953716,1.85147602906835,3.48320983323553,6.5,0.0236686390532544,NA,2.16,NA,NA,NA,NA,2.88,NA,1.81
2015-12-01,-0.676104173574289,0.814333300625489,2.42123500343755,5.4,0.0342935528120713,NA,0.83,NA,NA,NA,NA,2.03,NA,0.71
2016-01-01,0.335955567675866,1.73540732263419,3.47958201467892,4,0.0625,NA,1.23,NA,NA,NA,NA,2.02,NA,1.44
2016-02-01,1.26015268856389,2.66458452103338,4.29600335484426,4.275,0.0547176909134434,NA,1.64,NA,NA,NA,NA,2.81,NA,2.48
2016-03-01,3.14038595829886,4.72733518251413,6.2741303139535,6.775,0.0217861957217358,NA,3.5,NA,NA,NA,NA,4.92,NA,4.7
