"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-12.1739047169812,-0.936877064325519,9.66265029700046,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-4.01414484798534,5.03422436252155,13.7881297907947,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-7.33662023785533,3.01760663630645,12.8751311591817,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-1.85267064140427,7.09587280091454,15.8627338866496,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,2.06606381580579,9.51776029486729,16.7317221808808,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,3.32061766352557,12.211374392058,21.1975470277618,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,7.01305776053159,13.1080607143908,19.2107374589068,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,6.386599623679,13.3963291239441,20.7811838468321,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,4.09163328154929,11.6517302820971,19.3308289545731,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,-3.36754621416004,6.26440016318128,15.5635072618421,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-8.22833457268754,2.09478567885171,11.9139792280673,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-9.169386768921,1.67594181768715,11.9029041091379,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-6.84207883496271,4.86784951668288,16.2214940060719,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,0.519041877888083,6.19138344057535,11.5396538158626,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-4.53451618464228,4.1347790283806,12.3690511505109,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-3.2811056679802,4.92402456854922,12.663239307246,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,-0.955246525190648,9.6772116208477,19.9573368087369,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,3.02798323013564,14.0998560427558,25.7213099534891,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,7.72376370454077,14.6743912442202,21.7843716675938,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,7.49175130296376,14.3398073376322,21.4683033411966,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,5.58321126657615,12.4703266917484,19.4126963101163,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,3.26726395029365,10.0750138769009,16.7822318545845,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-6.68785969977139,4.0741653782852,14.3403538668647,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-8.98258961312733,2.26696758222647,12.8897005816811,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-2.08300960048093,6.91712766013104,15.6601219353328,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-10.5490170429531,1.57472565078444,12.9862626046026,7.75,0.0166493236212279,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-4.84187370367044,4.52642290010299,13.3009336190056,5.825,0.0294719003849767,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,-1.71979042671038,7.32149947700626,16.0286199746411,5.8,0.0297265160523187,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,2.80163099142089,11.9900755580916,21.2398505764046,6.075,0.0270961404934885,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,4.11030549272843,12.2963507236875,20.5106777905458,5.275,0.0359380966285573,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,6.47755068229757,14.3162100006683,22.5256551432543,5.125,0.0380725758477097,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,7.77567578064314,14.1459856090374,20.7801543998986,4.025,0.0617260136568805,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,4.95251417905868,12.6835495406088,20.4826803201774,4.975,0.0404030201257544,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,-0.0322906768635647,8.36597872229761,16.7567140733685,5.4,0.0342935528120713,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,-3.18541963423228,6.49579875730517,15.8462069107525,6.225,0.025806035386526,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,-0.664519280220368,6.34781805959439,13.0587946517938,4.275,0.0547176909134434,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,-4.84093427845979,4.47533802999802,13.4780678809497,5.925,0.0284854635119016,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,-3.64541570962486,5.35032819665387,13.910156782377,5.675,0.0310504764307477,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,-5.46867483727934,5.62275725127826,16.4167681036811,7.2,0.0192901234567901,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,0.392968006456705,7.90297543286362,15.2120213015818,4.7,0.0452693526482571,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,2.60647675714251,11.6644479237708,20.8163755743542,5.95,0.028246592754749,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,14.0143589118976,16.1172318426435,18.0621119648596,6.25,0.0256,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,15.1859220025521,17.3439470458234,19.2331323194356,5.15,0.0377038363653502,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,15.0958556717397,17.2463569678992,19.1263260196823,5.125,0.0380725758477097,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
2015-09-01,10.6739275931576,12.7488068271823,14.655697931059,5.525,0.0327593620114248,NA,10,NA,NA,12.83,NA,10.47,12.82,8.78
2015-10-01,2.52954943785421,9.8724411297471,17.2530530309431,4.7,0.0452693526482571,NA,6.41,NA,NA,NA,NA,6.91,NA,6.09
2015-11-01,-5.41725109189574,4.72005926505694,14.4464014962441,6.5,0.0236686390532544,NA,2.16,NA,NA,NA,NA,2.88,NA,1.81
2015-12-01,-4.62949613852873,4.13327349248032,12.441577155058,5.4,0.0342935528120713,NA,0.83,NA,NA,NA,NA,2.03,NA,0.71
2016-01-01,0.305126762890675,6.77167895104584,13.053006355636,4,0.0625,NA,1.23,NA,NA,NA,NA,2.02,NA,1.44
2016-02-01,0.140412215418329,7.0732036891125,13.7405061521406,4.275,0.0547176909134434,NA,1.64,NA,NA,NA,NA,2.81,NA,2.48
2016-03-01,-2.63801957942951,7.84629717837354,18.131502935128,6.775,0.0217861957217358,NA,3.5,NA,NA,NA,NA,4.92,NA,4.7
2016-04-01,1.82231576665486,9.41614737033375,16.9925091476373,4.85,0.0425124880433627,NA,7.29,NA,NA,NA,NA,8.54,NA,8.12
2016-05-01,2.53730060773505,11.6370032293103,20.8925217488309,5.95,0.028246592754749,NA,12.47,NA,NA,NA,NA,14.21,NA,12.87
2016-06-01,16.1941778918061,18.3939073886936,20.1938994948012,5.975,0.0280107140981425,NA,15.73,NA,NA,19.04,NA,17.45,18.58,14.51
2016-07-01,17.0635429082312,19.3013705366857,21.0553632712029,4.575,0.047776881961241,NA,NA,NA,NA,19.64,NA,17.38,19.55,15.31
2016-08-01,13.2112441772319,15.2458191487302,17.2254247897861,5.975,0.0280107140981425,NA,NA,NA,NA,16.44,NA,15.3,15.27,12.78
2016-09-01,10.7625685045229,12.8075486978615,14.7434508172302,5.4,0.0342935528120713,NA,NA,NA,NA,12.93,NA,12.37,12.84,10.17
2016-10-01,3.12252670910639,5.04682088093558,7.17669077965672,5.525,0.0327593620114248,NA,NA,NA,NA,5.28,NA,5.02,4.91,6.04
2016-11-01,1.4653559714359,3.32156402482458,5.47463316347499,5.4,0.0342935528120713,NA,1.2,NA,NA,3.25,NA,2.83,3.18,4.35
2016-12-01,-0.463035612726818,1.4941784483891,3.58247954692822,5.4,0.0342935528120713,NA,0.35,NA,NA,0.53,NA,0.2,1.43,2.14
2017-01-01,-1.14903277219241,0.841673618292056,2.90786167234474,6.075,0.0270961404934885,NA,0.07,NA,NA,-0.56,NA,-1.12,0.81,1.07
2017-02-01,-1.22943625978639,0.630160860767543,2.81397471842866,5.1,0.0384467512495194,NA,0.09,NA,NA,-0.27,NA,-1.04,0.5,0.37
2017-03-01,-1.57186170756984,0.407961781774589,2.55268505674774,6.075,0.0270961404934885,NA,0.07,NA,NA,-1.14,NA,-1.46,0.34,0.12
2017-04-01,2.08873702422828,3.8154928667905,6.09229366835933,5.4,0.0342935528120713,NA,0.91,NA,NA,2.54,NA,5.31,3.6,3.13
2017-05-01,8.71456558280078,10.7776853576175,12.7635696988088,6.375,0.0246059207996924,NA,7.24,NA,NA,12.15,NA,11.67,10.81,7.01
2017-06-01,12.8677501617889,14.957172148723,16.8428384320847,5.15,0.0377038363653502,NA,13.18,NA,NA,16.48,15.93,15.89,15.05,9.08
2017-07-01,14.802357535577,16.9212030521981,18.7707368644512,4.875,0.042077580539119,NA,15.57,NA,NA,18.39,17.94,17.88,17.08,10.8
2017-08-01,13.8846412611665,16.007664988848,17.9363771634179,5.7,0.0307787011388119,NA,13.82,NA,NA,16.58,16.06,15.39,16.1,10.73
2017-09-01,9.40943904224828,11.3763682996758,13.398528041525,4.45,0.0504986744097967,NA,10.04,NA,NA,11.92,11.69,11.31,11.32,9.08
2017-10-01,5.92634745399505,7.87820490204224,9.84264299613834,5.25,0.036281179138322,NA,5.49,NA,NA,7.17,7.34,5.67,7.85,5.27
2017-11-01,-6.12998915732409,3.98582333078381,13.7868369952897,6.5,0.0236686390532544,NA,1.43,NA,NA,NA,NA,2.31,NA,1.9
2017-12-01,-4.96656789515215,4.9457552156209,14.6480358322865,6.375,0.0246059207996924,NA,1.06,NA,NA,NA,NA,1.66,NA,1.37
2018-01-01,-6.03248071695591,4.03304119176875,13.65359727383,6.375,0.0246059207996924,NA,0.38,NA,NA,NA,NA,0.89,NA,0.37
2018-02-01,-8.44977021427363,2.36348612895423,12.7253927705148,6.9,0.0210039907582441,NA,0.08,NA,NA,NA,NA,0.3,NA,0.33
2018-03-01,-4.03610645236001,5.07822735984601,13.7198454616517,5.675,0.0310504764307477,NA,0.26,NA,NA,NA,NA,0.29,NA,0.96
2018-04-01,-0.907796844218101,7.55920715974483,15.8090590697289,5.4,0.0342935528120713,NA,1.7,NA,NA,NA,NA,4.22,NA,3.71
2018-05-01,1.76429786558142,9.87794191541906,18.0374865062351,5.25,0.036281179138322,NA,6.52,NA,NA,NA,NA,10.43,NA,5.28
2018-06-01,13.3637656706511,15.5295710741433,17.3659667813991,5,0.04,NA,12.69,NA,NA,16.12,15.78,15.82,15.68,9.56
2018-07-01,14.849379350274,17.0104777747849,18.9950847503333,5.85,0.0292205420410549,NA,14.72,NA,NA,18.03,17.46,NA,17.11,11.41
2018-08-01,13.3875632590408,15.3945177300918,17.2853462561525,5,0.04,NA,13.11,NA,NA,15.96,15.58,NA,15.46,11.03
2018-09-01,11.9309912247916,13.9787595319414,15.8768278346162,6.225,0.025806035386526,NA,11.56,NA,NA,15.08,14.59,NA,14.03,9.2
2018-10-01,6.67514445823055,8.5853240363082,10.6866665562304,5.525,0.0327593620114248,NA,7.56,NA,NA,8.43,8.22,NA,8.51,7.05
2018-11-01,2.28981445496552,4.12313497050959,6.29226072605291,5.125,0.0380725758477097,NA,3.53,NA,NA,4.27,4.47,NA,3.95,3.04
2018-12-01,1.02103286155452,2.7641879135358,5.09098249104004,3.875,0.0665972944849116,NA,1.9,NA,NA,2.5,2.97,NA,2.47,1.4
2019-01-01,-0.845882929019034,1.11546522514299,3.16127669954777,6.775,0.0217861957217358,NA,0.43,NA,NA,1.58,2.63,NA,1.06,0.33
2019-02-01,-0.971138342303572,0.970954759939685,3.09230247485416,5.55,0.0324648973297622,NA,0.19,NA,NA,1.2,2.46,NA,0.84,0.17
2019-03-01,-0.281322398008066,1.58247870225014,3.79787658327027,6.65,0.0226129232856578,NA,0.68,NA,NA,0.61,2.36,NA,1.39,1.15
2019-04-01,4.01095479003301,5.85709795075519,7.97061111154389,4.7,0.0452693526482571,NA,3.88,NA,NA,8.64,7.41,NA,5.72,4.48
2019-05-01,9.52734934772528,11.5341719321134,13.4790264645863,4.975,0.0404030201257544,NA,9.74,NA,NA,12.79,12.75,NA,11.54,7.99
2019-06-01,13.9387198854939,16.0325367443395,17.9573051928709,5.825,0.0294719003849767,NA,NA,NA,NA,17.77,17.55,NA,16.11,11.47
2019-07-01,16.8788873425881,19.0730444246187,20.8762441456399,4.3,0.0540832882639265,NA,NA,NA,NA,20.38,19.78,NA,19.29,13.59
2019-08-01,15.242077400996,17.3372909237609,19.292023930211,7.075,0.0199777747256178,NA,NA,NA,NA,19.2,18.56,NA,17.39,12.79
2019-09-01,11.2409766305558,13.1933692667714,15.1839551240319,5.1,0.0384467512495194,NA,NA,NA,NA,13.28,13.03,NA,13.21,NA
2019-10-01,8.12012334993732,10.1054094952613,12.0070342180229,4.675,0.0457548114043867,NA,NA,NA,NA,7.06,7.14,NA,10.14,NA
2019-11-01,-0.552713710819286,7.93856227529772,16.1706864956761,5.4,0.0342935528120713,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-01,-1.26548391575175,6.83945113671911,14.634113326877,5.1,0.0384467512495194,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,-3.4157785747134,3.5997903490659,10.156777846696,4.15,0.0580635796196835,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,-1.34785717042006,5.79725152368814,12.6686381578987,4.4,0.0516528925619835,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,0.416724849321256,7.22145549918718,13.8769766229394,4.25,0.055363321799308,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,3.23439904608514,8.26446232440139,13.1350217689691,2.9,0.118906064209275,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,6.1064804212555,11.1567555996379,16.2003974056301,3,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,9.42580783838186,14.4176478516148,19.5876765406892,3,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,10.0790118050619,15.3374190519808,20.7813779087092,3.15,0.100781053162006,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-01,10.0677222764767,15.2181637457201,20.5593028673416,3.1,0.104058272632674,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-01,8.34318304253896,13.0339875247542,17.75178518123,2.7,0.137174211248285,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,4.15118818184876,9.53527427069886,14.9387897682024,3.25,0.0946745562130178,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-01,2.42053428067089,7.35817801175593,12.1983837845682,2.85,0.123114804555248,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-01,-1.97836753106675,5.26104160115822,12.2418727366491,4.45,0.0504986744097967,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-01,-3.01256140004834,3.36556443088703,9.35547862242361,3.75,0.0711111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01,-0.174785639882736,6.35958051152713,12.6504748657191,3.95,0.0640922929017786,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-01,-0.0522952821839687,6.63358313070191,13.111553979789,4.05,0.060966316110349,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-01,3.5858299514819,8.72955524660973,13.7830254043284,3,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-01,6.15792021020397,11.0723643507668,16.1424687437249,2.95,0.11490950876185,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01,9.57744578434919,14.3726164165199,19.3361153886346,2.8,0.127551020408163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01,9.57065420862699,14.8996302974697,20.5639832860445,3.3,0.0918273645546373,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-01,10.5161859325656,14.9528192956604,19.6388508347587,2.55,0.153787004998078,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-01,7.62524216720542,12.7311657371729,18.0407583720751,3.1,0.104058272632674,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01,3.54460853347634,9.46375606610737,15.2679539279839,3.6,0.0771604938271605,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-01,-2.86885519505528,4.92851064065773,12.3903749524434,4.85,0.0425124880433627,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-01,-0.912661496543559,5.18812085689586,10.9624311262442,3.6,0.0771604938271605,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-01,-0.900651616060647,5.32244221141947,11.1933747327959,3.7,0.0730460189919649,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-01,-0.303868293677809,5.27531622091525,10.5608558905839,3.2,0.09765625,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01,1.47544865640559,7.53155099906513,13.382106852693,3.65,0.0750609870519797,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,3.42174995315566,9.54764633977623,15.6478369537761,3.8,0.0692520775623269,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-01,7.1684264783107,11.9042688343257,16.7501371681941,2.8,0.127551020408163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-01,10.1662445882193,15.7641264523565,21.667775281444,3.45,0.0840159630329762,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-01,11.311153378715,16.625939545072,22.2319245337789,3.2,0.09765625,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-01,11.1724186442265,15.5080888012726,20.0480043037205,2.45,0.166597251145356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-01,7.02650804375518,12.8265972797606,18.6092585840002,3.55,0.0793493354493156,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-01,3.69814251724679,9.47596944683347,15.1975985934942,3.5,0.0816326530612245,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-01,1.24942090012843,6.65458139150757,11.7650166050368,3.1,0.104058272632674,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01,-0.696954663360504,4.56542754770749,9.50675870777776,2.9,0.118906064209275,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01,-2.36851915722465,4.57981066726944,11.1039636697461,4.15,0.0580635796196835,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01,1.20493173118652,7.13030829528293,12.9669524070747,3.5,0.0816326530612245,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-01,2.17189882046249,7.43571664353471,12.4937697691691,3.05,0.107497984412792,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-01,3.18939900490598,8.27223088843001,13.1159057415956,2.95,0.11490950876185,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,7.68437811801427,11.8517737344719,16.0833717901082,2.3,0.189035916824197,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-01,9.23933080999217,15.0215305118089,21.0807714056792,3.6,0.0771604938271605,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-01,11.1492996023527,16.1054364217712,21.3344253765352,2.9,0.118906064209275,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-01,10.488743010583,15.4114511496413,20.6514469834988,3,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-01,9.07535828683444,13.4132328266333,17.8144716685978,2.45,0.166597251145356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-01,3.73793779351621,8.78796088401359,13.7870828978383,3,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-01,1.19940863686753,6.11906570377802,10.7747668758396,2.75,0.132231404958678,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-01,-1.18427297047746,5.12075460352835,11.0111647822096,3.75,0.0711111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-01,-1.56821606653333,5.64942397874798,12.4016214580851,4.4,0.0516528925619835,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-01,-0.230337004758983,6.97597658233863,13.7823071926772,4.4,0.0516528925619835,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-01,2.1448033389652,6.72141432464395,11.077723752391,2.5,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,3.01177660767986,8.60436505748526,14.0532996859232,3.35,0.0891067052795723,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-01,7.24766941084814,11.5626729107053,15.8575629548693,2.4,0.173611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-01,9.11184991768473,14.644513087002,20.425130488488,3.45,0.0840159630329762,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,11.6560147907254,16.2125650183814,21.1357994430939,2.65,0.142399430402278,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-01,11.508436546857,15.8573753464392,20.4549789076043,2.45,0.166597251145356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-01,8.64017006451341,13.4053721947537,18.353532577842,2.8,0.127551020408163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-01,2.52627423867582,9.23139368902402,15.8429868908494,4.2,0.0566893424036281,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-11-01,-1.76871042928566,4.88661974370865,11.0713793404753,4,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-12-01,-2.26545930231273,5.17753943143222,12.4090330922973,4.6,0.0472589792060492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01,0.646376181234805,6.52551197809384,12.1411527243962,3.5,0.0816326530612245,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-01,-1.45449234693686,5.01927475838852,11.0276139030939,3.8,0.0692520775623269,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01,1.39721469200799,7.0664463032878,12.6061775458415,3.4,0.0865051903114187,NA,NA,NA,NA,NA,NA,NA,NA,NA
