"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.35206858249982,0.00736787338592972,4.39059652051746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-0.945552423894127,2.43975583846846,5.76584625742532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-2.76108345433792,0.632581928532347,4.03373869661307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,1.81137136114258,5.10980179542957,8.397112048522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,3.8542198760102,7.21252223182892,10.5237494031466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,7.30324655987168,10.663523690301,13.9562129871696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,9.10285193496678,12.5070317369985,15.8094966604411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,9.37375797366127,12.743255610741,16.1025345759224,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,8.19702979870544,10.0994359305989,12.091296884353,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.2087207397374,5.22313514111361,7.1255635824094,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-0.172237252173218,1.75482164713953,3.6495861196042,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-2.91492723371817,-0.526646222227126,1.57690207746538,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-0.915456887775158,1.00885792767536,3.04096953513883,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.426314755913605,1.81437201337775,4.19300759966065,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-1.6046623783201,0.2760151591018,2.19476072660589,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-0.790305964549382,1.21663852374661,3.37930905907771,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,2.6719825456632,5.52745850823294,8.55402216369365,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,12.1088702710733,14.4897200452638,16.6035368109115,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,12.9031278412143,15.1351778790982,17.1427187094323,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,13.0379793940689,15.0887889784846,17.0049372558101,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,10.2805756368373,12.2139031083338,14.0822714037131,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,6.26479495086803,8.13014413879672,10.0698322398611,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,0.508350134364713,2.81112925473751,4.94984683213005,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-1.54609196658451,0.798428657587496,2.90037971566252,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,0.578619981339286,2.72628923616068,5.02413249353258,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-3.41802557341148,-0.655877747779639,1.69691322226285,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-1.2191073793004,0.679875967425305,2.62992374831249,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,0.199513265459425,2.69103464581558,5.3567766268876,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,7.89574490274158,9.76077675636106,11.6633570168724,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,10.235497413819,12.4553694297973,14.5183760232045,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,12.5878686802687,14.7850595278679,16.7631541156394,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,12.253938121289,14.2787639222586,16.1907599541537,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,10.5995982755832,12.642371691899,14.5613484043832,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,3.75382477611894,7.04245844841668,10.3447956661237,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,-0.34451872876541,2.98668347359324,6.32782670107918,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,-0.48508392174144,2.88932856538644,6.22738623613749,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,0.381410025390091,3.71390909806254,6.99600517065014,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,-0.589443993214162,2.74719269147313,6.09706905808798,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,0.26519359594137,3.52477009520112,6.85172953194103,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,2.28885433494655,5.65224109077363,8.9713520192205,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,6.75881861540139,10.0837477952791,13.435280235526,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,9.87307503895983,13.3046833318353,16.7719943521514,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,11.1119719405178,14.5748556990492,18.0061654440375,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,10.5808367292059,14.0586729787853,17.4371101844966,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,6.84501362406733,10.2028848855627,13.5825074167811,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,4.97946698057009,8.2881606940783,11.5966715626915,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,0.0181510172123201,3.33626795718277,6.70587803158155,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-1.4078314724077,1.89691492447191,5.27700346197995,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,0.538105125019101,3.86436729243374,7.22511715502092,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,1.33444079435066,4.66481404219581,7.98382126337258,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,2.34525476039496,5.63360223175182,8.94912236004753,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,4.25585705482855,7.50622427229186,10.7653458715823,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
2016-05-01,7.40611134899953,10.7558804702415,14.0576121072958,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA
2016-06-01,9.98081376351052,13.4140836876845,16.7925057361453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,11.7903596820815,15.3079655434631,18.7230878640845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,11.9222329820397,15.4500664493722,18.8854328670174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,8.08141647122684,11.4426726314536,14.7765585158457,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
2016-10-01,3.55864021099317,5.5902818277373,7.71962387516798,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA
2016-11-01,2.39886709130053,4.28941768557254,6.18860635678116,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA
