"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",2.80995219101806,0.974823247540968
"2",2,"2090s",3.36013195625129,1.12068691439792
"3",3,"2090s",3.08954764829589,0.673098043206707
"4",4,"2090s",2.7603402488181,0.778976963117891
"5",5,"2090s",2.77321303378124,0.938313898093975
"6",6,"2090s",2.81507908489875,1.28590444821554
"7",7,"2090s",2.8305058631822,1.39176102246236
"8",8,"2090s",2.75842124817338,1.38890956031181
"9",9,"2090s",2.65306142406504,1.18719232756962
"10",10,"2090s",2.863912743072,0.990034662954049
"11",11,"2090s",3.36266650560261,0.883079072486551
"12",12,"2090s",3.00549680706627,1.08811917987345
