"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.38240676633689,0.00864770607047382,4.3767598944482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-1.27390782942898,1.65008079692798,4.57020865642682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-3.43580873790938,-0.490373333174249,2.38175815711907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,1.95939094948377,4.88495070378604,7.74508393587623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,4.53620145448412,7.38046446495112,10.2317832704904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,8.64807522054753,11.5293400301569,14.38861709319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,10.7930973376572,13.7170483374332,16.6101753118685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,13.0221596708671,14.9119155449142,16.6421656850201,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,9.65243328034047,11.2981308442028,12.962472602669,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,2.65424216256472,4.28816679312008,5.93324624866759,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-1.85492300040524,-0.152635118002566,1.66384799258275,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-4.38834559228386,-2.38278810242013,-0.59993023903317,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.5715334548436,0.12395995728637,1.91804099116645,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.883535394768129,1.13256520177114,3.34836222659989,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-2.65436266168165,-0.9683711754767,0.734410005035915,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-1.16681239611046,0.588128832851236,2.45883655300029,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,5.06278158520496,6.99501237029011,9.11054159166309,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,13.9197453135062,16.1894495457846,18.2387432830503,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,14.5065084473742,16.3501811900942,18.0569387026634,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,14.9267489794074,16.7157630352803,18.4120408659342,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,11.1690310711979,12.8298663066334,14.5514204149616,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,7.01096157001944,8.64178704389092,10.2952008315289,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-0.977523915299473,0.724736273110228,2.37945916585503,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-3.284353656775,-1.5788973474601,0.0886886208587201,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-0.642555078944771,1.59708507350571,4.08923146456308,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-5.34172161502866,-3.44041411427009,-1.70667498796097,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-1.96524152811184,-0.299483547476656,1.39762853101195,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,2.17556946242374,3.85478431070822,5.58486527807767,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,10.0259994050769,12.2396046203194,14.2762513529806,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,11.470669072271,13.4125434629779,15.2181833597974,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,13.8494430376616,15.5470642612644,17.2107379291069,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,12.6335827908396,14.4108849095558,16.3614533784677,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,10.1343987072959,11.987151534672,14.0190732815864,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,4.79957276246155,6.51338259048923,8.28017627151287,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,1.53557167391857,3.51324649166865,5.35535996587024,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,1.07094628220248,2.85493658651545,4.54384851331733,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,1.3244503545444,2.97110172194786,4.62322380694005,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,0.894560879967407,2.66380434554042,4.36720475040802,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,1.99234075095943,3.83872116734583,5.60264345844731,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,4.09329781708735,5.7889663911611,7.40898036404708,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,10.1939290758462,12.3427174294271,14.3327686150945,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,9.33592021089355,11.949589833741,14.9633903461729,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,13.2619310074869,16.2275678397479,19.1938303303522,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,12.6234538855393,15.5718259990399,18.5067305251938,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,8.12532744211568,10.9742139847257,13.8971599326481,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,5.79139697351206,8.67910012836023,11.6144699059061,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,-0.105095335877231,2.75691226009035,5.623118152227,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-1.87956915850043,1.01721568742673,3.92749059693106,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,0.511778362161381,3.36956623538311,6.23054695733889,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,1.40727583086497,4.33479396573909,7.12640975559073,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,2.61468663195432,5.48109507178194,8.37406296034286,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,4.84464148449283,7.71525549543635,10.6157029396622,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
