"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.4026291605454,-0.0178954447225041,4.34322458350551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-0.973194137965336,2.20415592730864,5.41660251936341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-2.98914483897657,0.280271147032974,3.62714883144626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,1.85304331738807,5.10333330290289,8.32269223917137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,4.10754486997102,7.35822203666576,10.5756546664355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,7.8420562333829,11.0822990357942,14.359581732097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,9.75062670775132,13.0547314293412,16.3350631908351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,12.1646660481412,14.3215384217633,16.3322327746304,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,9.21768237824147,11.0404078790775,12.8980893906905,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.117326163134,4.99529528691528,6.86228895782418,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-1.28180959272178,0.587179954703737,2.54200066523941,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-3.39690519142379,-1.18135619319911,0.842162832361691,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.13282082635676,0.784608700900421,2.76119840513724,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.62989804910766,1.62801959957791,3.98860037223591,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-1.77328194557768,0.100634773889946,1.97120373010275,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-0.885026236322439,1.09402724825918,3.15913223146405,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,4.94051554419961,7.0586294361938,9.24922536565372,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,13.2659311761816,16.2519064828761,19.0277803671951,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,13.8847939178506,16.3031110751582,18.498699709712,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,14.1348891950597,16.3586730848556,18.3604227363133,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,10.9237902587633,12.8146460009625,14.6501452297372,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,6.71273007708337,8.55927982382077,10.3978753779838,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-0.366530663230307,1.51772585280211,3.37713641076136,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-2.49000178303721,-0.56716790246782,1.32364072199769,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-0.439293523317497,2.0455625150683,4.6419427277286,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-4.44425554182261,-2.38678438407665,-0.479614186996259,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-2.13884746807811,-0.226442346037952,1.83861448602863,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,1.06237864303541,3.23713632028604,5.51779979553806,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,9.90001706884806,13.1052014002935,16.1056389415728,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,11.1524917348021,13.762276061939,16.2568628685999,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,11.2851689988475,14.5304297311707,17.8698559720831,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,11.200692576998,14.5454730688919,17.8260073585198,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,10.1007129602538,11.9626882184848,13.9449585120475,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,5.44963055139389,7.30270417985475,9.14066214316994,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,1.85009704744054,4.07478286304026,6.22793156434315,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,1.14038016299522,3.04743292532089,4.91757775002642,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,1.1995184489954,3.08161625687462,4.98252662734183,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,0.893091104483107,2.72832611935042,4.56017133115257,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,2.02521166957402,3.96868205396211,5.88486468995666,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,4.38313136333766,6.35470744129426,8.25942996048136,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,9.3131219170085,11.3904626107415,13.3692563722685,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,11.8524127954654,13.7307621671629,15.6192411069594,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,11.9602391355344,15.2906579722899,18.6047370719531,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,11.4249738893497,14.7367298484423,18.0736058983465,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,8.09440298936893,9.97828795670789,11.9370905177893,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,6.16638639268323,8.05730040679832,9.97409207837421,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,0.14375983173846,2.1713387180846,4.30384874298331,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-1.37024229220923,0.62265279602361,2.76406381125945,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,-0.79539913684909,1.74201930564257,4.36119223286804,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,-0.148666907147003,2.46159570871378,5.16057993770969,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,3.44498875490883,5.29149692831589,7.15546208048605,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,6.79295408647497,9.08742173746768,11.245260811691,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
2016-05-01,9.1393206683001,10.9867938831387,12.8386951217422,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA
2016-06-01,10.7401283701805,14.0251327769109,17.3892833068379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,12.666831443303,16.0744898325489,19.4774959336986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,12.8792778890368,16.2612965974915,19.6473567665001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,8.70299249925655,10.7852688589663,12.9546434396038,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
2016-10-01,4.56440305588228,6.39808311739732,8.25007710154622,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA
2016-11-01,2.97965491329634,4.85197625368923,6.68492396482179,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA
2016-12-01,-1.05069093745839,1.55925576148686,3.98672019980756,2.92,NA,NA,NA,NA,2.09,NA,NA,3.39,NA,NA
2017-01-01,-1.64661786862746,0.594584995053588,2.71544445699119,1.37,NA,NA,NA,NA,0.96,NA,NA,1.81,NA,NA
2017-02-01,-1.07565276626769,0.870605396918961,2.73416874945411,0.7,NA,NA,NA,NA,0.64,NA,NA,1.31,NA,NA
2017-03-01,-2.62097458078712,-0.420046419695836,1.62487747818886,0.39,NA,NA,NA,NA,0.35,NA,NA,0.61,NA,NA
2017-04-01,2.62341188286753,5.09565013137758,7.65282415102081,1.91,NA,NA,NA,NA,0.67,NA,NA,3.2,NA,NA
2017-05-01,6.75180492632244,8.65233350712206,10.5620738356499,9.33,NA,NA,NA,NA,7.55,NA,NA,8.07,NA,NA
2017-06-01,9.74417406309068,13.0070651004304,16.3507833591776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-01,11.9493345409208,15.3155464404453,18.6781564934087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-01,11.596714845414,14.9105564376293,18.2240420410825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01,9.23589453728759,12.5368851115418,15.8553038122327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
