"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.34803866809263,-0.0270397677205347,4.41006805549082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-1.63107492340714,1.72478307992999,5.10031744070207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-3.79083082243112,-0.372046818279974,3.07960367964891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,1.5297153137135,4.85503717672638,8.23984756621101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,3.89308604677789,7.30551414452553,10.6576352260317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,8.02824714726853,11.3254097344276,14.6919700600076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,10.1639364177534,13.4767179146587,16.8515725808394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,10.3753757845811,13.7471096815916,17.1779811549429,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,8.44741268886358,10.391541144198,12.4840827243621,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.14112240213306,5.27205929886968,7.26684453308302,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-0.747322623301917,1.37842247684507,3.32507578881541,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-3.96296657660743,-1.05125308340817,1.36344412578885,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.20967833985223,0.65012525833551,2.56758859582939,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.601029453627988,1.47854441801052,3.76766362510219,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-2.19843245264406,-0.166542055511901,1.73422927107904,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-1.05553476250976,0.837677352398701,2.88545126390089,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,1.94272597568827,5.09112004780338,8.53993459582476,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,13.1364625501833,15.2763122718243,17.2633308501891,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,14.2091005324658,16.3942946383738,18.3789460665687,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,14.3746434801283,16.363205796281,18.286458382748,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,10.8850733713695,12.7281129881273,14.6449881745808,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,6.49984530905598,8.34755991120576,10.2438597718674,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-0.389990779489115,2.00181986495222,4.14154786634683,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-2.64429328590658,-0.150048909603956,1.99092073475791,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-0.0085496826873171,2.1721740219995,4.54370382748691,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-4.74272708060931,-1.56912762086967,0.996848695379788,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-1.83331164442492,0.100509229048952,2.00348895645647,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,0.2381104513097,2.58899145936662,5.12986355906235,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,8.96461294697126,10.8947548209944,12.8025181451957,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,11.2316048741273,13.6075029227616,15.7538696428943,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,13.8974653469948,16.0447231322559,18.0277320950877,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,13.3675249791488,15.3417265162219,17.2281817956207,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,11.4875094241864,13.4545145028441,15.3449730154405,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,3.77396441193825,7.12008348986292,10.4037100300376,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,-0.961722174969016,2.38954196927705,5.76800223485028,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,-1.11326345552818,2.26302607074604,5.65772971809567,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,-0.127768671268228,3.21835587115863,6.65289179835441,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,-1.24654045473096,2.08618787937205,5.53051718484962,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,-0.348170260410363,3.01048096425905,6.38836954240735,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,2.16793488051535,5.47732125188849,8.79378520049006,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,7.2409476694579,10.6717861047387,14.0153072833248,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,13.1618802535068,15.2778142820727,17.2447843539078,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,14.4776278085725,16.565931110336,18.4588719454394,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,13.7709209130713,15.7310584328591,17.6245642540524,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,9.00113447791853,10.8407579532221,12.7373844224102,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,5.9705268208869,7.87969233875254,9.87293834998994,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
