"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2030s",-0.256331209892689,1.54869684191109
"2",2,"2030s",0.59926023584212,1.06646797640761
"3",3,"2030s",0.0553977234910202,1.66829539371668
"4",4,"2030s",0.332497582639132,0.726766822421733
"5",5,"2030s",0.0821611770894811,0.868118176898643
"6",6,"2030s",-0.133295657378104,1.18944724299246
"7",7,"2030s",-0.473044000248836,1.42420981181406
"8",8,"2030s",-0.194532548176182,1.34152440155615
"9",9,"2030s",-0.172230659717371,1.06244843004807
"10",10,"2030s",0.0771861352454677,0.907912692460345
"11",11,"2030s",-0.561029033011424,0.975151838263043
"12",12,"2030s",0.430073663328042,1.20112255886991
