"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.36616721015901,-0.0033932308733729,4.36014009409449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-0.746360892714069,2.12780132264294,5.05171802079458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-2.9549122912498,0.0409875840835942,3.01545027277779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,2.36038822978712,5.27340714605309,8.15995973335792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,4.86701928271703,7.68393577382527,10.5591200689176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,8.85430203346088,11.7161222545877,14.6976821277308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,10.8856540786748,13.8398008525664,16.8271456658522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,12.9442237208426,14.8385993789687,16.5945621013178,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,9.60442584938128,11.3091615630285,13.0734260286101,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.36242847664031,5.12965247287579,6.83827367329298,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-1.99851113198703,-0.145078046147281,1.91124561866716,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-4.69055919628136,-2.95094526011387,-1.13176505872446,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.49516434026341,0.306659648954505,2.28358584628406,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.463190327409551,1.62885091385525,3.81234441064452,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-2.38784799365544,-0.656658830936863,1.15382077442146,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-0.676180735810408,1.08091514099683,2.97829839368043,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,7.08841186875647,8.79097084529344,10.4797548913843,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,13.8788722275544,16.1008066833464,18.1303923297177,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,12.7283603519707,15.7686083771878,18.7297516445839,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,13.2554485700187,16.3062421954823,19.3317498281507,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,10.3219644796898,13.3022842182978,16.2603698172286,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,6.23654307239246,9.11339600633764,11.9713807141183,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-1.92477455869186,1.05824479938802,3.97107111749456,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-4.17917309234706,-1.21538190115032,1.81730973082905,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,1.16227643632714,4.0665938379415,7.04517251223762,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-6.68719974934658,-3.55070265032009,-0.45787740375842,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-2.60315965340712,0.36130698749033,3.31257858279792,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,1.93888656313639,4.80354006972373,7.69628966517584,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,7.95321747145981,10.8239501178201,13.7013597718332,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,9.5201050616651,12.5262685257643,15.4496083948766,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,12.4130526492449,15.4408254728568,18.4160843087761,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,12.4376494874298,15.4209238872017,18.4826452997295,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,10.4319210265708,12.2890842508644,14.2805089078017,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,5.37496942548503,7.0320086316413,8.77859328006429,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,1.40669024098941,3.12751581323095,4.83822742887182,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,0.587738677336708,2.30112201488836,4.06839464693506,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,1.22988229944433,2.95412722198208,4.76460654854919,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,1.0156204151997,2.78435295487539,4.4804868735731,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,2.17809755721832,3.98889432854363,5.68300617481938,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,5.04366646731095,7.02411852587207,8.93214050093787,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,10.6980788900034,13.3508164991229,15.8698785279937,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,12.9878403628218,14.7452482073251,16.5280904242352,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,13.218200354639,16.2835648039777,19.291796626295,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,12.6474443121453,15.66937199793,18.6840289198163,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,8.25719538665362,11.1788540818965,14.1533177546355,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,6.10967885151463,8.94342648227634,11.8591788755558,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,0.25846981905787,3.19072298643741,6.09517086360601,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-1.40016227052397,1.51949403246196,4.47902416815578,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,0.900892576049469,3.79266518265209,6.67356770499592,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,1.8519613912687,4.71716978796303,7.63785190350813,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,2.98011653507121,5.87401511923166,8.84257340174828,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,5.14103291261958,8.02701000884915,10.8865325687319,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
2016-05-01,8.89802645711891,11.8060258264037,14.753084279874,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA
2016-06-01,11.909390605007,14.8909988637468,17.8949555899812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,14.0486211117414,17.0950052529483,20.1713493848354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,14.2030333901724,17.2830426662331,20.3357506960063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,9.66116917275008,12.5945828238838,15.5577966700091,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
2016-10-01,4.10312409465372,7.00994599289813,9.86378503862308,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA
2016-11-01,1.70221956776306,4.57878884609695,7.44395636873636,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA
2016-12-01,-3.61850539890417,-0.640861671014822,2.33347085091103,2.92,NA,NA,NA,NA,2.09,NA,NA,3.39,NA,NA
2017-01-01,-3.96575199731323,-1.00551994548271,2.02410291683284,1.37,NA,NA,NA,NA,0.96,NA,NA,1.81,NA,NA
2017-02-01,-2.83621764636411,0.16227850461995,3.12487583853576,0.7,NA,NA,NA,NA,0.64,NA,NA,1.31,NA,NA
