model,scenario,month,NumMonth,year,date,tasmin,tasmean,tasmax
CRU-TS,historical,January,1,1901,1901 1 01,-8.3,-4.6,-1
CRU-TS,historical,January,1,1902,1902 1 01,-6.3,-2.5,1.3
CRU-TS,historical,January,1,1903,1903 1 01,-9.8,-5.8,-1.8
CRU-TS,historical,January,1,1904,1904 1 01,-9.2,-5.8,-2.5
CRU-TS,historical,January,1,1905,1905 1 01,-6.5,-3,0.5
CRU-TS,historical,January,1,1906,1906 1 01,-14,-10.1,-6.3
CRU-TS,historical,January,1,1907,1907 1 01,-10.3,-5.7,-1.2
CRU-TS,historical,January,1,1908,1908 1 01,-5.5,-2,1.4
CRU-TS,historical,January,1,1909,1909 1 01,-14.9,-11.7,-8.5
CRU-TS,historical,January,1,1910,1910 1 01,-7.1,-4,-0.9
CRU-TS,historical,January,1,1911,1911 1 01,-12.3,-8.9,-5.5
CRU-TS,historical,January,1,1912,1912 1 01,-5.3,-2.1,1
CRU-TS,historical,January,1,1913,1913 1 01,-11,-7.9,-4.8
CRU-TS,historical,January,1,1914,1914 1 01,-8.2,-4.3,-0.5
CRU-TS,historical,January,1,1915,1915 1 01,-1.9,1.3,4.5
CRU-TS,historical,January,1,1916,1916 1 01,-10.8,-7.2,-3.7
CRU-TS,historical,January,1,1917,1917 1 01,-9.3,-5.1,-1
CRU-TS,historical,January,1,1918,1918 1 01,-6.8,-2.9,1
CRU-TS,historical,January,1,1919,1919 1 01,-7.7,-4.1,-0.5
CRU-TS,historical,January,1,1920,1920 1 01,-11.8,-7.4,-3.1
CRU-TS,historical,January,1,1921,1921 1 01,-11,-6.8,-2.7
CRU-TS,historical,January,1,1922,1922 1 01,-5.5,-1.9,1.6
CRU-TS,historical,January,1,1923,1923 1 01,-9.5,-5.5,-1.5
CRU-TS,historical,January,1,1924,1924 1 01,-4.9,-1.6,1.6
CRU-TS,historical,January,1,1925,1925 1 01,-13.5,-9.6,-5.7
CRU-TS,historical,January,1,1926,1926 1 01,2.7,5.9,9.1
CRU-TS,historical,January,1,1927,1927 1 01,-7.5,-3.4,0.6
CRU-TS,historical,January,1,1928,1928 1 01,-4.3,-0.5,3.3
CRU-TS,historical,January,1,1929,1929 1 01,-3.6,-0.1,3.3
CRU-TS,historical,January,1,1930,1930 1 01,-11.5,-6.9,-2.4
CRU-TS,historical,January,1,1931,1931 1 01,-1.2,2.5,6.2
CRU-TS,historical,January,1,1932,1932 1 01,-10.6,-5.9,-1.2
CRU-TS,historical,January,1,1933,1933 1 01,-12.4,-8.2,-4.1
CRU-TS,historical,January,1,1934,1934 1 01,-10.4,-7,-3.7
CRU-TS,historical,January,1,1935,1935 1 01,-9.2,-5.5,-1.8
CRU-TS,historical,January,1,1936,1936 1 01,-5.9,-2.6,0.7
CRU-TS,historical,January,1,1937,1937 1 01,-4,-0.2,3.6
CRU-TS,historical,January,1,1938,1938 1 01,-7.3,-3.6,0
CRU-TS,historical,January,1,1939,1939 1 01,-4.9,-1.7,1.5
CRU-TS,historical,January,1,1940,1940 1 01,-2.6,1,4.6
CRU-TS,historical,January,1,1941,1941 1 01,-5.9,-2.3,1.3
