# Location: 59.5089 -139.6599,,,,,,
# View a report for this location at https://earthmaps.io/tas2km/point/59.5089/-139.6599,,,,,,
# tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario,,,,,,
# tasmin is the minimum temperature in degrees C,,,,,,
# tasmean is the mean temperature in degrees C,,,,,,
# tasmax is the maximum temperature in degrees C,,,,,,
model,scenario,month,year,tasmin,tasmean,tasmax
CRU-TS,historical,January,1901,-8.3,-4.6,-1
CRU-TS,historical,January,1902,-6.3,-2.5,1.3
CRU-TS,historical,January,1903,-9.8,-5.8,-1.8
CRU-TS,historical,January,1904,-9.2,-5.8,-2.5
CRU-TS,historical,January,1905,-6.5,-3,0.5
CRU-TS,historical,January,1906,-14,-10.1,-6.3
CRU-TS,historical,January,1907,-10.3,-5.7,-1.2
CRU-TS,historical,January,1908,-5.5,-2,1.4
CRU-TS,historical,January,1909,-14.9,-11.7,-8.5
CRU-TS,historical,January,1910,-7.1,-4,-0.9
CRU-TS,historical,January,1911,-12.3,-8.9,-5.5
CRU-TS,historical,January,1912,-5.3,-2.1,1
CRU-TS,historical,January,1913,-11,-7.9,-4.8
CRU-TS,historical,January,1914,-8.2,-4.3,-0.5
CRU-TS,historical,January,1915,-1.9,1.3,4.5
CRU-TS,historical,January,1916,-10.8,-7.2,-3.7
CRU-TS,historical,January,1917,-9.3,-5.1,-1
CRU-TS,historical,January,1918,-6.8,-2.9,1
CRU-TS,historical,January,1919,-7.7,-4.1,-0.5
CRU-TS,historical,January,1920,-11.8,-7.4,-3.1
CRU-TS,historical,January,1921,-11,-6.8,-2.7
CRU-TS,historical,January,1922,-5.5,-1.9,1.6
CRU-TS,historical,January,1923,-9.5,-5.5,-1.5
CRU-TS,historical,January,1924,-4.9,-1.6,1.6
CRU-TS,historical,January,1925,-13.5,-9.6,-5.7
CRU-TS,historical,January,1926,2.7,5.9,9.1
CRU-TS,historical,January,1927,-7.5,-3.4,0.6
CRU-TS,historical,January,1928,-4.3,-0.5,3.3
CRU-TS,historical,January,1929,-3.6,-0.1,3.3
CRU-TS,historical,January,1930,-11.5,-6.9,-2.4
CRU-TS,historical,January,1931,-1.2,2.5,6.2
CRU-TS,historical,January,1932,-10.6,-5.9,-1.2
CRU-TS,historical,January,1933,-12.4,-8.2,-4.1
CRU-TS,historical,January,1934,-10.4,-7,-3.7
CRU-TS,historical,January,1935,-9.2,-5.5,-1.8
CRU-TS,historical,January,1936,-5.9,-2.6,0.7
CRU-TS,historical,January,1937,-4,-0.2,3.6
CRU-TS,historical,January,1938,-7.3,-3.6,0
CRU-TS,historical,January,1939,-4.9,-1.7,1.5
CRU-TS,historical,January,1940,-2.6,1,4.6
CRU-TS,historical,January,1941,-5.9,-2.3,1.3
CRU-TS,historical,January,1942,-1.9,1.7,5.3
CRU-TS,historical,January,1943,-9.6,-5.6,-1.7
CRU-TS,historical,January,1944,-1.4,1.7,4.8
CRU-TS,historical,January,1945,-1,2.1,5.2
CRU-TS,historical,January,1946,-4.7,-0.2,4.3
CRU-TS,historical,January,1947,-11.8,-6.9,-2.1
CRU-TS,historical,January,1948,-2.9,1.3,5.5
CRU-TS,historical,January,1949,-6.5,-1.7,3
CRU-TS,historical,January,1950,-13.3,-7.7,-2.2
CRU-TS,historical,January,1951,-10.5,-6.7,-3
CRU-TS,historical,January,1952,-13.9,-9.2,-4.5
CRU-TS,historical,January,1953,-11.4,-7.8,-4.2
CRU-TS,historical,January,1954,-9.4,-4.7,0
CRU-TS,historical,January,1955,-2.2,1.2,4.6
CRU-TS,historical,January,1956,-10.6,-6.1,-1.6
CRU-TS,historical,January,1957,-8.5,-4.2,0
CRU-TS,historical,January,1958,-3.1,0.7,4.4
CRU-TS,historical,January,1959,-12.6,-8.5,-4.5
CRU-TS,historical,January,1960,-6.3,-2.1,2
CRU-TS,historical,January,1961,-4.6,-0.6,3.3
CRU-TS,historical,January,1962,-7.3,-2.5,2.3
CRU-TS,historical,January,1963,-3.4,0.3,4
CRU-TS,historical,January,1964,-6.8,-2.8,1.2
CRU-TS,historical,January,1965,-9.7,-5.6,-1.6
CRU-TS,historical,January,1966,-17.1,-12.6,-8.1
CRU-TS,historical,January,1967,-10.6,-6.1,-1.7
CRU-TS,historical,January,1968,-9.3,-5.3,-1.3
CRU-TS,historical,January,1969,-18.3,-14.1,-10
