"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.41046407954806,-0.00773097917255165,4.42243834393485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-0.975787722585095,2.43539973370353,5.83200834706542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-2.83319507144382,0.656481158905131,4.11268140567054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,1.7524207759556,5.13030468520639,8.5037686732769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,3.7764259613718,7.1975792387002,10.557890996118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,7.27126172703988,10.6579944707537,14.1517699174682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,9.06735466924843,12.4901665386355,15.9651638806033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,9.2450708291307,12.720987233027,16.2073924622944,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,8.22550106902086,10.0582780400897,12.0287123407408,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.26297570167646,5.2649110780054,7.10481805585272,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-0.17492876233698,1.7643756390202,3.60263278095918,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-2.86460194679359,-0.457619668355606,1.60145451400505,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-0.917640298787606,0.989752749443333,3.00082501873912,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.44975642737489,1.71365442742551,4.21594633629189,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
