"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",1.2256473070583,1.39977912768163
"2",2,"2060s",1.69241828491807,1.3769795517585
"3",3,"2060s",1.63469470607773,1.29049677392783
"4",4,"2060s",1.86568581101352,1.32885481300271
"5",5,"2060s",1.74322696749362,1.66718804440925
"6",6,"2060s",2.04433788993031,2.07519995374504
"7",7,"2060s",1.96192030940689,2.1711566286002
"8",8,"2060s",2.05043654572685,2.1121269835065
"9",9,"2060s",1.84873415156886,1.7782637841803
"10",10,"2060s",1.74221038534519,1.48664647937068
"11",11,"2060s",1.61069349344783,1.18898512689694
"12",12,"2060s",1.35252897645566,1.07822227371368
