STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/1/2001,0.5,0,0,0,0,3.3,-3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/2/2001,1.3,2.5,0,0,2.2,4.4,0,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/3/2001,3,15.5,0,0,3.9,6.7,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/4/2001,1.7,4.6,0,0,1.7,3.3,-0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/5/2001,0.4,0.5,0,0,-1.1,1.1,-3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/6/2001,6.5,21.6,0,0,3.9,6.1,1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/7/2001,8,49.3,0,0,3.3,5.6,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/8/2001,5.5,17.8,20,25,2.2,3.3,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/9/2001,0.7,1,25,76,1.7,5.6,-2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/10/2001,0,0,0,51,-4.4,-0.6,-8.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/11/2001,4.3,3.6,18,51,-2.8,3.3,-8.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/12/2001,6.3,8.1,3,51,2.2,3.3,1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/13/2001,4.6,9.1,0,0,3.9,4.4,2.8,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/14/2001,9.6,45.2,0,0,4.4,5.6,3.3,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/15/2001,5.2,17.8,0,0,3.3,6.1,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/16/2001,1.8,0.5,0,0,3.3,7.8,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/17/2001,7.4,29.7,0,0,6.7,8.9,3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/18/2001,8.6,11.4,0,0,7.8,11.7,3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/19/2001,4.1,14,0,0,3.9,5,2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,1/20/2001,4.5,0.3,0,0,6.1,7.8,3.9,
