Year,dhistorical,AnSEMdhistorical,d2010-19,AnSEMd2010-19,d2020-29,AnSEMd2020-29,d2030-39,AnSEMd2030-39,d2040-49,AnSEMd2040-49,d2050-59,AnSEMd2050-59,d2060-69,AnSEMd2060-69,d2070-79,AnSEMd2070-79,d2080-89,AnSEMd2080-89,d2090-99,AnSEMd2090-99
1947-01-01,6.473484848,0.472352502,7.409848485,0.507582865,8.137121212,0.708245493,8.637878788,0.514440478,8.940909091,0.546077166,9.568181818,0.544327378,9.940151515,0.550158074,10.52045455,0.569504879,11.13863636,0.569171622,11.77727273,0.572821675
1948-01-01,5.437878788,0.519753819,6.145454545,0.568073966,6.574242424,0.572214355,6.962878788,0.602524189,7.363636364,0.623125245,7.795454545,0.633167306,8.114393939,0.640424525,8.779545455,0.652600927,9.202272727,0.664232312,9.813636364,0.670543412
1949-01-01,5.517557252,0.453430952,6.366412214,0.494373483,6.969465649,0.606614122,7.36870229,0.517676002,7.760305344,0.540809718,8.251908397,0.552558524,8.570992366,0.562625266,9.138931298,0.580610936,9.614503817,0.594340168,10.1778626,0.608222879
1950-01-01,5.333333333,0.506183904,6.115909091,0.55037664,6.681060606,0.581511685,7.127272727,0.570900781,7.364393939,0.603152268,7.945454545,0.604726701,8.272727273,0.611780119,8.812878788,0.628455661,9.412878788,0.626545192,10.0530303,0.630779491
1951-01-01,5.733333333,0.524203312,6.495454545,0.570702988,6.935606061,0.603667023,7.342424242,0.604590659,7.679545455,0.629710781,8.124242424,0.642939843,8.41969697,0.652404793,8.921969697,0.674722306,9.39469697,0.685002853,9.987121212,0.693852425
1952-01-01,5.749242424,0.476959896,6.596969697,0.516627235,7.256818182,0.631624949,7.809848485,0.519244344,8.071212121,0.553441204,8.776515152,0.543509279,9.157575758,0.548658408,9.720454545,0.569626719,10.36666667,0.566297113,11.00681818,0.569475892
1953-01-01,6.214393939,0.515363245,7.165151515,0.550497624,7.866666667,0.684705447,8.440151515,0.551702158,8.695454545,0.57892558,9.406818182,0.571388925,9.791666667,0.572689862,10.36893939,0.585051795,11.01287879,0.582982518,11.67348485,0.587210301
1954-01-01,5.723484848,0.490248253,6.437878788,0.539692738,6.910606061,0.601491052,7.300757576,0.574520182,7.664393939,0.599770691,8.146212121,0.608355543,8.466666667,0.619348066,8.996969697,0.641766605,9.515909091,0.65012128,10.10530303,0.657933764
1955-01-01,4.724242424,0.477999824,5.528787879,0.52022759,6.066666667,0.528035556,6.508333333,0.539174412,6.843181818,0.566638628,7.389393939,0.568155293,7.687878788,0.575611825,8.276515152,0.59215011,8.786363636,0.59432875,9.481818182,0.595804029
1956-01-01,5.054545455,0.46944256,5.85,0.513337607,6.309090909,0.549135878,6.714393939,0.544864499,7.062878788,0.570744068,7.523484848,0.581783434,7.836363636,0.591031233,8.423484848,0.606807381,8.943181818,0.612609607,9.572727273,0.617443532
1957-01-01,6.890909091,0.543586515,7.761363636,0.583233673,8.383333333,0.729675508,8.828030303,0.602504905,9.171969697,0.629839867,9.756818182,0.632594679,10.10757576,0.637919666,10.71136364,0.65214698,11.33333333,0.649269298,12.00681818,0.649477266
1958-01-01,6.271212121,0.519547939,7.312121212,0.545802893,8.103030303,0.705278261,8.686363636,0.535460971,9.032575758,0.559147322,9.731818182,0.547359568,10.13484848,0.544993814,10.86742424,0.544296757,11.49166667,0.538081428,12.1969697,0.535861684
1959-01-01,6.009090909,0.498336876,6.852272727,0.539378617,7.513636364,0.653978103,8.040909091,0.550026764,8.325757576,0.578539625,8.999242424,0.570019232,9.391666667,0.573776385,9.998484848,0.587253755,10.63106061,0.585519152,11.30606061,0.583909623
1960-01-01,6.296969697,0.486555231,7.326515152,0.513375187,8.087878788,0.703959491,8.670454545,0.511604565,8.95530303,0.533986394,9.658333333,0.528229294,10.05075758,0.528683936,10.74924242,0.52826154,11.35909091,0.530249609,12.07045455,0.524453759
1961-01-01,5.777272727,0.503170139,6.717424242,0.537216049,7.399242424,0.644021389,7.877272727,0.54743909,8.264393939,0.566708982,8.871212121,0.5663562,9.231060606,0.568216234,9.899242424,0.575060463,10.46666667,0.573399942,11.17651515,0.574011999
1962-01-01,5.86969697,0.48897389,6.675,0.53473212,7.19469697,0.626217992,7.711363636,0.554779298,8.00530303,0.583131204,8.607575758,0.583319905,8.984090909,0.58655598,9.681818182,0.591052315,10.29090909,0.589343109,11,0.58256236
1963-01-01,6.321969697,0.530881096,7.354545455,0.557757485,8.118181818,0.706597031,8.691666667,0.552655401,8.991666667,0.575297288,9.686363636,0.570653242,10.08712121,0.567036733,10.81439394,0.563132219,11.43560606,0.559426126,12.14393939,0.557511591
1964-01-01,5.538636364,0.506110759,6.423484848,0.544290768,6.960606061,0.605842994,7.436363636,0.56877688,7.76969697,0.590249577,8.337121212,0.594630929,8.688636364,0.598839042,9.328030303,0.604519101,9.858333333,0.610449565,10.55075758,0.611757815
