,community,region,country,latitude,longitude,type,scenario,resolution,daterange,unit,month,Min,Mean,Max,Sd,cru32 2km historical mean,delta,maxdelta,mindelta
13,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,January,-10,-2.3,3.4,3.4,-3.9,1.6,7.3,-6.1
14,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,February,-5.5,-0.4,4.8,2.4,-2,1.6,6.8,-3.5
15,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,March,-5.5,0.3,4.7,2.5,-0.7,1,5.4,-4.8
16,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,April,-1,3.5,7.6,1.5,2.4,1.1,5.2,-3.4
17,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,May,4.8,7,10.7,1.2,6.3,0.7,4.4,-1.5
18,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,June,7.8,10.8,14.6,1.6,9.8,1,4.8,-2
19,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,July,11.1,13.3,17,1.3,12,1.3,5,-0.9
20,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,August,9.9,12.9,15.5,1.2,11.8,1.1,3.7,-1.9
21,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,September,6.5,9.9,13.3,1.3,8.9,1,4.4,-2.4
22,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,October,1.2,5.8,9.5,1.7,5,0.8,4.5,-3.8
23,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,November,-6.2,0.3,5.7,2.6,-0.3,0.6,6,-5.9
24,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2010-2019,C,December,-8.8,-2.1,2.9,2.3,-2.6,0.5,5.5,-6.2
25,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,January,-9.1,-1.6,4.4,2.7,-3.9,2.3,8.3,-5.2
26,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,February,-5.3,0.4,5.9,2.7,-2,2.4,7.9,-3.3
27,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,March,-3,1.8,5.8,2.1,-0.7,2.5,6.5,-2.3
28,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,April,1.2,4.1,8.3,1.7,2.4,1.7,5.9,-1.2
29,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,May,5.5,7.8,12.7,1.3,6.3,1.5,6.4,-0.8
30,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,June,8.5,11.6,15.9,1.6,9.8,1.8,6.1,-1.3
31,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,July,11.3,13.5,17.5,1.3,12,1.5,5.5,-0.7
32,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,August,10.8,13.2,15.8,1.1,11.8,1.4,4,-1
33,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,September,8.2,10.4,13.3,1.1,8.9,1.5,4.4,-0.7
34,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,October,3.3,6.3,9.4,1.5,5,1.3,4.4,-1.7
35,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,November,-5.3,0.9,5.2,2.8,-0.3,1.2,5.5,-5
36,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2020-2029,C,December,-8.2,-1,3.2,2.6,-2.6,1.6,5.8,-5.6
37,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,January,-5.9,-1.4,3,2.3,-3.9,2.5,6.9,-2
38,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,February,-7.1,1.2,7.1,3.1,-2,3.2,9.1,-5.1
39,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,March,-3.6,1.7,7.1,2.6,-0.7,2.4,7.8,-2.9
40,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,April,2.3,4.7,7.8,1.6,2.4,2.3,5.4,-0.1
41,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,May,6.2,8.3,12.2,1.5,6.3,2,5.9,-0.1
42,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,June,9.4,12.2,16.6,1.7,9.8,2.4,6.8,-0.4
43,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,July,11.6,13.9,17.5,1.4,12,1.9,5.5,-0.4
44,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,August,11.5,13.7,17.5,1.4,11.8,1.9,5.7,-0.3
45,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,September,9,10.8,13.4,1.1,8.9,1.9,4.5,0.1
46,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,October,2.8,6.9,11.4,1.7,5,1.9,6.4,-2.2
47,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,November,-4.5,1.2,7.2,2.5,-0.3,1.5,7.5,-4.2
48,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2030-2039,C,December,-6.2,-0.1,3.7,2.5,-2.6,2.5,6.3,-3.6
49,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,January,-6.3,-0.6,4.7,2.3,-3.9,3.3,8.6,-2.4
50,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,February,-4.4,0.7,5,2.3,-2,2.7,7,-2.4
51,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,March,-3.3,2.2,8,2.4,-0.7,2.9,8.7,-2.6
52,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,April,0.9,4.6,9.1,1.8,2.4,2.2,6.7,-1.5
53,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,May,5.8,8.3,11.8,1.5,6.3,2,5.5,-0.5
54,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,June,10,12.7,17.4,1.8,9.8,2.9,7.6,0.2
55,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,July,12,14.9,18.9,1.5,12,2.9,6.9,0
56,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,August,11.8,14.2,17.4,1.3,11.8,2.4,5.6,0
57,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,September,9.5,11.3,14.4,1.2,8.9,2.4,5.5,0.6
58,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,October,2.5,6.9,11.3,2,5,1.9,6.3,-2.5
59,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,November,-3.5,2,6.3,2.1,-0.3,2.3,6.6,-3.2
60,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2040-2049,C,December,-9.4,-0.8,4.1,3.1,-2.6,1.8,6.7,-6.8
61,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,January,-5.6,-0.7,5.3,2.7,-3.9,3.2,9.2,-1.7
62,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,February,-3.9,1.9,6.6,2.8,-2,3.9,8.6,-1.9
63,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,March,-2.7,2.8,7.1,2.1,-0.7,3.5,7.8,-2
64,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,April,0.3,5.4,8.8,1.7,2.4,3,6.4,-2.1
65,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,May,6.8,9,13.3,1.5,6.3,2.7,7,0.5
66,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,June,9.2,12.9,17.7,1.7,9.8,3.1,7.9,-0.6
67,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,July,12.2,15.1,18.7,1.6,12,3.1,6.7,0.2
68,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,August,12.5,14.7,18.7,1.6,11.8,2.9,6.9,0.7
69,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,September,9.8,11.9,15.2,1.3,8.9,3,6.3,0.9
70,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,October,4.1,7.7,11.4,1.6,5,2.7,6.4,-0.9
71,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,November,-4,2.3,6.3,2.1,-0.3,2.6,6.6,-3.7
72,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2050-2059,C,December,-5.2,0.1,4.6,2.3,-2.6,2.7,7.2,-2.6
73,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,January,-6.5,-0.5,4.1,2.9,-3.9,3.4,8,-2.6
74,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,February,-6.1,2.2,8.2,3,-2,4.2,10.2,-4.1
75,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,March,-1.9,3.1,8.1,2.6,-0.7,3.8,8.8,-1.2
76,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,April,1.3,5.6,9,1.7,2.4,3.2,6.6,-1.1
77,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,May,6.5,9.1,13.8,1.6,6.3,2.8,7.5,0.2
78,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,June,10.5,13.4,17.1,1.5,9.8,3.6,7.3,0.7
79,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,July,12.6,15.5,18.4,1.6,12,3.5,6.4,0.6
80,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,August,12.3,15,18,1.4,11.8,3.2,6.2,0.5
81,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,September,9.7,12,15.9,1.5,8.9,3.1,7,0.8
82,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,October,5.2,8.1,12,1.5,5,3.1,7,0.2
83,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,November,-0.8,3,6.9,2,-0.3,3.3,7.2,-0.5
84,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2060-2069,C,December,-4.7,0.5,4.6,2.4,-2.6,3.1,7.2,-2.1
85,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,January,-3.7,1.1,4.6,2.1,-3.9,5,8.5,0.2
86,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,February,-4.6,1.9,7.3,3,-2,3.9,9.3,-2.6
87,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,March,-0.6,3.2,7.2,2,-0.7,3.9,7.9,0.1
88,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,April,1,5.9,10,2,2.4,3.5,7.6,-1.4
89,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,May,6.3,9.8,14,1.9,6.3,3.5,7.7,0
90,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,June,10.2,13.9,17.9,2.1,9.8,4.1,8.1,0.4
91,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,July,13,16.3,20.6,1.9,12,4.3,8.6,1
92,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,August,12.9,15.4,18.4,1.5,11.8,3.6,6.6,1.1
93,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,September,9.5,12.6,16.4,1.6,8.9,3.7,7.5,0.6
94,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,October,5.4,8.6,12.2,1.7,5,3.6,7.2,0.4
95,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,November,-0.9,3.9,8.3,2.2,-0.3,4.2,8.6,-0.6
96,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2070-2079,C,December,-2.9,1.4,6.6,2.4,-2.6,4,9.2,-0.3
97,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,January,-5.7,0.8,5.4,2.7,-3.9,4.7,9.3,-1.8
98,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,February,-2.7,2.8,8,3,-2,4.8,10,-0.7
99,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,March,-2.4,3.8,8.5,2.5,-0.7,4.5,9.2,-1.7
100,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,April,3.5,6.4,9.7,1.6,2.4,4,7.3,1.1
101,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,May,7.1,10.3,15.5,2.1,6.3,4,9.2,0.8
102,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,June,11,14.5,20.1,2,9.8,4.7,10.3,1.2
103,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,July,12.9,16.5,20.9,1.9,12,4.5,8.9,0.9
104,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,August,12.3,15.9,18.6,1.6,11.8,4.1,6.8,0.5
105,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,September,10,13,16.7,1.7,8.9,4.1,7.8,1.1
106,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,October,5.9,9.2,12.6,1.8,5,4.2,7.6,0.9
