Date,monyr,Type,year,airport monavg,d2010-19,d2020-29,d2030-39,d2040-49,d2050-59,d2060-69,d2070-79,d2080-89,d2090-99
1947-01-01,Jan-47,Air,1947,-6.71,-5.11,-4.41,-4.21,-3.41,-3.51,-3.31,-1.71,-2.01,-1.31
1947-02-01,Feb-47,Air,1947,-3.26,-1.66,-0.86,-0.06,-0.56,0.64,0.94,0.64,1.54,2.64
1947-03-01,Mar-47,Air,1947,1.92,2.92,4.42,4.32,4.82,5.42,5.72,5.82,6.42,7.22
1947-04-01,Apr-47,Air,1947,3.37,4.47,5.07,5.67,5.57,6.37,6.57,6.87,7.37,7.97
1947-05-01,May-47,Air,1947,6.72,7.42,8.22,8.72,8.72,9.42,9.52,10.22,10.72,11.22
1947-06-01,Jun-47,Air,1947,9.65,10.65,11.45,12.05,12.55,12.75,13.25,13.75,14.35,14.85
1947-07-01,Jul-47,Air,1947,12.57,13.87,14.07,14.47,15.47,15.67,16.07,16.87,17.07,17.67
1947-08-01,Aug-47,Air,1947,11.6,12.7,13,13.5,14,14.5,14.8,15.2,15.7,16.3
1947-09-01,Sep-47,Air,1947,9.79,10.79,11.29,11.69,12.19,12.79,12.89,13.49,13.89,14.39
1947-10-01,Oct-47,Air,1947,5.72,6.52,7.02,7.62,7.62,8.42,8.82,9.32,9.92,10.22
1947-11-01,Nov-47,Air,1947,3.45,4.05,4.65,4.95,5.75,6.05,6.75,7.65,8.25,8.75
1947-12-01,Dec-47,Air,1947,0.84,1.34,2.44,3.34,2.64,3.54,3.94,4.84,5.64,5.74
1948-01-01,Jan-48,Air,1948,-0.89,0.71,1.41,1.61,2.41,2.31,2.51,4.11,3.81,4.51
1948-02-01,Feb-48,Air,1948,-5.73,-4.13,-3.33,-2.53,-3.03,-1.83,-1.53,-1.83,-0.93,0.17
1948-03-01,Mar-48,Air,1948,-3.1,-2.1,-0.6,-0.7,-0.2,0.4,0.7,0.8,1.4,2.2
1948-04-01,Apr-48,Air,1948,-1.01,0.09,0.69,1.29,1.19,1.99,2.19,2.49,2.99,3.59
1948-05-01,May-48,Air,1948,7.23,7.93,8.73,9.23,9.23,9.93,10.03,10.73,11.23,11.73
1948-06-01,Jun-48,Air,1948,10.2,11.2,12,12.6,13.1,13.3,13.8,14.3,14.9,15.4
1948-07-01,Jul-48,Air,1948,12.63,13.93,14.13,14.53,15.53,15.73,16.13,16.93,17.13,17.73
1948-08-01,Aug-48,Air,1948,11.21,12.31,12.61,13.11,13.61,14.11,14.41,14.81,15.31,15.91
1948-09-01,Sep-48,Air,1948,8.39,9.39,9.89,10.29,10.79,11.39,11.49,12.09,12.49,12.99
1948-10-01,Oct-48,Air,1948,4.66,5.46,5.96,6.56,6.56,7.36,7.76,8.26,8.86,9.16
1948-11-01,Nov-48,Air,1948,-0.99,-0.39,0.21,0.51,1.31,1.61,2.31,3.21,3.81,4.31
1948-12-01,Dec-48,Air,1948,-7.09,-6.59,-5.49,-4.59,-5.29,-4.39,-3.99,-3.09,-2.29,-2.19
1949-01-01,Jan-49,Air,1949,-4.17,-2.57,-1.87,-1.67,-0.87,-0.97,-0.77,0.83,0.53,1.23
1949-02-01,Feb-49,Air,1949,-8.66,-7.06,-6.26,-5.46,-5.96,-4.76,-4.46,-4.76,-3.86,-2.76
1949-03-01,Mar-49,Air,1949,0.02,1.02,2.52,2.42,2.92,3.52,3.82,3.92,4.52,5.32
1949-04-01,Apr-49,Air,1949,2.11,3.21,3.81,4.41,4.31,5.11,5.31,5.61,6.11,6.71
1949-05-01,May-49,Air,1949,5.47,6.17,6.97,7.47,7.47,8.17,8.27,8.97,9.47,9.97
1949-06-01,Jun-49,Air,1949,8,9,9.8,10.4,10.9,11.1,11.6,12.1,12.7,13.2
1949-07-01,Jul-49,Air,1949,10.78,12.08,12.28,12.68,13.68,13.88,14.28,15.08,15.28,15.88
1949-08-01,Aug-49,Air,1949,11.25,12.35,12.65,13.15,13.65,14.15,14.45,14.85,15.35,15.95
1949-09-01,Sep-49,Air,1949,9.91,10.91,11.41,11.81,12.31,12.91,13.01,13.61,14.01,14.51
1949-10-01,Oct-49,Air,1949,5.07,5.87,6.37,6.97,6.97,7.77,8.17,8.67,9.27,9.57
1949-11-01,Nov-49,Air,1949,2.65,3.25,3.85,4.15,4.95,5.25,5.95,6.85,7.45,7.95
1949-12-01,Dec-49,Air,1949,-4.93,-4.43,-3.33,-2.43,-3.13,-2.23,-1.83,-0.93,-0.13,-0.03
1950-01-01,Jan-50,Air,1950,-10.93,-9.33,-8.63,-8.43,-7.63,-7.73,-7.53,-5.93,-6.23,-5.53
1950-02-01,Feb-50,Air,1950,-3.53,-1.93,-1.13,-0.33,-0.83,0.37,0.67,0.37,1.27,2.37
1950-03-01,Mar-50,Air,1950,-0.29,0.71,2.21,2.11,2.61,3.21,3.51,3.61,4.21,5.01
1950-04-01,Apr-50,Air,1950,1.38,2.48,3.08,3.68,3.58,4.38,4.58,4.88,5.38,5.98
1950-05-01,May-50,Air,1950,5.24,5.94,6.74,7.24,7.24,7.94,8.04,8.74,9.24,9.74
1950-06-01,Jun-50,Air,1950,10.05,11.05,11.85,12.45,12.95,13.15,13.65,14.15,14.75,15.25
1950-07-01,Jul-50,Air,1950,11.58,12.88,13.08,13.48,14.48,14.68,15.08,15.88,16.08,16.68
1950-08-01,Aug-50,Air,1950,12.35,13.45,13.75,14.25,14.75,15.25,15.55,15.95,16.45,17.05
1950-09-01,Sep-50,Air,1950,8.61,9.61,10.11,10.51,11.01,11.61,11.71,12.31,12.71,13.21
1950-10-01,Oct-50,Air,1950,4.36,5.16,5.66,6.26,6.26,7.06,7.46,7.96,8.56,8.86
1950-11-01,Nov-50,Air,1950,-3.02,-2.42,-1.82,-1.52,-0.72,-0.42,0.28,1.18,1.78,2.28
1950-12-01,Dec-50,Air,1950,-0.93,-0.43,0.67,1.57,0.87,1.77,2.17,3.07,3.87,3.97
1951-01-01,Jan-51,Air,1951,-5.22,-3.62,-2.92,-2.72,-1.92,-2.02,-1.82,-0.22,-0.52,0.18
1951-02-01,Feb-51,Air,1951,-4.54,-2.94,-2.14,-1.34,-1.84,-0.64,-0.34,-0.64,0.26,1.36
1951-03-01,Mar-51,Air,1951,-3.8,-2.8,-1.3,-1.4,-0.9,-0.3,0,0.1,0.7,1.5
1951-04-01,Apr-51,Air,1951,2.31,3.41,4.01,4.61,4.51,5.31,5.51,5.81,6.31,6.91
1951-05-01,May-51,Air,1951,6.09,6.79,7.59,8.09,8.09,8.79,8.89,9.59,10.09,10.59
1951-06-01,Jun-51,Air,1951,9.18,10.18,10.98,11.58,12.08,12.28,12.78,13.28,13.88,14.38
